web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaine
1692499624-1,01/05/2023,15/05/2023,16/05/2023,64,64,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,20
1692499624-2,01/05/2023,15/05/2023,16/05/2023,123,123,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,20
1692499624-3,01/05/2023,15/05/2023,16/05/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1692499624-4,01/05/2023,15/05/2023,16/05/2023,84,84,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,20
1692499624-5,01/05/2023,15/05/2023,16/05/2023,82,82,Chambre Lits Jumeaux,,Auberge de Costaroche,Albertville,,20
1692499624-6,01/05/2023,15/05/2023,16/05/2023,138,138,Chambre Double Standard,,Au Coin Du Feu,Megève,,20
1692499624-7,01/05/2023,15/05/2023,16/05/2023,63,63,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1692499624-8,01/05/2023,15/05/2023,16/05/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
1692499624-9,01/05/2023,15/05/2023,16/05/2023,151,151,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,20
1692499624-10,01/05/2023,15/05/2023,16/05/2023,94,94,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,20
1692499624-11,01/05/2023,15/05/2023,16/05/2023,93,93,Chambre Double,,Albert 1er,Albertville,,20
1692499624-12,01/05/2023,15/05/2023,16/05/2023,86,86,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,20
1692499624-13,01/05/2023,15/05/2023,16/05/2023,50,50,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,20
1692499624-14,01/05/2023,15/05/2023,16/05/2023,62,62,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,20
1692499624-15,01/05/2023,15/05/2023,16/05/2023,336,336,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,20
1692499624-16,01/05/2023,15/05/2023,16/05/2023,101,101,Chambre Double Standard,,Brit Hotel Florimont,Saint-Ferréol,,20
1692499624-17,01/05/2023,15/05/2023,16/05/2023,220,220,Chambre Supérieure Double ou Twin avec Terrasse et Vue sur le Mont d'Arbois et le Mont-Blanc,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,20
1692499624-18,01/05/2023,15/05/2023,16/05/2023,178,178,Chambre Double Confort,,"Hôtel Restaurant ""Les Sapins"" Wellness & Gourmet",Manigod,,20
1692499624-19,01/05/2023,15/05/2023,16/05/2023,133,133,Chambre Double - Vue sur Montagnes - 5,,Le Coin Savoyard,Combloux,,20
1692499624-20,01/05/2023,15/05/2023,16/05/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,20
1692499624-21,01/05/2023,15/05/2023,16/05/2023,435,435,Suite Junior (2 Adultes),,Les Chalets-Hôtel de la Croix-Fry,Manigod,,20
1692499624-22,01/05/2023,15/05/2023,16/05/2023,63,63,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,20
1692499624-23,01/05/2023,15/05/2023,16/05/2023,100,100,Petite Chambre Double ou Lits Jumeaux avec Balcon,,Hotel Beauregard,La Clusaz,,20
1692499624-24,01/05/2023,15/05/2023,16/05/2023,77,77,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,20
1692499624-25,01/05/2023,15/05/2023,16/05/2023,88,88,Chambre Double,,Hotel Christiania,La Clusaz,,20
1692499624-26,01/05/2023,15/05/2023,16/05/2023,64,64,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,20
1692499624-27,01/05/2023,15/05/2023,16/05/2023,123,123,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,20
1692499624-28,01/05/2023,15/05/2023,16/05/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1692499624-29,01/05/2023,15/05/2023,16/05/2023,84,84,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,20
1692499624-30,01/05/2023,15/05/2023,16/05/2023,82,82,Chambre Lits Jumeaux,,Auberge de Costaroche,Albertville,,20
1692499624-31,01/05/2023,15/05/2023,16/05/2023,138,138,Chambre Double Standard,,Au Coin Du Feu,Megève,,20
1692499624-32,01/05/2023,15/05/2023,16/05/2023,63,63,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1692499624-33,01/05/2023,15/05/2023,16/05/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
1692499624-34,01/05/2023,15/05/2023,16/05/2023,151,151,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,20
1692499624-35,01/05/2023,15/05/2023,16/05/2023,94,94,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,20
1692499624-36,01/05/2023,15/05/2023,16/05/2023,93,93,Chambre Double,,Albert 1er,Albertville,,20
1692499624-37,01/05/2023,15/05/2023,16/05/2023,86,86,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,20
1692499624-38,01/05/2023,15/05/2023,16/05/2023,50,50,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,20
1692499624-39,01/05/2023,15/05/2023,16/05/2023,62,62,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,20
1692499624-40,01/05/2023,15/05/2023,16/05/2023,336,336,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,20
1692499624-41,01/05/2023,15/05/2023,16/05/2023,101,101,Chambre Double Standard,,Brit Hotel Florimont,Saint-Ferréol,,20
1692499624-42,01/05/2023,15/05/2023,16/05/2023,220,220,Chambre Supérieure Double ou Twin avec Terrasse et Vue sur le Mont d'Arbois et le Mont-Blanc,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,20
1692499624-43,01/05/2023,15/05/2023,16/05/2023,178,178,Chambre Double Confort,,"Hôtel Restaurant ""Les Sapins"" Wellness & Gourmet",Manigod,,20
1692499624-44,01/05/2023,15/05/2023,16/05/2023,133,133,Chambre Double - Vue sur Montagnes - 5,,Le Coin Savoyard,Combloux,,20
1692499624-45,01/05/2023,15/05/2023,16/05/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,20
1692499624-46,01/05/2023,15/05/2023,16/05/2023,435,435,Suite Junior (2 Adultes),,Les Chalets-Hôtel de la Croix-Fry,Manigod,,20
1692499624-47,01/05/2023,15/05/2023,16/05/2023,63,63,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,20
1692499624-48,01/05/2023,15/05/2023,16/05/2023,100,100,Petite Chambre Double ou Lits Jumeaux avec Balcon,,Hotel Beauregard,La Clusaz,,20
1692499624-49,01/05/2023,15/05/2023,16/05/2023,77,77,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,20
1692499624-50,01/05/2023,15/05/2023,16/05/2023,88,88,Chambre Double,,Hotel Christiania,La Clusaz,,20
