web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1692502927-1,01/05/2023,05/06/2023,06/06/2023,148,148,Chambre Double,,"Chalet-Hôtel Neige et Roc, The Originals Relais (Hotel-Chalet de Tradition)",Samoëns,,23
1692502927-2,01/05/2023,05/06/2023,06/06/2023,81,81,Chambre Double,,Hôtel National,Cluses,,23
1692502927-3,01/05/2023,05/06/2023,06/06/2023,103,103,Chambre Double Standard,,"The Originals City, Hôtel du Faucigny, Cluses Ouest",Scionzier,,23
1692502927-4,01/05/2023,05/06/2023,06/06/2023,94,94,Chambre Double Confort,,Hôtel 4C,Cluses,,23
1692502927-5,01/05/2023,05/06/2023,06/06/2023,107,107,Chambre Double Classique,,Logis Hotel Gai Soleil,Samoëns,,23
1692502927-6,01/05/2023,05/06/2023,06/06/2023,97,97,Chambre Double Économique,,Edelweiss,Samoëns,,23
1692502927-7,01/05/2023,05/06/2023,06/06/2023,104,104,Chambre Double Économique,,Le Relais Du Mont Blanc,Magland,,23
1692502927-8,01/05/2023,05/06/2023,06/06/2023,164,164,Chambre Double Supérieure,,La Ferme Du Lac,Thyez,,23
1692502927-9,01/05/2023,05/06/2023,06/06/2023,69,69,Chambre Double,,Hotel Edelweiss,Magland,,23
1692502927-10,01/05/2023,05/06/2023,06/06/2023,160,160,Chambre Double Supérieure avec Douche,,La Croix de Savoie & Spa,Les Carroz d'Arâches,,23
1692502927-11,01/05/2023,05/06/2023,06/06/2023,124,124,Chambre Lits Jumeaux Standard,,Ibis Styles Sallanches Pays du Mont-Blanc,Sallanches,,23
1692502927-12,01/05/2023,05/06/2023,06/06/2023,71,71,Chambre Double Standard,,Ibis Hôtel Sallanches,Sallanches,,23
1692502927-13,01/05/2023,05/06/2023,06/06/2023,212,212,Chambre Double,,"Chalet-Hôtel La Marmotte, La Tapiaz & SPA, The Originals Relais (Hotel-Chalet de Tradition)",Les Gets,,23
1692502927-14,01/05/2023,05/06/2023,06/06/2023,67,67,Chambre Triple avec Lit Superposé,,Ibis Budget Sallanches,Sallanches,,23
1692502927-15,01/05/2023,05/06/2023,06/06/2023,134,134,Chambre Double ou Lits Jumeaux Classique,,Hôtel Alpina & SPA,Les Gets,,23
1692502927-16,01/05/2023,05/06/2023,06/06/2023,106,106,Chambre Double ou Lits Jumeaux Classique Plus,,Chamois d'Or Hotel,Les Gets,,23
1692502927-17,01/05/2023,05/06/2023,06/06/2023,145,145,Chambre Double - Vue sur Montagne,,Bellevue,Les Gets,,23
1692502927-18,01/05/2023,05/06/2023,06/06/2023,124,124,Chambre Lit King-Size Supérieure ,,Auberge de l'Orangerie - Sure Hotel Collection by Best Western,Sallanches,,23
1692502927-19,01/05/2023,05/06/2023,06/06/2023,132,132,Chambre Lits Jumeaux,,Hotel Igloo,Morzine,,23
1692502927-20,01/05/2023,05/06/2023,06/06/2023,178,178,Chambre Double,,Hotel le Petit Dru,Morzine,,23
1692502927-21,01/05/2023,05/06/2023,06/06/2023,110,110,Petite Chambre Double,,Hotel Rhodos Morzine,Morzine,,23
1692502927-22,01/05/2023,05/06/2023,06/06/2023,109,109,Chambre Double,,Le Charvet,Cordon,,23
1692502927-23,01/05/2023,05/06/2023,06/06/2023,199,199,Chambre Double - Vue sur Montagne,,Le Chalet Hôtel Cordon,Cordon,,23
1692502927-24,01/05/2023,05/06/2023,06/06/2023,115,115,Chambre Double - Aravis,,Chalet Les Rhodos,Cordon,,23
1692502927-25,01/05/2023,05/06/2023,06/06/2023,111,111,Chambre Double,,Le Cordonant,Cordon,,23
1692502927-26,01/05/2023,05/06/2023,06/06/2023,148,148,Chambre Double,,"Chalet-Hôtel Neige et Roc, The Originals Relais (Hotel-Chalet de Tradition)",Samoëns,,23
1692502927-27,01/05/2023,05/06/2023,06/06/2023,81,81,Chambre Double,,Hôtel National,Cluses,,23
1692502927-28,01/05/2023,05/06/2023,06/06/2023,103,103,Chambre Double Standard,,"The Originals City, Hôtel du Faucigny, Cluses Ouest",Scionzier,,23
1692502927-29,01/05/2023,05/06/2023,06/06/2023,94,94,Chambre Double Confort,,Hôtel 4C,Cluses,,23
1692502927-30,01/05/2023,05/06/2023,06/06/2023,107,107,Chambre Double Classique,,Logis Hotel Gai Soleil,Samoëns,,23
