web-scraper-order,web-scraper-start-url,nom,localite,prix_init,prix_actuel,note,typo,type_de_lit,taxes,nuite,experience_vecu,reduction,genius
"1675803464-1","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","Maison Doron","Beaufort","null","€ 868","7,9","Chambre Double","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","147 expériences vécues","null","null"
"1675803464-2","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","Le Calgary","Les Saisies","null","€ 4 359","8,5","Chambre Quadruple","3 lits (2 lits simples, 1 grand lit double)","Taxes et frais compris","1 semaine, 2 adultes","219 expériences vécues","null","null"
"1675803464-3","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","Hotel Le Tetras","Notre-Dame-de-Bellecombe","null","€ 803","7,6","Chambre Lits Jumeaux - Vue sur Montagne","2 lits simples","Taxes et frais compris","1 semaine, 2 adultes","168 expériences vécues","null","null"
"1675803464-4","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","Chalet Hôtel du Mont-Charvin & Spa","Crest-Voland","null","€ 2 997","8,4","Chambre Quadruple","3 lits (2 lits simples, 1 lit double)","Taxes et frais compris","1 semaine, 2 adultes","161 expériences vécues","Niveau 1 Voyage Durable","null"
"1675803464-5","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","Le Caprice Des Neiges","Crest-Voland","null","€ 3 127","8,8","Chambre Quintuple","4 lits (3 lits simples, 1 lit double)","Taxes et frais compris","1 semaine, 2 adultes","360 expériences vécues","null","null"
"1675803464-6","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","Les Chalets de La Griyotire","Praz-sur-Arly","null","€ 1 897","8,6","Appartement Familial (4-6 Adultes)","Appartement privé • 1 chambre • 1 salle de bains • 1 cuisine • 45m²","Taxes et frais compris","1 semaine, 2 adultes","183 expériences vécues","null","null"
"1675803464-7","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","ULVF La Citadelle de Conflans","Albertville","null","€ 674","7,7","Chambre Lits Jumeaux Standard","2 lits simples","Taxes et frais compris","1 semaine, 2 adultes","746 expériences vécues","Durabilité certifiée par un organisme indépendant","null"
"1675803464-8","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","Auberge de Costaroche","Albertville","null","€ 593","7,3","Chambre Double","1 grand lit double","Taxes et frais compris","1 semaine, 2 adultes","208 expériences vécues","null","null"
"1675803464-9","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","L'Alpaga, a Beaumier hotel","Megève","null","€ 5 393","8,9","Chambre Double Deluxe","1 très grand lit double","Taxes et frais compris","1 semaine, 2 adultes","141 expériences vécues","null","null"
"1675803464-10","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-08&checkout=2023-03-15&selected_currency=EUR","Hôtel Le Savoie","Albertville","null","€ 500","7,5","Chambre Double","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","1 053 expériences vécues","null","null"
