web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1692206680-1,17/04/2023,23/10/2023,30/10/2023,1155,1155,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,43
1692206680-2,17/04/2023,23/10/2023,30/10/2023,3203,3203,Appartement Village,,Flocons de Sel,Megève,,43
1692206680-3,17/04/2023,23/10/2023,30/10/2023,416,416,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,43
1692206680-4,17/04/2023,23/10/2023,30/10/2023,800,800,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,43
1692206680-5,17/04/2023,23/10/2023,30/10/2023,1454,1454,Chambre Double Confort,,Coeur de Megève,Megève,,43
1692206680-6,17/04/2023,23/10/2023,30/10/2023,906,906,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,43
1692206680-7,17/04/2023,23/10/2023,30/10/2023,3690,3690,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,43
1692206680-8,17/04/2023,23/10/2023,30/10/2023,3267,3267,Chambre Double Club,,Les Fermes de Marie,Megève,,43
1692206680-9,17/04/2023,23/10/2023,30/10/2023,681,681,Chambre Double,,Albert 1er,Albertville,,43
1692206680-10,17/04/2023,23/10/2023,30/10/2023,548,548,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,43
1692206680-11,17/04/2023,23/10/2023,30/10/2023,450,450,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,43
1692206680-12,17/04/2023,23/10/2023,30/10/2023,4768,4768,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,43
1692206680-13,17/04/2023,23/10/2023,30/10/2023,631,631,Chambre Double Standard,,Brit Hotel Florimont,Saint-Ferréol,,43
1692206680-14,17/04/2023,23/10/2023,30/10/2023,1208,1208,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,43
1692206680-15,17/04/2023,23/10/2023,30/10/2023,5754,5754,Suite en Duplex,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,43
1692206680-16,17/04/2023,23/10/2023,30/10/2023,796,680,Chambre Double - Vue sur Montagnes - 4,,Le Coin Savoyard,Combloux,,43
1692206680-17,17/04/2023,23/10/2023,30/10/2023,551,551,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,43
1692206680-18,17/04/2023,23/10/2023,30/10/2023,699,699,Petite Chambre Double ou Lits Jumeaux avec Balcon,,Hotel Beauregard,La Clusaz,,43
1692206680-19,17/04/2023,23/10/2023,30/10/2023,386,386,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,43
1692206680-20,17/04/2023,23/10/2023,30/10/2023,546,546,Chambre Double Économique,,Hotel Christiania,La Clusaz,,43
1692206680-21,17/04/2023,23/10/2023,30/10/2023,1765,1765,Chambre Double ou Lits Jumeaux,,Hôtel Restaurant La Ferme de Cupelin,Saint-Gervais-les-Bains,,43
1692206680-22,17/04/2023,23/10/2023,30/10/2023,1216,1216,Chambre Double Supérieure,,Les Roches Fleuries,Cordon,,43
1692206680-23,17/04/2023,23/10/2023,30/10/2023,519,519,Chambre Double Standard,,Les Airelles,La Clusaz,,43
1692206680-24,17/04/2023,23/10/2023,30/10/2023,891,891,Chambre Lits Jumeaux avec Accès Spa,,Hôtel Restaurant La Tourmaline,Aime-La-Plagne,,43
1692206680-25,17/04/2023,23/10/2023,30/10/2023,776,776,Chambre Double Supérieure,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,43
1692206680-26,17/04/2023,23/10/2023,30/10/2023,1155,1155,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,43
1692206680-27,17/04/2023,23/10/2023,30/10/2023,3203,3203,Appartement Village,,Flocons de Sel,Megève,,43
1692206680-28,17/04/2023,23/10/2023,30/10/2023,416,416,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,43
1692206680-29,17/04/2023,23/10/2023,30/10/2023,800,800,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,43
1692206680-30,17/04/2023,23/10/2023,30/10/2023,1454,1454,Chambre Double Confort,,Coeur de Megève,Megève,,43
1692206680-31,17/04/2023,23/10/2023,30/10/2023,906,906,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,43
1692206680-32,17/04/2023,23/10/2023,30/10/2023,3690,3690,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,43
1692206680-33,17/04/2023,23/10/2023,30/10/2023,3267,3267,Chambre Double Club,,Les Fermes de Marie,Megève,,43
1692206680-34,17/04/2023,23/10/2023,30/10/2023,681,681,Chambre Double,,Albert 1er,Albertville,,43
1692206680-35,17/04/2023,23/10/2023,30/10/2023,548,548,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,43
1692206680-36,17/04/2023,23/10/2023,30/10/2023,450,450,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,43
1692206680-37,17/04/2023,23/10/2023,30/10/2023,4768,4768,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,43
1692206680-38,17/04/2023,23/10/2023,30/10/2023,631,631,Chambre Double Standard,,Brit Hotel Florimont,Saint-Ferréol,,43
1692206680-39,17/04/2023,23/10/2023,30/10/2023,1208,1208,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,43
1692206680-40,17/04/2023,23/10/2023,30/10/2023,5754,5754,Suite en Duplex,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,43
1692206680-41,17/04/2023,23/10/2023,30/10/2023,796,680,Chambre Double - Vue sur Montagnes - 4,,Le Coin Savoyard,Combloux,,43
1692206680-42,17/04/2023,23/10/2023,30/10/2023,551,551,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,43
1692206680-43,17/04/2023,23/10/2023,30/10/2023,699,699,Petite Chambre Double ou Lits Jumeaux avec Balcon,,Hotel Beauregard,La Clusaz,,43
1692206680-44,17/04/2023,23/10/2023,30/10/2023,386,386,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,43
1692206680-45,17/04/2023,23/10/2023,30/10/2023,546,546,Chambre Double Économique,,Hotel Christiania,La Clusaz,,43
1692206680-46,17/04/2023,23/10/2023,30/10/2023,1765,1765,Chambre Double ou Lits Jumeaux,,Hôtel Restaurant La Ferme de Cupelin,Saint-Gervais-les-Bains,,43
1692206680-47,17/04/2023,23/10/2023,30/10/2023,1216,1216,Chambre Double Supérieure,,Les Roches Fleuries,Cordon,,43
1692206680-48,17/04/2023,23/10/2023,30/10/2023,519,519,Chambre Double Standard,,Les Airelles,La Clusaz,,43
1692206680-49,17/04/2023,23/10/2023,30/10/2023,891,891,Chambre Lits Jumeaux avec Accès Spa,,Hôtel Restaurant La Tourmaline,Aime-La-Plagne,,43
1692206680-50,17/04/2023,23/10/2023,30/10/2023,776,776,Chambre Double Supérieure,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,43
1692206680-51,17/04/2023,23/10/2023,30/10/2023,564,564,Chambre Double,,Hôtel National,Cluses,,43
1692206680-52,17/04/2023,23/10/2023,30/10/2023,722,722,Chambre Double Standard,,"The Originals City, Hôtel du Faucigny, Cluses Ouest",Scionzier,,43
1692206680-53,17/04/2023,23/10/2023,30/10/2023,1041,1041,Chambre Double Supérieure,,La Ferme Du Lac,Thyez,,43
1692206680-54,17/04/2023,23/10/2023,30/10/2023,543,543,Chambre Double,,Hotel Edelweiss,Magland,,43
1692206680-55,17/04/2023,23/10/2023,30/10/2023,1117,1117,Chambre Double Supérieure avec Douche,,La Croix de Savoie & Spa,Les Carroz d'Arâches,,43
1692206680-56,17/04/2023,23/10/2023,30/10/2023,796,796,Chambre Lits Jumeaux Standard,,Ibis Styles Sallanches Pays du Mont-Blanc,Sallanches,,43
1692206680-57,17/04/2023,23/10/2023,30/10/2023,485,485,Chambre Standard avec 1 Lit Double et 1 Lit Simple,,Ibis Hôtel Sallanches,Sallanches,,43
1692206680-58,17/04/2023,23/10/2023,30/10/2023,478,478,Chambre Triple avec Lit Superposé,,Ibis Budget Sallanches,Sallanches,,43
1692206680-59,17/04/2023,23/10/2023,30/10/2023,1095,1095,Chambre Double ou Lits Jumeaux Classique,,Chamois d'Or Hotel,Les Gets,,43
