web-scraper-order,web-scraper-start-url,nom,localite,prix_init,prix_actuel,note,typo,type_de_lit,taxes,nuite,experience_vecu,reduction,genius
"1676881634-1","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","Hôtel Chalet Le Caribou","Les Saisies","null","€ 129","7,9","Chambre Double Confort","1 lit double","Taxes et frais compris","1 nuit, 2 adultes","428 expériences vécues","null","null"
"1676881634-2","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","Maison Doron","Beaufort","null","€ 84","8,0","Chambre Double","1 lit double","Taxes et frais compris","1 nuit, 2 adultes","153 expériences vécues","null","null"
"1676881634-3","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","Le Calgary","Les Saisies","null","€ 327","8,5","Chambre Double ou Lits Jumeaux","1 lit double","Taxes et frais compris","1 nuit, 2 adultes","224 expériences vécues","null","null"
"1676881634-4","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","Hôtel Les Ancolies à Arêches","Arêches","null","€ 155","8,4","Chambre Double ou Lits Jumeaux","1 grand lit double","Taxes et frais compris","1 nuit, 2 adultes","167 expériences vécues","null","null"
"1676881634-5","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","Hôtel Viallet","Arêches","null","€ 157","8,3","Chambre Triple (3 Adultes)","2 lits (1 lit simple, 1 lit double)","Taxes et frais compris","1 nuit, 2 adultes","127 expériences vécues","Niveau 1 Voyage Durable","null"
"1676881634-6","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","Chalet Hôtel du Mont-Charvin & Spa","Crest-Voland","null","€ 187","8,5","Chambre Double","1 lit double","Taxes et frais compris","1 nuit, 2 adultes","164 expériences vécues","Niveau 1 Voyage Durable","null"
"1676881634-7","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","Le Caprice Des Neiges","Crest-Voland","null","€ 175","8,8","Chambre Triple","2 lits (1 lit simple, 1 lit double)","Taxes et frais compris","1 nuit, 2 adultes","358 expériences vécues","null","null"
"1676881634-8","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","La Mollinière","Notre-Dame-de-Bellecombe","null","€ 111","7,7","Chambre Quadruple Standard","3 lits (1 lit double, 2 lits superposés)","Taxes et frais compris","1 nuit, 2 adultes","79 expériences vécues","null","null"
"1676881634-9","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","Les Chalets de La Griyotire","Praz-sur-Arly","null","€ 145","8,6","Chambre Double Standard","1 lit double","Taxes et frais compris","1 nuit, 2 adultes","185 expériences vécues","null","null"
"1676881634-10","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-12&checkout=2023-03-13&selected_currency=EUR","Flocons de Sel","Megève","null","€ 847","9,3","Suite Rochebrune","Suite privée • 3 chambres • 1 salon • 1 salle de bains • 70m²","Taxes et frais compris","1 nuit, 2 adultes","58 expériences vécues","null","null"
