web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1692686152-1,24/04/2023,27/05/2023,03/06/2023,588,588,Petite Chambre Double,,Hôtel Maison Doron,Beaufort,,21
1692686152-2,24/04/2023,27/05/2023,03/06/2023,894,894,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,21
1692686152-3,24/04/2023,27/05/2023,03/06/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,21
1692686152-4,24/04/2023,27/05/2023,03/06/2023,1147,1147,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,21
1692686152-5,24/04/2023,27/05/2023,03/06/2023,588,588,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,21
1692686152-6,24/04/2023,27/05/2023,03/06/2023,573,573,Chambre Lits Jumeaux,,Auberge de Costaroche,Albertville,,21
1692686152-7,24/04/2023,27/05/2023,03/06/2023,1059,1059,Chambre Double Standard,,Au Coin Du Feu,Megève,,21
1692686152-8,24/04/2023,27/05/2023,03/06/2023,428,428,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,21
1692686152-9,24/04/2023,27/05/2023,03/06/2023,764,764,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,21
1692686152-10,24/04/2023,27/05/2023,03/06/2023,888,888,Chambre Double ou Lits Jumeaux de Charme - Rez-de-Chaussée ,,Au Vieux Moulin,Megève,,21
1692686152-11,24/04/2023,27/05/2023,03/06/2023,963,963,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,21
1692686152-12,24/04/2023,27/05/2023,03/06/2023,655,655,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,21
1692686152-13,24/04/2023,27/05/2023,03/06/2023,681,681,Chambre Double,,Albert 1er,Albertville,,21
1692686152-14,24/04/2023,27/05/2023,03/06/2023,598,598,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,21
1692686152-15,24/04/2023,27/05/2023,03/06/2023,352,352,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,21
1692686152-16,24/04/2023,27/05/2023,03/06/2023,510,510,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,21
1692686152-17,24/04/2023,27/05/2023,03/06/2023,2352,2352,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,21
1692686152-18,24/04/2023,27/05/2023,03/06/2023,690,690,Chambre Double Standard,,Brit Hotel Florimont,Saint-Ferréol,,21
1692686152-19,24/04/2023,27/05/2023,03/06/2023,1958,1958,Chambre Triple - Vue sur la Piscine,,Hôtel Les Chalets de la Serraz,La Clusaz,,21
1692686152-20,24/04/2023,27/05/2023,03/06/2023,1542,1542,Chambre Supérieure Double ou Twin avec Terrasse et Vue sur le Mont d'Arbois et le Mont-Blanc,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,21
1692686152-21,24/04/2023,27/05/2023,03/06/2023,5893,5893,Suite en Duplex,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,21
1692686152-22,24/04/2023,27/05/2023,03/06/2023,600,600,Chambre Double Confort,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,21
1692686152-23,24/04/2023,27/05/2023,03/06/2023,991,846,Chambre Lits Jumeaux - Vue sur Montagne - 1,,Le Coin Savoyard,Combloux,,21
1692686152-24,24/04/2023,27/05/2023,03/06/2023,445,445,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,21
1692686152-25,24/04/2023,27/05/2023,03/06/2023,794,794,Chambre Double ou Lits Jumeaux,,St-Alban Hotel & Spa,La Clusaz,,21
1692686152-26,24/04/2023,27/05/2023,03/06/2023,588,588,Petite Chambre Double,,Hôtel Maison Doron,Beaufort,,21
1692686152-27,24/04/2023,27/05/2023,03/06/2023,894,894,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,21
1692686152-28,24/04/2023,27/05/2023,03/06/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,21
1692686152-29,24/04/2023,27/05/2023,03/06/2023,1147,1147,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,21
1692686152-30,24/04/2023,27/05/2023,03/06/2023,588,588,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,21
1692686152-31,24/04/2023,27/05/2023,03/06/2023,573,573,Chambre Lits Jumeaux,,Auberge de Costaroche,Albertville,,21
1692686152-32,24/04/2023,27/05/2023,03/06/2023,1059,1059,Chambre Double Standard,,Au Coin Du Feu,Megève,,21
1692686152-33,24/04/2023,27/05/2023,03/06/2023,428,428,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,21
1692686152-34,24/04/2023,27/05/2023,03/06/2023,764,764,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,21
1692686152-35,24/04/2023,27/05/2023,03/06/2023,888,888,Chambre Double ou Lits Jumeaux de Charme - Rez-de-Chaussée ,,Au Vieux Moulin,Megève,,21
1692686152-36,24/04/2023,27/05/2023,03/06/2023,963,963,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,21
1692686152-37,24/04/2023,27/05/2023,03/06/2023,655,655,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,21
1692686152-38,24/04/2023,27/05/2023,03/06/2023,681,681,Chambre Double,,Albert 1er,Albertville,,21
1692686152-39,24/04/2023,27/05/2023,03/06/2023,598,598,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,21
1692686152-40,24/04/2023,27/05/2023,03/06/2023,352,352,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,21
