web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
,02/03/2023,09/09/2023,16/09/2023,1078,1009,Chambre Double,,Maison Doron,Beaufort,,36
,02/03/2023,09/09/2023,16/09/2023,939,939,Chambre Lits Jumeaux,,Le Calgary,Les Saisies,,36
,02/03/2023,09/09/2023,16/09/2023,1006,1006,Chambre Double ou Lits Jumeaux,,Hôtel Les Ancolies à Arêches,Arêches,,36
,02/03/2023,09/09/2023,16/09/2023,1289,1289,Chambre Tradition ,,"La Ferme du Chozal, The Originals Relais",Hauteluce,,36
,02/03/2023,09/09/2023,16/09/2023,819,819,Chambre Double - Vue sur Montagne,,Hôtel Viallet,Arêches,,36
,02/03/2023,09/09/2023,16/09/2023,673,673,Chambre Double,,Le Caprice Des Neiges,Crest-Voland,,36
,02/03/2023,09/09/2023,16/09/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,36
,02/03/2023,09/09/2023,16/09/2023,798,746,Chambre Double Standard,,Les Chalets de La Griyotire,Praz-sur-Arly,,36
,02/03/2023,09/09/2023,16/09/2023,3203,2997,Appartement Village,,Flocons de Sel,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,2116,2116,Chambre Double Classique,,"L'Alpaga, a Beaumier hotel",Megève,,36
,02/03/2023,09/09/2023,16/09/2023,443,443,Chambre Double,,Hôtel Le Savoie,Albertville,,36
,02/03/2023,09/09/2023,16/09/2023,800,800,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,36
,02/03/2023,09/09/2023,16/09/2023,1163,1089,Chambre Double Standard,,Au Coin Du Feu,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,4131,4131,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,906,906,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,1117,1046,Chambre Triple Classique,,La Ferme du Golf,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,681,637,Chambre Double,,Albert 1er,Albertville,,36
,02/03/2023,09/09/2023,16/09/2023,851,796,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,36
,02/03/2023,09/09/2023,16/09/2023,1378,1378,Chambre Double,,Hotel Mont Blanc Megève,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,1454,1361,Chambre Double Confort,,Coeur de Megève,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,4445,4445,Chambre Lit King-Size Supérieure,,Four Seasons Hotel Megeve,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,2632,2632,Chambre Double Club,,Le Chalet Blanc,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,1439,1439,Suite Supérieure ,,Les Loges Blanches,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,652,652,Chambre Double avec Balcon,,Hotel Le Christiania,Les Contamines-Montjoie,,36
,02/03/2023,09/09/2023,16/09/2023,1839,1722,Chambre Familiale (2 Adultes et 2 Enfants),,"Chalet-Hôtel La Chemenaz, The Originals Relais (Hotel-Chalet de Tradition)",Les Contamines-Montjoie,,36
,02/03/2023,09/09/2023,16/09/2023,466,466,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,36
,02/03/2023,09/09/2023,16/09/2023,631,591,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,36
,02/03/2023,09/09/2023,16/09/2023,3522,3522,Chambre Double,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,36
,02/03/2023,09/09/2023,16/09/2023,1386,1171,Chambre Lits Jumeaux,,Aux Ducs de Savoie,Combloux,,36
,02/03/2023,09/09/2023,16/09/2023,551,551,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,36
,02/03/2023,09/09/2023,16/09/2023,1078,1009,Chambre Double,,Maison Doron,Beaufort,,36
,02/03/2023,09/09/2023,16/09/2023,939,939,Chambre Lits Jumeaux,,Le Calgary,Les Saisies,,36
,02/03/2023,09/09/2023,16/09/2023,1006,1006,Chambre Double ou Lits Jumeaux,,Hôtel Les Ancolies à Arêches,Arêches,,36
,02/03/2023,09/09/2023,16/09/2023,1289,1289,Chambre Tradition ,,"La Ferme du Chozal, The Originals Relais",Hauteluce,,36
,02/03/2023,09/09/2023,16/09/2023,819,819,Chambre Double - Vue sur Montagne,,Hôtel Viallet,Arêches,,36
,02/03/2023,09/09/2023,16/09/2023,673,673,Chambre Double,,Le Caprice Des Neiges,Crest-Voland,,36
,02/03/2023,09/09/2023,16/09/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,36
,02/03/2023,09/09/2023,16/09/2023,798,746,Chambre Double Standard,,Les Chalets de La Griyotire,Praz-sur-Arly,,36
,02/03/2023,09/09/2023,16/09/2023,3203,2997,Appartement Village,,Flocons de Sel,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,2116,2116,Chambre Double Classique,,"L'Alpaga, a Beaumier hotel",Megève,,36
,02/03/2023,09/09/2023,16/09/2023,443,443,Chambre Double,,Hôtel Le Savoie,Albertville,,36
,02/03/2023,09/09/2023,16/09/2023,800,800,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,36
,02/03/2023,09/09/2023,16/09/2023,1163,1089,Chambre Double Standard,,Au Coin Du Feu,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,4131,4131,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,906,906,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,1117,1046,Chambre Triple Classique,,La Ferme du Golf,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,681,637,Chambre Double,,Albert 1er,Albertville,,36
,02/03/2023,09/09/2023,16/09/2023,851,796,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,36
,02/03/2023,09/09/2023,16/09/2023,1378,1378,Chambre Double,,Hotel Mont Blanc Megève,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,1454,1361,Chambre Double Confort,,Coeur de Megève,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,4445,4445,Chambre Lit King-Size Supérieure,,Four Seasons Hotel Megeve,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,2632,2632,Chambre Double Club,,Le Chalet Blanc,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,1439,1439,Suite Supérieure ,,Les Loges Blanches,Megève,,36
,02/03/2023,09/09/2023,16/09/2023,652,652,Chambre Double avec Balcon,,Hotel Le Christiania,Les Contamines-Montjoie,,36
