web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
,01/03/2023,18/09/2023,25/09/2023,1078,1078,Chambre Double,,Maison Doron,Beaufort,,38
,01/03/2023,18/09/2023,25/09/2023,2115,2115,Suite avec Balcon,,Hôtel Les Ancolies à Arêches,Arêches,,38
,01/03/2023,18/09/2023,25/09/2023,819,819,Chambre Double - Vue sur Montagne,,Hôtel Viallet,Arêches,,38
,01/03/2023,18/09/2023,25/09/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,38
,01/03/2023,18/09/2023,25/09/2023,1267,1267,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,38
,01/03/2023,18/09/2023,25/09/2023,3203,3203,Appartement Village,,Flocons de Sel,Megève,,38
,01/03/2023,18/09/2023,25/09/2023,510,510,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,38
,01/03/2023,18/09/2023,25/09/2023,800,800,Chambre Double Standard,,ibis Styles Albertville,Albertville,,38
,01/03/2023,18/09/2023,25/09/2023,1454,1454,Chambre Double Confort,,Coeur de Megève,Megève,,38
,01/03/2023,18/09/2023,25/09/2023,4131,4131,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,38
,01/03/2023,18/09/2023,25/09/2023,1205,1205,Suite Familiale en Duplex,,Novotel Megève Mont-Blanc,Megève,,38
,01/03/2023,18/09/2023,25/09/2023,681,681,Chambre Double,,Albert 1er,Albertville,,38
,01/03/2023,18/09/2023,25/09/2023,851,851,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,38
,01/03/2023,18/09/2023,25/09/2023,1839,1839,Chambre Familiale (2 Adultes et 2 Enfants),,"Chalet-Hôtel La Chemenaz, The Originals Relais (Hotel-Chalet de Tradition)",Les Contamines-Montjoie,,38
,01/03/2023,18/09/2023,25/09/2023,584,584,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,38
,01/03/2023,18/09/2023,25/09/2023,631,631,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,38
,01/03/2023,18/09/2023,25/09/2023,1958,1958,Chambre Triple - Vue sur la Piscine,,Hôtel Les Chalets de la Serraz,La Clusaz,,38
,01/03/2023,18/09/2023,25/09/2023,4564,4564,Suite Junior,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,38
,01/03/2023,18/09/2023,25/09/2023,1344,1212,Chambre Lits Jumeaux,,Aux Ducs de Savoie,Combloux,,38
,01/03/2023,18/09/2023,25/09/2023,551,551,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,38
,01/03/2023,18/09/2023,25/09/2023,804,804,Petite Chambre Double ou Lits Jumeaux avec Balcon,,Hotel Beauregard,La Clusaz,,38
,01/03/2023,18/09/2023,25/09/2023,451,451,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,38
,01/03/2023,18/09/2023,25/09/2023,606,606,Chambre Double Économique,,Hotel Christiania,La Clusaz,,38
,01/03/2023,18/09/2023,25/09/2023,754,754,Chambre Double ou Lits Jumeaux,,St-Alban Hotel & Spa,La Clusaz,,38
,01/03/2023,18/09/2023,25/09/2023,594,594,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,38
,01/03/2023,18/09/2023,25/09/2023,528,528,Chambre Double Standard,,Les Airelles,La Clusaz,,38
,01/03/2023,18/09/2023,25/09/2023,1809,1809,Chambre Double ou Lits Jumeaux,,Hôtel Restaurant La Ferme de Cupelin,Saint-Gervais-les-Bains,,38
,01/03/2023,18/09/2023,25/09/2023,1449,1449,Chambre Double Supérieure,,Les Roches Fleuries,Cordon,,38
,01/03/2023,18/09/2023,25/09/2023,564,564,Chambre Double,,Hôtel Les Dômes de Miage,Saint-Gervais-les-Bains,,38
,01/03/2023,18/09/2023,25/09/2023,830,830,Chambre Lits Jumeaux avec Accès Spa,,Hôtel Restaurant La Tourmaline,Aime-La-Plagne,,38
,01/03/2023,18/09/2023,25/09/2023,959,959,Chambre Double Économique,,Boutique Hôtel La Féline Blanche,Saint-Gervais-les-Bains,,38
,01/03/2023,18/09/2023,25/09/2023,642,642,Chambre Double Supérieure,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,38
,01/03/2023,18/09/2023,25/09/2023,723,723,Chambre Double Standard,,Hôtel Val d'Este,Saint-Gervais-les-Bains,,38
,01/03/2023,18/09/2023,25/09/2023,870,870,Chambre Double,,SOWELL HOTELS Mont Blanc et SPA,Saint-Gervais-les-Bains,,38
,01/03/2023,18/09/2023,25/09/2023,1568,1568,Petite Chambre Double,,Coeur des Neiges,Saint-Gervais-les-Bains,,38
,01/03/2023,18/09/2023,25/09/2023,1078,1078,Chambre Double,,Maison Doron,Beaufort,,38
,01/03/2023,18/09/2023,25/09/2023,2115,2115,Suite avec Balcon,,Hôtel Les Ancolies à Arêches,Arêches,,38
,01/03/2023,18/09/2023,25/09/2023,819,819,Chambre Double - Vue sur Montagne,,Hôtel Viallet,Arêches,,38
,01/03/2023,18/09/2023,25/09/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,38
,01/03/2023,18/09/2023,25/09/2023,1267,1267,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,38
,01/03/2023,18/09/2023,25/09/2023,3203,3203,Appartement Village,,Flocons de Sel,Megève,,38
,01/03/2023,18/09/2023,25/09/2023,510,510,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,38
,01/03/2023,18/09/2023,25/09/2023,800,800,Chambre Double Standard,,ibis Styles Albertville,Albertville,,38
,01/03/2023,18/09/2023,25/09/2023,1454,1454,Chambre Double Confort,,Coeur de Megève,Megève,,38
,01/03/2023,18/09/2023,25/09/2023,4131,4131,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,38
,01/03/2023,18/09/2023,25/09/2023,1205,1205,Suite Familiale en Duplex,,Novotel Megève Mont-Blanc,Megève,,38
,01/03/2023,18/09/2023,25/09/2023,681,681,Chambre Double,,Albert 1er,Albertville,,38
,01/03/2023,18/09/2023,25/09/2023,851,851,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,38
,01/03/2023,18/09/2023,25/09/2023,1839,1839,Chambre Familiale (2 Adultes et 2 Enfants),,"Chalet-Hôtel La Chemenaz, The Originals Relais (Hotel-Chalet de Tradition)",Les Contamines-Montjoie,,38
,01/03/2023,18/09/2023,25/09/2023,584,584,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,38
,01/03/2023,18/09/2023,25/09/2023,631,631,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,38
,01/03/2023,18/09/2023,25/09/2023,1958,1958,Chambre Triple - Vue sur la Piscine,,Hôtel Les Chalets de la Serraz,La Clusaz,,38
,01/03/2023,18/09/2023,25/09/2023,4564,4564,Suite Junior,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,38
,01/03/2023,18/09/2023,25/09/2023,1344,1212,Chambre Lits Jumeaux,,Aux Ducs de Savoie,Combloux,,38
