web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1691209603-1,27/03/2023,24/04/2023,01/05/2023,620,620,Chambre Triple – Vue sur Montagne,,Chalet Les Pieux,Crest-Voland,,17
1691209603-2,27/03/2023,24/04/2023,01/05/2023,1155,1155,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,17
1691209603-3,27/03/2023,24/04/2023,01/05/2023,630,630,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,17
1691209603-4,27/03/2023,24/04/2023,01/05/2023,930,930,Chambre Simple,,Auberge de Costaroche,Albertville,,17
1691209603-5,27/03/2023,24/04/2023,01/05/2023,1184,1184,Chambre Double Supérieure,,Hotel Million,Albertville,,17
1691209603-6,27/03/2023,24/04/2023,01/05/2023,423,423,Chambre Double,,Hôtel Le Savoie,Albertville,,17
1691209603-7,27/03/2023,24/04/2023,01/05/2023,770,770,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,17
1691209603-8,27/03/2023,24/04/2023,01/05/2023,1004,1004,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,17
1691209603-9,27/03/2023,24/04/2023,01/05/2023,1035,1035,Chambre Double Standard,,Au Coin Du Feu,Megève,,17
1691209603-10,27/03/2023,24/04/2023,01/05/2023,681,681,Chambre Double,,Albert 1er,Albertville,,17
1691209603-11,27/03/2023,24/04/2023,01/05/2023,697,697,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,17
1691209603-12,27/03/2023,24/04/2023,01/05/2023,1534,1534,Chambre Double Confort,,Coeur de Megève,Megève,,17
1691209603-13,27/03/2023,24/04/2023,01/05/2023,608,608,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,17
1691209603-14,27/03/2023,24/04/2023,01/05/2023,352,352,Chambre Double,,Fasthotel Albertville,Albertville,,17
1691209603-15,27/03/2023,24/04/2023,01/05/2023,472,472,Chambre Lits Jumeaux,,ibis budget Albertville,Gilly-sur-Isère,,17
1691209603-16,27/03/2023,24/04/2023,01/05/2023,652,652,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,17
1691209603-17,27/03/2023,24/04/2023,01/05/2023,1288,1288,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,17
1691209603-18,27/03/2023,24/04/2023,01/05/2023,551,551,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,17
1691209603-19,27/03/2023,24/04/2023,01/05/2023,1433,1433,Chambre Familiale avec Balcon,,Hotel La Montagne,La Clusaz,,17
1691209603-20,27/03/2023,24/04/2023,01/05/2023,1238,1238,Chambre Double avec Balcon,,Hotel Beauregard,La Clusaz,,17
1691209603-21,27/03/2023,24/04/2023,01/05/2023,868,868,Chambre Triple - Aravis,,Chalet Les Rhodos,Cordon,,17
1691209603-22,27/03/2023,24/04/2023,01/05/2023,546,546,Chambre Double Économique,,Hotel Christiania,La Clusaz,,17
1691209603-23,27/03/2023,24/04/2023,01/05/2023,1120,1120,Chambre Double Supérieure,,Les Roches Fleuries,Cordon,,17
1691209603-24,27/03/2023,24/04/2023,01/05/2023,2982,2842,Chambre Double - Vue sur Montagne,,Chalet-Hôtel Inarpa,La Clusaz,,17
1691209603-25,27/03/2023,24/04/2023,01/05/2023,1088,1088,Chambre Double Supérieure avec Fauteuil Convertible Simple,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,17
1691209603-26,27/03/2023,24/04/2023,01/05/2023,620,620,Chambre Triple – Vue sur Montagne,,Chalet Les Pieux,Crest-Voland,,17
