web-scraper-order,web-scraper-start-url,paginator,nom,localite,prix_init,prix_actuel,note,typo,type_de_lit,taxes,nuite,experience_vecu,reduction,genius
"1674655076-2757,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hìtel le Christiania"",""Aràches"",""null"",""?ˇ102"",""8,0"",""Chambre Double ou Lits Jumeaux"",""1 lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""365 expÇriences vÇcues"",""null"",""null"""
"1674655076-2758,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hìtel du Grand-Mont"",""Beaufort"",""null"",""?ˇ208"",""9,2"",""Chambre Double êconomique"",""2 lits doubles"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""79 expÇriences vÇcues"",""null"",""null"""
"1674655076-2759,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Maison Doron"",""Beaufort"",""null"",""?ˇ131"",""7,9"",""Petite Chambre Double"",""1 lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""146 expÇriences vÇcues"",""null"",""null"""
"1674655076-2760,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""ULVF La Citadelle de Conflans"",""Albertville"",""null"",""?ˇ132"",""7,7"",""Chambre Lits Jumeaux Standard"",""2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""764 expÇriences vÇcues"",""null"",""null"""
"1674655076-2761,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Auberge de Costaroche"",""Albertville"",""null"",""?ˇ82"",""7,3"",""Chambre Double"",""1 grand lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""211 expÇriences vÇcues"",""null"",""null"""
"1674655076-2762,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hotel Million"",""Albertville"",""null"",""?ˇ166"",""8,1"",""Chambre Double SupÇrieure"",""Types de litsˇ: 1 lit double ou 2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""176 expÇriences vÇcues"",""null"",""null"""
"1674655076-2763,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""ibis Styles Albertville"",""Albertville"",""null"",""?ˇ117"",""8,6"",""Chambre Lits Jumeaux Standard"",""2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""1 292 expÇriences vÇcues"",""null"",""null"""
"1674655076-2764,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hìtel Le Savoie"",""Albertville"",""null"",""?ˇ59"",""7,6"",""Chambre Lits Jumeaux Standard"",""2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""1 039 expÇriences vÇcues"",""null"",""null"""
"1674655076-2765,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Le Chalet d'Antoine"",""Megäve"",""null"",""?ˇ518"",""8,5"",""Chambre Double Deluxe"",""1 lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""40 expÇriences vÇcues"",""null"",""null"""
"1674655076-2766,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Albert 1er"",""Albertville"",""null"",""?ˇ93"",""6,4"",""Chambre Double"",""1 lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""237 expÇriences vÇcues"",""null"",""null"""
