web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,116,116,MOBILHOME 4 personnes - Confort 2 chambres 4 - Arrivée Dimanche,Camping Paradis Le Giessen,4 Adultes, 67220 BASSEMBERG,,,18,camping-paradis-le-giessen-84917,
,01/05/2023,07/05/2023,14/05/2023,143,143,MOBILHOME 4 personnes - Eden 2 chambres 4 -Arrivée Dimanche,Camping Paradis Le Giessen,4 Adultes, 67220 BASSEMBERG,,,18,camping-paradis-le-giessen-84917,
,01/05/2023,07/05/2023,14/05/2023,397,288,MOBILHOME 6 personnes - Classic 2 chambres (H6P2),Camping Le Ried,5 Adultes, 67860 BOOFZHEIM,,,18,camping-le-ried-76938,
,01/05/2023,07/05/2023,14/05/2023,428,311,MOBILHOME 5 personnes - Cosy 2 chambres (I5P2),Camping Le Ried,4 Adultes, 67860 BOOFZHEIM,,,18,camping-le-ried-76938,
,01/05/2023,07/05/2023,14/05/2023,445,323,MOBILHOME 6 personnes - Cosy 2 chambres (I6P2),Camping Le Ried,5 Adultes, 67860 BOOFZHEIM,,,18,camping-le-ried-76938,
,01/05/2023,07/05/2023,14/05/2023,508,365,MOBILHOME 6 personnes - Cosy 3 chambres (I6P3),Camping Le Ried,6 Adultes, 67860 BOOFZHEIM,,,18,camping-le-ried-76938,
,01/05/2023,07/05/2023,14/05/2023,294,294,GÎTE 6 personnes - 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,07/05/2023,14/05/2023,357,357,MOBILHOME 6 personnes - Confort 3 Chambres 6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,07/05/2023,14/05/2023,427,427,MOBILHOME 6 personnes - Privilège 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,07/05/2023,14/05/2023,504,504,MOBILHOME 8 personnes - Privilège 3 Chambres 6/8 pers,Camping Sea Green L'Occitan,8 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,07/05/2023,14/05/2023,434.42,225.90,MOBILHOME 6 personnes - Evasion 3 Pièces 4/6 Personnes + TV,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,455.58,236.90,MOBILHOME 6 personnes - Loisir 4 Pièces 6 Personnes + TV,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,338.20,271.20,MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,338.20,271.20,MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,395,316,MOBILHOME 6 personnes - Mh Evasion+ 6P 2CH 28m² Sam,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,395,316,MOBILHOME 6 personnes - Evasion 6 personnes 2 chambres 28m²,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,465,372,MOBILHOME 5 personnes - Loisir+ 8 personnes 3 chambres 30m²,Camping Le Clos Virgile,5 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,465,372,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 30m²,Camping Le Clos Virgile,8 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,465,372,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 34m²,Camping Le Clos Virgile,8 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,465,372,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 30m²,Camping Le Clos Virgile,8 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,802.26,337.26,MOBILHOME 4 personnes - 4 pax standard 2 chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-77569,
