web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,139,139,CHALET 4 personnes - Cantal,Camping Paradis - Village De Vacances La Gineste,2 Adultes, 15150 ARNAC,,,18,camping-paradis-village-de-vacances-la-gineste-82156,
,01/05/2023,06/05/2023,13/05/2023,149,149,CHALET 4 personnes - Cantal (vue sur le lac),Camping Paradis - Village De Vacances La Gineste,2 Adultes, 15150 ARNAC,,,18,camping-paradis-village-de-vacances-la-gineste-82156,
,01/05/2023,06/05/2023,13/05/2023,159,159,MOBILHOME 4 personnes,Camping Paradis - Village De Vacances La Gineste,2 Adultes, 15150 ARNAC,,,18,camping-paradis-village-de-vacances-la-gineste-82156,
,01/05/2023,06/05/2023,13/05/2023,169,169,CHALET 6 personnes - Auvergne,Camping Paradis - Village De Vacances La Gineste,4 Adultes, 15150 ARNAC,,,18,camping-paradis-village-de-vacances-la-gineste-82156,
,01/05/2023,06/05/2023,13/05/2023,189,189,MOBILHOME 4 personnes - Cottage 2 chambres,Camping Paradis - Village De Vacances La Gineste,4 Adultes, 15150 ARNAC,,,18,camping-paradis-village-de-vacances-la-gineste-82156,
,01/05/2023,06/05/2023,13/05/2023,457.70,457.70,CHALET 6 personnes - Chalet,Camping Le Ranch des Volcans,4 Adultes, 63140 CHATEL GUYON,,,18,camping-le-ranch-des-volcans-77114,
,01/05/2023,06/05/2023,13/05/2023,477.30,477.30,MOBILHOME 6 personnes - Texas 2,Camping Le Ranch des Volcans,4 Adultes, 63140 CHATEL GUYON,,,18,camping-le-ranch-des-volcans-77114,
,01/05/2023,06/05/2023,13/05/2023,507.40,507.40,MOBILHOME 6 personnes - Nevada 2,Camping Le Ranch des Volcans,6 Adultes, 63140 CHATEL GUYON,,,18,camping-le-ranch-des-volcans-77114,
,01/05/2023,06/05/2023,13/05/2023,607.50,607.50,MOBILHOME 8 personnes - Nevada 3,Camping Le Ranch des Volcans,6 Adultes, 63140 CHATEL GUYON,,,18,camping-le-ranch-des-volcans-77114,
,01/05/2023,06/05/2023,13/05/2023,657.70,657.70,MOBILHOME 10 personnes - Arizona 4,Camping Le Ranch des Volcans,10 Adultes, 63140 CHATEL GUYON,,,18,camping-le-ranch-des-volcans-77114,
,01/05/2023,06/05/2023,13/05/2023,212,212,CHALET 4 personnes - PMR,Camping La Fressange,4 Adultes, 43140 SAINT DIDIER EN VELAY,,,18,camping-la-fressange-82339,
,01/05/2023,06/05/2023,13/05/2023,227,227,CHALET 6 personnes,Camping La Fressange,6 Adultes, 43140 SAINT DIDIER EN VELAY,,,18,camping-la-fressange-82339,
,01/05/2023,06/05/2023,13/05/2023,185,185,"CHALET 4 personnes - Mini-Chalet Isabelle, sans sanitaires",Camping de Tauves,4 Adultes, 63690 TAUVES,,,18,camping-de-tauves-78610,
,01/05/2023,06/05/2023,13/05/2023,195,195,"CHALET 4 personnes - Mini-Chalet Olga,  sans sanitaires",Camping de Tauves,4 Adultes, 63690 TAUVES,,,18,camping-de-tauves-78610,
,01/05/2023,06/05/2023,13/05/2023,396,396,MOBILHOME 4 personnes - Loisirs,Camping De La Croze,4 Adultes,Hippolyte ,,,18,camping-de-la-croze-77115,
,01/05/2023,06/05/2023,13/05/2023,420,420,MOBILHOME 4 personnes - Zen,Camping De La Croze,4 Adultes,Hippolyte ,,,18,camping-de-la-croze-77115,
,01/05/2023,06/05/2023,13/05/2023,538,538,CHALET 5 personnes - Edelweiss,Camping De La Croze,5 Adultes,Hippolyte ,,,18,camping-de-la-croze-77115,
,01/05/2023,06/05/2023,13/05/2023,385,385,TENTE 5 personnes - CANADIENNE sans sanitaires,Le Vaubarlet - Camping Sites et Paysages,4 Adultes, 43600 SAINTE SIGOLENE,,,18,le-vaubarlet-camping-sites-et-paysages-82270,
,01/05/2023,06/05/2023,13/05/2023,385,385,MOBILHOME 4 personnes - VIVARIO PMR,Le Vaubarlet - Camping Sites et Paysages,4 Adultes, 43600 SAINTE SIGOLENE,,,18,le-vaubarlet-camping-sites-et-paysages-82270,
,01/05/2023,06/05/2023,13/05/2023,420,420,CHALET 5 personnes - COUNTRY LODGE,Le Vaubarlet - Camping Sites et Paysages,5 Adultes, 43600 SAINTE SIGOLENE,,,18,le-vaubarlet-camping-sites-et-paysages-82270,
,01/05/2023,06/05/2023,13/05/2023,480,480,MOBILHOME 6 personnes - TAMARIS,Le Vaubarlet - Camping Sites et Paysages,6 Adultes, 43600 SAINTE SIGOLENE,,,18,le-vaubarlet-camping-sites-et-paysages-82270,
