web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,217,217,TENTE TOILE ET BOIS 4 personnes - Robinson (sans sanitaires),Camping les Chelles,4 Adultes, 63880 OLLIERGUES,,,18,camping-les-chelles-77900,
,01/05/2023,07/05/2023,14/05/2023,242,242,MOBILHOME 4 personnes - 2 chambres,Camping les Chelles,4 Adultes, 63880 OLLIERGUES,,,18,camping-les-chelles-77900,
,01/05/2023,07/05/2023,14/05/2023,252,252,CHALET 7 personnes - 2 chambres,Camping les Chelles,5 Adultes, 63880 OLLIERGUES,,,18,camping-les-chelles-77900,
,01/05/2023,07/05/2023,14/05/2023,290.50,290.50,MOBILHOME 5 personnes - 2 chambres - M63,Camping les Chelles,4 Adultes, 63880 OLLIERGUES,,,18,camping-les-chelles-77900,
,01/05/2023,07/05/2023,14/05/2023,298,298,MOBILHOME 6 personnes - 3 chambres - M41,Camping les Chelles,6 Adultes, 63880 OLLIERGUES,,,18,camping-les-chelles-77900,
,01/05/2023,07/05/2023,14/05/2023,350,350,MOBILHOME 8 personnes - 4 chambres,Camping les Chelles,8 Adultes, 63880 OLLIERGUES,,,18,camping-les-chelles-77900,
,01/05/2023,07/05/2023,14/05/2023,443.40,443.40,CHALET 6 personnes - Chalet,Camping Le Ranch des Volcans,4 Adultes, 63140 CHATEL GUYON,,,18,camping-le-ranch-des-volcans-77114,
,01/05/2023,07/05/2023,14/05/2023,493.10,493.10,MOBILHOME 6 personnes - Nevada 2,Camping Le Ranch des Volcans,6 Adultes, 63140 CHATEL GUYON,,,18,camping-le-ranch-des-volcans-77114,
,01/05/2023,07/05/2023,14/05/2023,593.20,593.20,MOBILHOME 8 personnes - Nevada 3,Camping Le Ranch des Volcans,6 Adultes, 63140 CHATEL GUYON,,,18,camping-le-ranch-des-volcans-77114,
,01/05/2023,07/05/2023,14/05/2023,643.50,643.50,MOBILHOME 10 personnes - Arizona 4,Camping Le Ranch des Volcans,10 Adultes, 63140 CHATEL GUYON,,,18,camping-le-ranch-des-volcans-77114,
,01/05/2023,07/05/2023,14/05/2023,222.29,222.29,CHALET 4 personnes - PMR,Camping La Fressange,4 Adultes, 43140 SAINT DIDIER EN VELAY,,,18,camping-la-fressange-82339,
,01/05/2023,07/05/2023,14/05/2023,243.57,243.57,CHALET 6 personnes,Camping La Fressange,6 Adultes, 43140 SAINT DIDIER EN VELAY,,,18,camping-la-fressange-82339,
,01/05/2023,07/05/2023,14/05/2023,185,185,"CHALET 4 personnes - Mini-Chalet Isabelle, sans sanitaires",Camping de Tauves,4 Adultes, 63690 TAUVES,,,18,camping-de-tauves-78610,
,01/05/2023,07/05/2023,14/05/2023,195,195,"CHALET 4 personnes - Mini-Chalet Olga,  sans sanitaires",Camping de Tauves,4 Adultes, 63690 TAUVES,,,18,camping-de-tauves-78610,
,01/05/2023,07/05/2023,14/05/2023,380,380,MOBILHOME 4 personnes,,4 Adultes, 63440 SAINT GAL SUR SIOULE,,,18,camping-du-pont-de-saint-gal-78258,
,01/05/2023,07/05/2023,14/05/2023,411.43,411.43,MOBILHOME 4 personnes - Loisirs,Camping De La Croze,4 Adultes,Hippolyte ,,,18,camping-de-la-croze-77115,
,01/05/2023,07/05/2023,14/05/2023,436,436,MOBILHOME 4 personnes - Zen,Camping De La Croze,4 Adultes,Hippolyte ,,,18,camping-de-la-croze-77115,
,01/05/2023,07/05/2023,14/05/2023,549.43,549.43,CHALET 5 personnes - Edelweiss,Camping De La Croze,5 Adultes,Hippolyte ,,,18,camping-de-la-croze-77115,
,01/05/2023,07/05/2023,14/05/2023,315,315,CARAVANE 4 personnes - Safari 20m2,Camping Le Montbartoux,4 Adultes,Ville ,,,18,camping-le-montbartoux-82846,
,01/05/2023,07/05/2023,14/05/2023,525,525,MOBILHOME 7 personnes - Le panoramique,Camping Le Montbartoux,7 Adultes,Ville ,,,18,camping-le-montbartoux-82846,
,01/05/2023,07/05/2023,14/05/2023,385,385,TENTE 5 personnes - CANADIENNE sans sanitaires,Le Vaubarlet - Camping Sites et Paysages,4 Adultes, 43600 SAINTE SIGOLENE,,,18,le-vaubarlet-camping-sites-et-paysages-82270,
,01/05/2023,07/05/2023,14/05/2023,510,510,TENTE TOILE ET BOIS 5 personnes - SAFARI LODGE,Le Vaubarlet - Camping Sites et Paysages,5 Adultes, 43600 SAINTE SIGOLENE,,,18,le-vaubarlet-camping-sites-et-paysages-82270,
,01/05/2023,07/05/2023,14/05/2023,570,570,MOBILHOME 6 personnes - COTTAGE SUITE PRIILEGE,Le Vaubarlet - Camping Sites et Paysages,6 Adultes, 43600 SAINTE SIGOLENE,,,18,le-vaubarlet-camping-sites-et-paysages-82270,
,01/05/2023,07/05/2023,14/05/2023,280,280,TENTE 6 personnes,Camping Le Lignon,6 Adultes, 43400 LE CHAMBON SUR LIGNON,,,18,camping-le-lignon-77520,
,01/05/2023,07/05/2023,14/05/2023,390,390,MOBILHOME 4 personnes - TULIPE et ORCHIDÉE,Camping Le Lignon,2 Adultes, 43400 LE CHAMBON SUR LIGNON,,,18,camping-le-lignon-77520,
,01/05/2023,07/05/2023,14/05/2023,460,460,MOBILHOME 6 personnes - EVASION,Camping Le Lignon,4 Adultes, 43400 LE CHAMBON SUR LIGNON,,,18,camping-le-lignon-77520,
,01/05/2023,07/05/2023,14/05/2023,520,520,MOBILHOME 6 personnes - CAPUCINE/CAMELIA,Camping Le Lignon,4 Adultes, 43400 LE CHAMBON SUR LIGNON,,,18,camping-le-lignon-77520,
,01/05/2023,07/05/2023,14/05/2023,560,560,MOBILHOME 4 personnes - EGLANTINE PMR,Camping Le Lignon,4 Adultes, 43400 LE CHAMBON SUR LIGNON,,,18,camping-le-lignon-77520,
,01/05/2023,07/05/2023,14/05/2023,620,620,MOBILHOME 8 personnes - PETUNIA et GERANIUM,Camping Le Lignon,6 Adultes, 43400 LE CHAMBON SUR LIGNON,,,18,camping-le-lignon-77520,
,01/05/2023,07/05/2023,14/05/2023,788,788,MOBILHOME 6 personnes -  Premium 33m² 3 chambres + Terrasse + TV + LV + BBQ + Quartier Piéton,Camping FLOWER La Rochelambert,6 Adultes, 43350 SAINT PAULIEN,,,18,camping-flower-la-rochelambert-77919,
,01/05/2023,07/05/2023,14/05/2023,611.43,611.43,BUNGALOW 6 personnes - LODGE PREMIUM,Camping Les Vernières,4 Adultes, 63150 LA BOURBOULE,,,18,camping-les-vernieres-78890,
,01/05/2023,07/05/2023,14/05/2023,255,255,MOBILHOME 6 personnes - Mercure,Camping les Rives du Lac,4 Adultes,dit Espinet ,,,18,camping-les-rives-du-lac-86271,
,01/05/2023,07/05/2023,14/05/2023,255,255,MOBILHOME 6 personnes - Riviera,Camping les Rives du Lac,4 Adultes,dit Espinet ,,,18,camping-les-rives-du-lac-86271,
,01/05/2023,07/05/2023,14/05/2023,285,285,MOBILHOME 7 personnes,Camping les Rives du Lac,4 Adultes,dit Espinet ,,,18,camping-les-rives-du-lac-86271,
,01/05/2023,07/05/2023,14/05/2023,315,315,MOBILHOME 6 personnes -  3 chambres Familia,Camping les Rives du Lac,6 Adultes,dit Espinet ,,,18,camping-les-rives-du-lac-86271,
,01/05/2023,07/05/2023,14/05/2023,365,365,TENTE TOILE ET BOIS 4 personnes - TENTE SAFARI (SANS SANITAIRES),Camping Les Loges,4 Adultes, 63340 NONETTE,,,18,camping-les-loges-77890,
,01/05/2023,07/05/2023,14/05/2023,370,370,MOBILHOME 4 personnes - 18 M²,Camping Les Loges,4 Adultes, 63340 NONETTE,,,18,camping-les-loges-77890,
,01/05/2023,07/05/2023,14/05/2023,400,400,MOBILHOME 4 personnes,Domaine du Pra de Mars,4 Adultes, 43800 VOREY,,,18,domaine-du-pra-de-mars-78787,
,01/05/2023,07/05/2023,14/05/2023,450,450,MOBILHOME 6 personnes - MH3 WATIPI 36 m²,Domaine du Pra de Mars,6 Adultes, 43800 VOREY,,,18,domaine-du-pra-de-mars-78787,
,01/05/2023,07/05/2023,14/05/2023,497,445.50,MOBILHOME 4 personnes,Camping de la Haute Sioule,4 Adultes, 63210 SAINT BONNET PRES ORCIVAL,,,18,camping-de-la-haute-sioule-82760,
,01/05/2023,07/05/2023,14/05/2023,497,445.50,HÉBERGEMENT INSOLITE 4 personnes - ROULOTTE,Camping de la Haute Sioule,4 Adultes, 63210 SAINT BONNET PRES ORCIVAL,,,18,camping-de-la-haute-sioule-82760,
,01/05/2023,07/05/2023,14/05/2023,557,499.50,MOBILHOME 6 personnes,Camping de la Haute Sioule,6 Adultes, 63210 SAINT BONNET PRES ORCIVAL,,,18,camping-de-la-haute-sioule-82760,
,01/05/2023,07/05/2023,14/05/2023,480,480,MOBILHOME 5 personnes - 29M²,Camping la Marmotte,5 Adultes, 63150 LA BOURBOULE,,,18,camping-la-marmotte-86254,
,01/05/2023,07/05/2023,14/05/2023,581,581,MOBILHOME 6 personnes - 36M²,Camping la Marmotte,6 Adultes, 63150 LA BOURBOULE,,,18,camping-la-marmotte-86254,
,01/05/2023,07/05/2023,14/05/2023,684,684,CHALET 6 personnes - Sésame 35m²,Camping la Marmotte,6 Adultes, 63150 LA BOURBOULE,,,18,camping-la-marmotte-86254,
,01/05/2023,07/05/2023,14/05/2023,594,594,MOBILHOME 4 personnes - FAMILY,Domaine du Lac de Chambon,4 Adultes, 63790 MUROL,,,18,domaine-du-lac-de-chambon-77859,
,01/05/2023,07/05/2023,14/05/2023,636,636,MOBILHOME 6 personnes,Domaine du Lac de Chambon,6 Adultes, 63790 MUROL,,,18,domaine-du-lac-de-chambon-77859,
,01/05/2023,07/05/2023,14/05/2023,744,744,MOBILHOME 4 personnes - PREMIUM PMR,Domaine du Lac de Chambon,4 Adultes, 63790 MUROL,,,18,domaine-du-lac-de-chambon-77859,
,01/05/2023,07/05/2023,14/05/2023,744,744,MOBILHOME 4 personnes - Cottage FAMILY PMR 4 personnes,Domaine du Lac de Chambon,2 Adultes, 63790 MUROL,,,18,domaine-du-lac-de-chambon-77859,
