web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,175.0,175.0,CHALET 4 personnes - Mini-Chalet Isabelle Sans sanitaires,Camping de Saulieu,4 Adultes, 21210 SAULIEU,,,18,camping-de-saulieu-78505,
,01/05/2023,07/05/2023,14/05/2023,200.0,200.0,"CHALET 4 personnes - Olga, Sans sanitaires",Camping de Saulieu,4 Adultes, 21210 SAULIEU,,,18,camping-de-saulieu-78505,
,01/05/2023,07/05/2023,14/05/2023,308.0,308.0,MOBILHOME 2 personnes,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,385.0,385.0,TENTE TOILE ET BOIS 5 personnes - LODGE AMAZONE,Camping de l'Arquebuse,5 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,385.0,385.0,MOBILHOME 4 personnes - Sans sanitaire,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,423.5,423.5,MOBILHOME 2 personnes - AVEC SANITAIRES,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,433.3,433.3,BUNGALOW TOILÉ 4 personnes - COCO SWEET - SANS SANITAIRES,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,462.0,462.0,MOBILHOME 4 personnes - AVEC SANITAIRES,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,500.5,500.5,MOBILHOME 4 personnes - SANS SANITAIRES,Camping de l'Arquebuse,3 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,539.0,539.0,MOBILHOME 4 personnes - RIDOREV,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,546.7,546.7,MOBILHOME 6 personnes - SUPER MERCURE,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,716.1,716.1,MOBILHOME 8 personnes - TITANIA,Camping de l'Arquebuse,6 Adultes, 21130 ATHEE,,,18,camping-de-l-arquebuse-79078,
,01/05/2023,07/05/2023,14/05/2023,204.0,183.6,CHALET 4 personnes - Sans sanitaires,Camping Les Bains,4 Adultes, 58360 SAINT HONORE LES BAINS,,,18,camping-les-bains-78304,
