web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,20/08/2023,27/08/2023,308,308,MOBILHOME 2 personnes,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,33,camping-de-l-arquebuse-79078,
,01/05/2023,20/08/2023,27/08/2023,385,385,MOBILHOME 4 personnes - Sans sanitaire,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,33,camping-de-l-arquebuse-79078,
,01/05/2023,20/08/2023,27/08/2023,433.30,433.30,BUNGALOW TOILÉ 4 personnes - COCO SWEET - SANS SANITAIRES,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,33,camping-de-l-arquebuse-79078,
,01/05/2023,20/08/2023,27/08/2023,462,462,MOBILHOME 4 personnes - AVEC SANITAIRES,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,33,camping-de-l-arquebuse-79078,
,01/05/2023,20/08/2023,27/08/2023,500.50,500.50,MOBILHOME 4 personnes - SANS SANITAIRES,Camping de l'Arquebuse,3 Adultes, 21130 ATHEE,,,33,camping-de-l-arquebuse-79078,
,01/05/2023,20/08/2023,27/08/2023,539,539,MOBILHOME 4 personnes - RIDOREV,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,33,camping-de-l-arquebuse-79078,
,01/05/2023,20/08/2023,27/08/2023,631.40,631.40,MOBILHOME 6 personnes - SUPER MERCURE,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,33,camping-de-l-arquebuse-79078,
,01/05/2023,20/08/2023,27/08/2023,800.80,800.80,MOBILHOME 8 personnes - TITANIA,Camping de l'Arquebuse,6 Adultes, 21130 ATHEE,,,33,camping-de-l-arquebuse-79078,
,01/05/2023,20/08/2023,27/08/2023,378,378,MOBILHOME 6 personnes - FAMILLE PLUS,Camping Ile d'Amour,6 Adultes,sur,,,33,camping-ile-d-amour-87221,
,01/05/2023,20/08/2023,27/08/2023,409.50,409.50,MOBILHOME 5 personnes - LOGGIA,Camping Ile d'Amour,4 Adultes,sur,,,33,camping-ile-d-amour-87221,
,01/05/2023,20/08/2023,27/08/2023,138,138,EMPLACEMENT 6 personnes - Terrain nu,Camping Les Platanes,, 89120 CHARNY,,,33,camping-les-platanes-84589,
,01/05/2023,20/08/2023,27/08/2023,290,290,BUNGALOW TOILÉ 5 personnes - SAFARI 2 chambres 4/5 pers.,Camping Les Platanes,4 Adultes, 89120 CHARNY,,,33,camping-les-platanes-84589,
,01/05/2023,20/08/2023,27/08/2023,664.80,664.80,TENTE 5 personnes - LODGE sans sanitaires,Camping Le Bois Guillaume,5 Adultes, 89350 VILLENEUVE LES GENETS,,,33,camping-le-bois-guillaume-84445,
,01/05/2023,20/08/2023,27/08/2023,711.60,711.60,MOBILHOME 5 personnes - DOMINO,Camping Le Bois Guillaume,5 Adultes, 89350 VILLENEUVE LES GENETS,,,33,camping-le-bois-guillaume-84445,
,01/05/2023,20/08/2023,27/08/2023,342,342,TENTE 2 personnes - CANADA TRECK  sans sanitaires,Camping Vert Auxois,2 Adultes, 21320 POUILLY EN AUXOIS,,,33,camping-vert-auxois-78108,
,01/05/2023,20/08/2023,27/08/2023,575,575,MOBILHOME 6 personnes - Confort 3 chambres,Camping La Puerta del Sol,6 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,33,camping-la-puerta-del-sol-78274,
,01/05/2023,20/08/2023,27/08/2023,645,645,MOBILHOME 4 personnes - Premium 2CH  29M²,Camping La Puerta del Sol,4 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,33,camping-la-puerta-del-sol-78274,
,01/05/2023,20/08/2023,27/08/2023,745,745,MOBILHOME 6 personnes - Prestige 33 à 35m² 3 chambres,Camping La Puerta del Sol,6 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,33,camping-la-puerta-del-sol-78274,
,01/05/2023,20/08/2023,27/08/2023,850,850,MOBILHOME 6 personnes - Premium 3CH 32M²,Camping La Puerta del Sol,6 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,33,camping-la-puerta-del-sol-78274,
,01/05/2023,20/08/2023,27/08/2023,1754.60,1614.60,MOBILHOME 4 personnes - 4 pax standard 2 chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,33,village-club-les-sables-dor-77569,
