web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,427,427,MOBILHOME 4 personnes - Bahia Duo,Camping Lacasa,4 Adultes,"dit, D81, Pianottolo ",,,18,camping-lacasa-76972,
,01/05/2023,07/05/2023,14/05/2023,462,462,MOBILHOME 6 personnes - Bermudes Trio,Camping Lacasa,6 Adultes,"dit, D81, Pianottolo ",,,18,camping-lacasa-76972,
,01/05/2023,07/05/2023,14/05/2023,430,199,MOBILHOME 4 personnes - Petite Vue Mer (arrivée le dimanche),Camping La Liscia,4 Adultes, 20111 CALCATOGGIO,,,18,camping-la-liscia-76961,
,01/05/2023,07/05/2023,14/05/2023,350,322,MOBILHOME 4 personnes,Camping U pezzo,4 Adultes, 20217 SAINT FLORENT,,,18,camping-u-pezzo-78255,
,01/05/2023,07/05/2023,14/05/2023,529.40,413.40,MOBILHOME 6 personnes - 6 Places,Camping U pezzo,6 Adultes, 20217 SAINT FLORENT,,,18,camping-u-pezzo-78255,
,01/05/2023,07/05/2023,14/05/2023,539,539,CHALET 5 personnes - Amandier,Camping Paradella,3 Adultes, 20214 CALENZANA,,,18,camping-paradella-76977,
,01/05/2023,07/05/2023,14/05/2023,616,616,MOBILHOME 6 personnes - Eucalyptus,Camping Paradella,6 Adultes, 20214 CALENZANA,,,18,camping-paradella-76977,
,01/05/2023,07/05/2023,14/05/2023,280,238,BUNGALOW TOILÉ 4 personnes - 2 chambres - sans sanitaires,Camping Campo di Liccia,4 Adultes, 20169 BONIFACIO,,,18,camping-campo-di-liccia-76923,
,01/05/2023,07/05/2023,14/05/2023,400,340,MOBILHOME 6 personnes - 2 chambres et convertible salon + climatisation,Camping Campo di Liccia,4 Adultes, 20169 BONIFACIO,,,18,camping-campo-di-liccia-76923,
,01/05/2023,07/05/2023,14/05/2023,410,348.50,MOBILHOME 4 personnes - MAQUIS 2 chambres + climatisation,Camping Campo di Liccia,4 Adultes, 20169 BONIFACIO,,,18,camping-campo-di-liccia-76923,
,01/05/2023,07/05/2023,14/05/2023,430,365.50,MOBILHOME 6 personnes - 3 chambres + climatisation,Camping Campo di Liccia,6 Adultes, 20169 BONIFACIO,,,18,camping-campo-di-liccia-76923,
,01/05/2023,07/05/2023,14/05/2023,440,374,CHALET 6 personnes - 3 chambres + climatisation,Camping Campo di Liccia,6 Adultes, 20169 BONIFACIO,,,18,camping-campo-di-liccia-76923,
,01/05/2023,07/05/2023,14/05/2023,450,382.50,MOBILHOME 6 personnes - MAQUIS 3 chambres + climatisation,Camping Campo di Liccia,6 Adultes, 20169 BONIFACIO,,,18,camping-campo-di-liccia-76923,
,01/05/2023,07/05/2023,14/05/2023,485.48,203.90,MOBILHOME 4 personnes - 3 Pièces 4 Personnes Climatisé,Camping maeva Escapades Le Colomba,4 Adultes, 20113 OLMETO,,,18,camping-maeva-escapades-le-colomba-77901,
