web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,234,234,MOBILHOME 8 personnes - Eden - 4 chambres,Camping Paradis - Barberousse,8 Adultes, 11430 GRUISSAN,,,18,camping-paradis-barberousse-79788,
,01/05/2023,06/05/2023,13/05/2023,377,272,MOBILHOME 4 personnes - Cosy 2 chambres Climatisé  (I42C),Camping La Falaise,4 Adultes, 11100 NARBONNE PLAGE,,,18,camping-la-falaise-77875,
,01/05/2023,06/05/2023,13/05/2023,203,172.55,MOBILHOME 6 personnes - Classic 4/6 places,Camping Le Val de Cesse,4 Adultes, 11120 MIREPEISSET,,,18,camping-le-val-de-cesse-77745,
,01/05/2023,06/05/2023,13/05/2023,231,196.35,MOBILHOME 6 personnes - Classic XL 4/6 places,Camping Le Val de Cesse,4 Adultes, 11120 MIREPEISSET,,,18,camping-le-val-de-cesse-77745,
,01/05/2023,06/05/2023,13/05/2023,259,220.15,MOBILHOME 6 personnes - Classic XL,Camping Le Val de Cesse,6 Adultes, 11120 MIREPEISSET,,,18,camping-le-val-de-cesse-77745,
,01/05/2023,06/05/2023,13/05/2023,342,342,TENTE TOILE ET BOIS 4 personnes - COCO SWEET sans sanitaires,Le Moulin de Sainte-Anne - Camping Sites et Paysages,4 Adultes,Anne ,,,18,le-moulin-de-sainte-anne-camping-sites-et-paysages-87661,
,01/05/2023,06/05/2023,13/05/2023,415,415,CHALET 4 personnes - MONTANA,Le Moulin de Sainte-Anne - Camping Sites et Paysages,4 Adultes,Anne ,,,18,le-moulin-de-sainte-anne-camping-sites-et-paysages-87661,
,01/05/2023,06/05/2023,13/05/2023,453,453,MOBILHOME 4 personnes - LOGGIA,Le Moulin de Sainte-Anne - Camping Sites et Paysages,2 Adultes,Anne ,,,18,le-moulin-de-sainte-anne-camping-sites-et-paysages-87661,
,01/05/2023,06/05/2023,13/05/2023,420,420,CHALET 4 personnes - 2 chambres,Camping Innature - Camping Sites et Paysages,4 Adultes, 11190 ARQUES,,,18,camping-innature-camping-sites-et-paysages-89352,
,01/05/2023,06/05/2023,13/05/2023,455,455,MOBILHOME 4 personnes - 2 chambres,Camping Innature - Camping Sites et Paysages,4 Adultes, 11190 ARQUES,,,18,camping-innature-camping-sites-et-paysages-89352,
,01/05/2023,06/05/2023,13/05/2023,455,455,CHALET 6 personnes - 3 chambres,Camping Innature - Camping Sites et Paysages,6 Adultes, 11190 ARQUES,,,18,camping-innature-camping-sites-et-paysages-89352,
,01/05/2023,06/05/2023,13/05/2023,595,595,MOBILHOME 6 personnes - 3 chambres,Camping Innature - Camping Sites et Paysages,6 Adultes, 11190 ARQUES,,,18,camping-innature-camping-sites-et-paysages-89352,
,01/05/2023,06/05/2023,13/05/2023,700,700,VILLA 6 personnes - avec spa privatif,Camping Innature - Camping Sites et Paysages,6 Adultes, 11190 ARQUES,,,18,camping-innature-camping-sites-et-paysages-89352,
,01/05/2023,06/05/2023,13/05/2023,347,347,MOBILHOME 4 personnes - PREMIUM Côté Jardin,Camping La Grange Neuve,4 Adultes,Nord ,,,18,camping-la-grange-neuve-78536,
,01/05/2023,06/05/2023,13/05/2023,310,310,MOBILHOME 4 personnes - Horizon 1 ou 2,Camping Le Fontaulie Sud,4 Adultes, 11500 NEBIAS,,,18,camping-le-fontaulie-sud-94488,
,01/05/2023,06/05/2023,13/05/2023,310,310,MOBILHOME 4 personnes - Atlantic,Camping Le Fontaulie Sud,4 Adultes, 11500 NEBIAS,,,18,camping-le-fontaulie-sud-94488,
,01/05/2023,06/05/2023,13/05/2023,414.40,414.40,TENTE 4 personnes - LODGE ECO sans sanitaires,Camping Les Chalets du Lac,4 Adultes, 11340 BELCAIRE,,,18,camping-les-chalets-du-lac-76860,
,01/05/2023,06/05/2023,13/05/2023,440.80,440.80,BUNGALOW 4 personnes - TRAPPEUR sans sanitaires,Camping Les Chalets du Lac,2 Adultes, 11340 BELCAIRE,,,18,camping-les-chalets-du-lac-76860,
,01/05/2023,06/05/2023,13/05/2023,503.60,503.60,TENTE 5 personnes - LODGE CONFORT avec sanitaires,Camping Les Chalets du Lac,5 Adultes, 11340 BELCAIRE,,,18,camping-les-chalets-du-lac-76860,
,01/05/2023,06/05/2023,13/05/2023,563,563,CHALET 4 personnes - MARMOTTE,Camping Les Chalets du Lac,4 Adultes, 11340 BELCAIRE,,,18,camping-les-chalets-du-lac-76860,
,01/05/2023,06/05/2023,13/05/2023,718.20,718.20,CHALET 6 personnes - LES TREFLES - 3 chambres,Camping Les Chalets du Lac,6 Adultes, 11340 BELCAIRE,,,18,camping-les-chalets-du-lac-76860,
,01/05/2023,06/05/2023,13/05/2023,772.20,772.20,CHALET 6 personnes - LES CÈDRES,Camping Les Chalets du Lac,6 Adultes, 11340 BELCAIRE,,,18,camping-les-chalets-du-lac-76860,
