web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,355.0,256.0,MOBILHOME 4 personnes - Cosy 2 chambres Climatisé  (I42C),Camping La Falaise,4 Adultes, 11100 NARBONNE PLAGE,,,18,camping-la-falaise-77875,
,01/05/2023,07/05/2023,14/05/2023,203.0,172.55,MOBILHOME 6 personnes - Classic 4/6 places,Camping Le Val de Cesse,4 Adultes, 11120 MIREPEISSET,,,18,camping-le-val-de-cesse-77745,
,01/05/2023,07/05/2023,14/05/2023,231.0,196.35,MOBILHOME 6 personnes - Classic XL 4/6 places,Camping Le Val de Cesse,4 Adultes, 11120 MIREPEISSET,,,18,camping-le-val-de-cesse-77745,
,01/05/2023,07/05/2023,14/05/2023,259.0,220.15,MOBILHOME 6 personnes - Classic XL,Camping Le Val de Cesse,6 Adultes, 11120 MIREPEISSET,,,18,camping-le-val-de-cesse-77745,
,01/05/2023,07/05/2023,14/05/2023,333.0,333.0,TENTE TOILE ET BOIS 4 personnes - COCO SWEET sans sanitaires,Le Moulin de Sainte-Anne - Camping Sites et Paysages,4 Adultes,Anne ,,,18,le-moulin-de-sainte-anne-camping-sites-et-paysages-87661,
,01/05/2023,07/05/2023,14/05/2023,405.0,405.0,CHALET 4 personnes - MONTANA,Le Moulin de Sainte-Anne - Camping Sites et Paysages,4 Adultes,Anne ,,,18,le-moulin-de-sainte-anne-camping-sites-et-paysages-87661,
,01/05/2023,07/05/2023,14/05/2023,442.0,442.0,MOBILHOME 4 personnes - LOGGIA,Le Moulin de Sainte-Anne - Camping Sites et Paysages,2 Adultes,Anne ,,,18,le-moulin-de-sainte-anne-camping-sites-et-paysages-87661,
,01/05/2023,07/05/2023,14/05/2023,425.0,425.0,CHALET 4 personnes - 2 chambres,Camping Innature - Camping Sites et Paysages,4 Adultes, 11190 ARQUES,,,18,camping-innature-camping-sites-et-paysages-89352,
,01/05/2023,07/05/2023,14/05/2023,460.0,460.0,MOBILHOME 4 personnes - 2 chambres,Camping Innature - Camping Sites et Paysages,4 Adultes, 11190 ARQUES,,,18,camping-innature-camping-sites-et-paysages-89352,
,01/05/2023,07/05/2023,14/05/2023,460.0,460.0,CHALET 6 personnes - 3 chambres,Camping Innature - Camping Sites et Paysages,6 Adultes, 11190 ARQUES,,,18,camping-innature-camping-sites-et-paysages-89352,
