web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,294.0,294.0,GÎTE 6 personnes - 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,07/05/2023,14/05/2023,357.0,357.0,MOBILHOME 6 personnes - Confort 3 Chambres 6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,07/05/2023,14/05/2023,427.0,427.0,MOBILHOME 6 personnes - Privilège 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,07/05/2023,14/05/2023,504.0,504.0,MOBILHOME 8 personnes - Privilège 3 Chambres 6/8 pers,Camping Sea Green L'Occitan,8 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,07/05/2023,14/05/2023,802.26,337.26,MOBILHOME 4 personnes - 4 pax standard 2 chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-77569,
,01/05/2023,07/05/2023,14/05/2023,1114.3,468.3,MOBILHOME 6 personnes - 6 personnes Standard 3 chambres,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-77569,
,01/05/2023,07/05/2023,14/05/2023,1356.94,569.94,MOBILHOME 6 personnes - Premium 2 chambres 2 sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-77569,
,01/05/2023,07/05/2023,14/05/2023,1587.96,666.96,MOBILHOME 6 personnes - 6 personnes Premium 3 chambres 2 sdb,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-77569,
,01/05/2023,07/05/2023,14/05/2023,1818.98,763.98,MOBILHOME 6 personnes - Premium 3 Chbr / 2 Sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-77569,
,01/05/2023,07/05/2023,14/05/2023,338.2,271.2,MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,338.2,271.2,MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
,01/05/2023,07/05/2023,14/05/2023,395.0,316.0,MOBILHOME 6 personnes - Mh Evasion+ 6P 2CH 28m² Sam,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,18,camping-le-clos-virgile-78527,
