web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,19/08/2023,26/08/2023,499,499,MOBILHOME 2 personnes - PAQUERETTE,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,569,569,MOBILHOME 4 personnes - CROCUS - 2 Chambres,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,569,569,MOBILHOME 4 personnes - HORTENSIA,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,669,669,CHALET 4 personnes - CAPUCINE 1 chambre,Camping Domaine de Gaujac - Camping Paradis,4 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,699,699,MOBILHOME 4 personnes - IRIS,Camping Domaine de Gaujac - Camping Paradis,3 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,699,699,MOBILHOME 4 personnes - JONQUILLE,Camping Domaine de Gaujac - Camping Paradis,3 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,699,699,MOBILHOME 4 personnes - ORCHIDEE,Camping Domaine de Gaujac - Camping Paradis,2 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,719,719,MOBILHOME 4 personnes - DAHLIA,Camping Domaine de Gaujac - Camping Paradis,3 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,719,719,MOBILHOME 4 personnes - COQUELICOT,Camping Domaine de Gaujac - Camping Paradis,3 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,819,819,MOBILHOME 4 personnes - TOURNESOL,Camping Domaine de Gaujac - Camping Paradis,3 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,1149,1149,MOBILHOME 6 personnes - LAURIER,Camping Domaine de Gaujac - Camping Paradis,4 Adultes, 30140 BOISSET ET GAUJAC,,,33,camping-domaine-de-gaujac-camping-paradis-76927,
,01/05/2023,19/08/2023,26/08/2023,949,949,MOBILHOME 3 personnes - 2/3 pers. Climatisé,Camping Domaine Résidentiel de Plein Air Elysée,2 Adultes, 30240 LE GRAU DU ROI,,,33,camping-domaine-residentiel-de-plein-air-elysee-77578,
,01/05/2023,19/08/2023,26/08/2023,1259,1259,MOBILHOME 5 personnes - Climatisé,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,,33,camping-domaine-residentiel-de-plein-air-elysee-77578,
,01/05/2023,19/08/2023,26/08/2023,1289,1289,MOBILHOME 6 personnes - Terrasse couverte,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,,33,camping-domaine-residentiel-de-plein-air-elysee-77578,
,01/05/2023,19/08/2023,26/08/2023,1399,1399,MOBILHOME 6 personnes - Climatisé,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,,33,camping-domaine-residentiel-de-plein-air-elysee-77578,
,01/05/2023,19/08/2023,26/08/2023,959,959,MOBILHOME 6 personnes - EVO 29,Camping Le Pradal,4 Adultes, 30140 ANDUZE,,,33,camping-le-pradal-80808,
,01/05/2023,19/08/2023,26/08/2023,1257,1257,CHALET 6 personnes - 2 Chambres,Camping Eden,6 Adultes,Port Camargue ,,,33,camping-eden-77586,
,01/05/2023,19/08/2023,26/08/2023,1299,1299,MOBILHOME 6 personnes - 2 chambres 4/6 places,Camping Eden,6 Adultes,Port Camargue ,,,33,camping-eden-77586,
,01/05/2023,19/08/2023,26/08/2023,1319,1319,MOBILHOME 6 personnes - 2 Chambres,Camping Eden,6 Adultes,Port Camargue ,,,33,camping-eden-77586,
,01/05/2023,19/08/2023,26/08/2023,1456,1456,MOBILHOME 6 personnes - 2 Chambres (Clim ),Camping Eden,6 Adultes,Port Camargue ,,,33,camping-eden-77586,
,01/05/2023,19/08/2023,26/08/2023,1823,1823,MOBILHOME 6 personnes - 3 Chambres (Clim),Camping Eden,6 Adultes,Port Camargue ,,,33,camping-eden-77586,
,01/05/2023,19/08/2023,26/08/2023,899,899,MOBILHOME 5 personnes - 2 chambres 4/5 places,Camping Mer et Camargue,5 Adultes, 30420 CALVISSON,,,33,camping-mer-et-camargue-76986,
,01/05/2023,19/08/2023,26/08/2023,999,999,MOBILHOME 6 personnes - 3 chambres,Camping Mer et Camargue,6 Adultes, 30420 CALVISSON,,,33,camping-mer-et-camargue-76986,
,01/05/2023,19/08/2023,26/08/2023,749,749,CHALET 4 personnes - Les Lauriers - 2 chambres,Camping Paradis Bellerive,4 Adultes, 30490 MONTFRIN,,,33,camping-paradis-bellerive-77841,
