web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,199.0,199.0,CHALET 2 personnes,Camping des Albères,2 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,377.59,203.9,MOBILHOME 6 personnes - Passion 3 Pièces 4/6 Personnes Climatisé + TV,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,249.0,249.0,CHALET 4 personnes,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,299.0,299.0,MOBILHOME 4 personnes - Gamme Loisirs,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,319.0,319.0,MOBILHOME 6 personnes - PASSION,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,339.0,339.0,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,339.0,339.0,MOBILHOME 4 personnes - DUO,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,499.0,499.0,MOBILHOME 4 personnes - PREMIUM JACUZZI,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,519.0,519.0,MOBILHOME 8 personnes - QUATTRO,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,599.0,599.0,MOBILHOME 6 personnes - PREMIUM JACUZZI,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,18,camping-des-alberes-77482,
,01/05/2023,07/05/2023,14/05/2023,367.4,294.4,MOBILHOME 4 personnes - Sumba CLASSIC Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,,18,camping-club-le-littoral-76763,
,01/05/2023,07/05/2023,14/05/2023,385.0,308.0,MOBILHOME 4 personnes - Sumba CONFORT Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,,18,camping-club-le-littoral-76763,
,01/05/2023,07/05/2023,14/05/2023,390.8,312.8,MOBILHOME 6 personnes - Malaga CLASSIC Climatié 4/6 p,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,18,camping-club-le-littoral-76763,
,01/05/2023,07/05/2023,14/05/2023,397.4,318.4,MOBILHOME 4 personnes - Azur CONFORT Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,,18,camping-club-le-littoral-76763,
,01/05/2023,07/05/2023,14/05/2023,425.5,319.5,MOBILHOME 6 personnes - Nirvana CLASSIC Climatisé,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,18,camping-club-le-littoral-76763,
,01/05/2023,07/05/2023,14/05/2023,401.6,321.6,MOBILHOME 4 personnes - Bergame CONFORT Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,,18,camping-club-le-littoral-76763,
,01/05/2023,07/05/2023,14/05/2023,442.25,332.25,MOBILHOME 6 personnes - Venezia CONFORT Climatisé,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,18,camping-club-le-littoral-76763,
,01/05/2023,07/05/2023,14/05/2023,466.25,350.25,MOBILHOME 6 personnes - Bahia CONFORT Climatisé,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,,18,camping-club-le-littoral-76763,
,01/05/2023,07/05/2023,14/05/2023,245.0,245.0,MOBILHOME 4 personnes - 2 chambres 24m²,Camping Le Bois de Pins,4 Adultes, 66600 SALSES LE CHATEAU,,,18,camping-le-bois-de-pins-78456,
,01/05/2023,07/05/2023,14/05/2023,371.0,371.0,MOBILHOME 6 personnes - Confort 3 chambres  32m²,Camping Le Bois de Pins,6 Adultes, 66600 SALSES LE CHATEAU,,,18,camping-le-bois-de-pins-78456,
,01/05/2023,07/05/2023,14/05/2023,295.8,258.8,MOBILHOME 6 personnes - Evasion+ 6 personnes 2 chambres 30m²,Camping Le Beauséjour,6 Adultes, 66700 ARGELES,,,18,camping-le-beausejour-79458,
,01/05/2023,07/05/2023,14/05/2023,403.2,354.2,MOBILHOME 6 personnes - Confort+ 6 personnes 3 chambres 2 sdb,Camping Le Beauséjour,6 Adultes, 66700 ARGELES,,,18,camping-le-beausejour-79458,
,01/05/2023,07/05/2023,14/05/2023,403.2,354.2,MOBILHOME 6 personnes - Confort+ 6 personnes 3 chambres 2 sdb,Camping Le Beauséjour,6 Adultes, 66700 ARGELES,,,18,camping-le-beausejour-79458,
,01/05/2023,07/05/2023,14/05/2023,403.2,354.2,MOBILHOME 6 personnes - Confort+ 6 personnes 3 chambres 2 sdb,Camping Le Beauséjour,6 Adultes, 66700 ARGELES,,,18,camping-le-beausejour-79458,
,01/05/2023,07/05/2023,14/05/2023,418.2,335.2,MOBILHOME 4 personnes - Dune CONFORT climatisé,Camping Club Les Tamaris,4 Adultes, 66420 LE BARCARES,,,18,camping-club-les-tamaris-77541,
,01/05/2023,07/05/2023,14/05/2023,440.0,352.0,CHALET 6 personnes - Samoa CLASSIC Climatisé,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,,18,camping-club-les-tamaris-77541,
,01/05/2023,07/05/2023,14/05/2023,442.4,354.4,MOBILHOME 6 personnes - Faro CONFORT Climatisé 4/6 p,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,,18,camping-club-les-tamaris-77541,
,01/05/2023,07/05/2023,14/05/2023,452.4,362.4,MOBILHOME 6 personnes - Nirvana CLASSIC Climatisé,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,,18,camping-club-les-tamaris-77541,
,01/05/2023,07/05/2023,14/05/2023,473.2,379.2,MOBILHOME 6 personnes - Venezia CONFORT Climatisé,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,,18,camping-club-les-tamaris-77541,
,01/05/2023,07/05/2023,14/05/2023,490.8,392.8,MOBILHOME 6 personnes - Bahia CONFORT Climatisé,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,,18,camping-club-les-tamaris-77541,
,01/05/2023,07/05/2023,14/05/2023,676.75,507.75,MOBILHOME 8 personnes - Tribu CONFORT Climatisé,Camping Club Les Tamaris,8 Adultes, 66420 LE BARCARES,,,18,camping-club-les-tamaris-77541,
,01/05/2023,07/05/2023,14/05/2023,169.0,169.0,TENTE TOILE ET BOIS 4 personnes - Safari,Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,,18,le-pearl-camping-paradis-76750,
,01/05/2023,07/05/2023,14/05/2023,179.0,179.0,MOBILHOME 4 personnes - Eco,Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,,18,le-pearl-camping-paradis-76750,
