web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,19/08/2023,26/08/2023,1391,1391,MOBILHOME 4 personnes - Classique (arrivée samedi),Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,,33,le-pearl-camping-paradis-76750,
,01/05/2023,19/08/2023,26/08/2023,1638,1638,MOBILHOME 5 personnes - Confort  (arrivée samedi),Le Pearl - Camping Paradis,5 Adultes, 66700 ARGELES,,,33,le-pearl-camping-paradis-76750,
,01/05/2023,19/08/2023,26/08/2023,1805,1805,MOBILHOME 7 personnes - Confort  (arrivée samedi),Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,,33,le-pearl-camping-paradis-76750,
,01/05/2023,19/08/2023,26/08/2023,2259,2259,MOBILHOME 7 personnes - Premium - 2013 (arrivée samedi),Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,,33,le-pearl-camping-paradis-76750,
,01/05/2023,19/08/2023,26/08/2023,749,749,CHALET 2 personnes,Camping des Albères,2 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
,01/05/2023,19/08/2023,26/08/2023,889,889,TENTE 4 personnes - Maori,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
,01/05/2023,19/08/2023,26/08/2023,1099,1099,MOBILHOME 4 personnes - Gamme Loisirs,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
,01/05/2023,19/08/2023,26/08/2023,1179,1179,MOBILHOME 6 personnes - PASSION,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
,01/05/2023,19/08/2023,26/08/2023,1199,1199,MOBILHOME 4 personnes - DUO,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
,01/05/2023,19/08/2023,26/08/2023,1269,1269,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
,01/05/2023,19/08/2023,26/08/2023,1314.90,1314.90,MOBILHOME 6 personnes - Passion 3 Pièces 4/6 Personnes Climatisé + TV,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
,01/05/2023,19/08/2023,26/08/2023,1619,1619,MOBILHOME 8 personnes - QUATTRO,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
,01/05/2023,19/08/2023,26/08/2023,1649,1649,MOBILHOME 4 personnes - PREMIUM JACUZZI,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
,01/05/2023,19/08/2023,26/08/2023,1799,1799,MOBILHOME 6 personnes - PREMIUM JACUZZI,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,33,camping-des-alberes-77482,
