web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,335,335,MOBILHOME 4 personnes - DOUGLAS,Camping Les Pinasses,4 Adultes, 88600 LA CHAPELLE DEVANT BRUYERES,,,18,camping-les-pinasses-77437,
,01/05/2023,06/05/2023,13/05/2023,355,355,CHALET 5 personnes - CEDRES,Camping Les Pinasses,5 Adultes, 88600 LA CHAPELLE DEVANT BRUYERES,,,18,camping-les-pinasses-77437,
,01/05/2023,06/05/2023,13/05/2023,375,375,CHALET 5 personnes - EPICEA,Camping Les Pinasses,4 Adultes, 88600 LA CHAPELLE DEVANT BRUYERES,,,18,camping-les-pinasses-77437,
,01/05/2023,06/05/2023,13/05/2023,400,400,CHALET 6 personnes - PIN,Camping Les Pinasses,5 Adultes, 88600 LA CHAPELLE DEVANT BRUYERES,,,18,camping-les-pinasses-77437,
,01/05/2023,06/05/2023,13/05/2023,415,415,MOBILHOME 6 personnes - MELEZE,Camping Les Pinasses,5 Adultes, 88600 LA CHAPELLE DEVANT BRUYERES,,,18,camping-les-pinasses-77437,
,01/05/2023,06/05/2023,13/05/2023,490,490,CHALET 6 personnes - POINTU,Camping Les Pinasses,6 Adultes, 88600 LA CHAPELLE DEVANT BRUYERES,,,18,camping-les-pinasses-77437,
,01/05/2023,06/05/2023,13/05/2023,661.25,661.25,MOBILHOME 4 personnes - Standard,Flower Camping La Steniole,4 Adultes, 88640 GRANGES SUR VOLOGNE,,,18,flower-camping-la-steniole-77291,
,01/05/2023,06/05/2023,13/05/2023,671.60,671.60,MOBILHOME 4 personnes - PMR Confort 36m² 2 chambres avec terrasse,Flower Camping La Steniole,4 Adultes, 88640 GRANGES SUR VOLOGNE,,,18,flower-camping-la-steniole-77291,
,01/05/2023,06/05/2023,13/05/2023,687.70,687.70,MOBILHOME 4 personnes - Confort,Flower Camping La Steniole,2 Adultes, 88640 GRANGES SUR VOLOGNE,,,18,flower-camping-la-steniole-77291,
,01/05/2023,06/05/2023,13/05/2023,724.50,724.50,MOBILHOME 4 personnes - Confort,Flower Camping La Steniole,2 Adultes, 88640 GRANGES SUR VOLOGNE,,,18,flower-camping-la-steniole-77291,
,01/05/2023,06/05/2023,13/05/2023,802.70,802.70,MOBILHOME 6 personnes - Premium luxe,Flower Camping La Steniole,2 Adultes, 88640 GRANGES SUR VOLOGNE,,,18,flower-camping-la-steniole-77291,
,01/05/2023,06/05/2023,13/05/2023,420,420,MOBILHOME 4 personnes - LOUISIANE,Camping La Croix du Bois Sacker,4 Adultes, 57220 BURTONCOURT,,,18,camping-la-croix-du-bois-sacker-76954,
,01/05/2023,06/05/2023,13/05/2023,420,420,MOBILHOME 4 personnes - LOGGIA,Camping La Croix du Bois Sacker,4 Adultes, 57220 BURTONCOURT,,,18,camping-la-croix-du-bois-sacker-76954,
,01/05/2023,06/05/2023,13/05/2023,545,545,MOBILHOME 6 personnes - MERCURE,Camping La Tuilerie,6 Adultes, 57170 VIC SUR SEILLE,,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,545,545,MOBILHOME 6 personnes - RIVIERA,Camping La Tuilerie,6 Adultes, 57170 VIC SUR SEILLE,,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,545,545,MOBILHOME 6 personnes - AZALEE,Camping La Tuilerie,4 Adultes, 57170 VIC SUR SEILLE,,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,580,580,MOBILHOME 6 personnes - TITANIA 3,Camping La Tuilerie,6 Adultes, 57170 VIC SUR SEILLE,,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,580,580,MOBILHOME 8 personnes - GAMME RESIDENTIELLE GRAND LUXE,Camping La Tuilerie,6 Adultes, 57170 VIC SUR SEILLE,,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,625,625,MOBILHOME 8 personnes - VIP,Camping La Tuilerie,6 Adultes, 57170 VIC SUR SEILLE,,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,280,280,BUNGALOW 4 personnes - CABIN sans sanitaires,Camping Municipal Ramstein Plage,2 Adultes, 57230 BAERENTHAL,,,18,camping-municipal-ramstein-plage-85411,
,01/05/2023,13/05/2023,20/05/2023,770,770,MOBILHOME 4 personnes - MH2 GRAND LARGE 30 m²,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,19,camping-club-lac-de-bouzey-78473,
,01/05/2023,13/05/2023,20/05/2023,910,910,MOBILHOME 4 personnes - MH2 SAVANAH 31 m²,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,19,camping-club-lac-de-bouzey-78473,
,01/05/2023,13/05/2023,20/05/2023,980,980,MOBILHOME 6 personnes - MH3 GRAND CHARMEUR 32 m²,Camping Club Lac de Bouzey,6 Adultes, 88390 Sanchey ,,,19,camping-club-lac-de-bouzey-78473,
,01/05/2023,13/05/2023,20/05/2023,980,980,MOBILHOME 6 personnes - MH2 VIP PACIFIQUE 30 m²,Camping Club Lac de Bouzey,4 Adultes, 88390 Sanchey ,,,19,camping-club-lac-de-bouzey-78473,
