web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,335,335,MOBILHOME 4 personnes - DOUGLAS,4 Adultes,,Camping Les Pinasses,LA CHAPELLE DEVANT BRUYERES,,18,camping-les-pinasses-77437,
,01/05/2023,06/05/2023,13/05/2023,375,375,CHALET 5 personnes - EPICEA,4 Adultes,,Camping Les Pinasses,LA CHAPELLE DEVANT BRUYERES,,18,camping-les-pinasses-77437,
,01/05/2023,06/05/2023,13/05/2023,490,490,CHALET 6 personnes - POINTU,6 Adultes,,Camping Les Pinasses,LA CHAPELLE DEVANT BRUYERES,,18,camping-les-pinasses-77437,
,01/05/2023,06/05/2023,13/05/2023,661,661,MOBILHOME 4 personnes - Standard,4 Adultes,,Flower Camping La Steniole,GRANGES SUR VOLOGNE,,18,flower-camping-la-steniole-77291,
,01/05/2023,06/05/2023,13/05/2023,671,671,MOBILHOME 4 personnes - PMR Confort 36m² 2 chambres avec terrasse,4 Adultes,,Flower Camping La Steniole,GRANGES SUR VOLOGNE,,18,flower-camping-la-steniole-77291,
,01/05/2023,06/05/2023,13/05/2023,420,420,MOBILHOME 4 personnes - LOUISIANE,4 Adultes,,Camping La Croix du Bois Sacker,BURTONCOURT,,18,camping-la-croix-du-bois-sacker-76954,
,01/05/2023,06/05/2023,13/05/2023,420,420,MOBILHOME 4 personnes - LOGGIA,4 Adultes,,Camping La Croix du Bois Sacker,BURTONCOURT,,18,camping-la-croix-du-bois-sacker-76954,
,01/05/2023,06/05/2023,13/05/2023,545,545,MOBILHOME 6 personnes - MERCURE,6 Adultes,,Camping La Tuilerie,VIC SUR SEILLE,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,545,545,MOBILHOME 6 personnes - RIVIERA,6 Adultes,,Camping La Tuilerie,VIC SUR SEILLE,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,545,545,MOBILHOME 6 personnes - AZALEE,4 Adultes,,Camping La Tuilerie,VIC SUR SEILLE,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,580,580,MOBILHOME 6 personnes - TITANIA 3,6 Adultes,,Camping La Tuilerie,VIC SUR SEILLE,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,580,580,MOBILHOME 8 personnes - GAMME RESIDENTIELLE GRAND LUXE,6 Adultes,,Camping La Tuilerie,VIC SUR SEILLE,,18,camping-la-tuilerie-77934,
,01/05/2023,06/05/2023,13/05/2023,625,625,MOBILHOME 8 personnes - VIP,6 Adultes,,Camping La Tuilerie,VIC SUR SEILLE,,18,camping-la-tuilerie-77934,
,01/05/2023,07/05/2023,14/05/2023,237,237,BUNGALOW 5 personnes - sans sanitaires,4 Adultes,,Camping du Lac de Moselotte,SAULXURES SUR MOSELOTTE,,18,camping-du-lac-de-moselotte-78507,
,01/05/2023,07/05/2023,14/05/2023,553,553,MOBILHOME 6 personnes,6 Adultes,,Camping du Lac de Moselotte,SAULXURES SUR MOSELOTTE,,18,camping-du-lac-de-moselotte-78507,
,01/05/2023,07/05/2023,14/05/2023,556,556,CHALET 6 personnes,4 Adultes,,Camping du Lac de Moselotte,SAULXURES SUR MOSELOTTE,,18,camping-du-lac-de-moselotte-78507,
,01/05/2023,07/05/2023,14/05/2023,425,425,HÉBERGEMENT INSOLITE 4 personnes - CLAYTON  ET MARSHAL,4 Adultes,,Camping Les Deux Pins,ANOULD,,18,camping-les-deux-pins-76738,
,01/05/2023,07/05/2023,14/05/2023,425,425,MOBILHOME 4 personnes - SIXTIES 4.5.6,4 Adultes,,Camping Les Deux Pins,ANOULD,,18,camping-les-deux-pins-76738,
,01/05/2023,07/05/2023,14/05/2023,440,440,MOBILHOME 4 personnes - SIXTIES 1.2.3,4 Adultes,,Camping Les Deux Pins,ANOULD,,18,camping-les-deux-pins-76738,
,01/05/2023,07/05/2023,14/05/2023,495,495,TENTE TOILE ET BOIS 4 personnes - Coco Luxe J,4 Adultes,,Camping Parc Du Chateau,EPINAL,,18,camping-parc-du-chateau-79740,
,01/05/2023,07/05/2023,14/05/2023,747,747,MOBILHOME 6 personnes - JONQUILLE,6 Adultes,,Camping Parc Du Chateau,EPINAL,,18,camping-parc-du-chateau-79740,
,01/05/2023,07/05/2023,14/05/2023,656,656,MOBILHOME 4 personnes - Standard,4 Adultes,,Flower Camping La Steniole,GRANGES SUR VOLOGNE,,18,flower-camping-la-steniole-77291,
,01/05/2023,07/05/2023,14/05/2023,665,665,MOBILHOME 4 personnes - PMR Confort 36m² 2 chambres avec terrasse,4 Adultes,,Flower Camping La Steniole,GRANGES SUR VOLOGNE,,18,flower-camping-la-steniole-77291,
,01/05/2023,07/05/2023,14/05/2023,741,741,MOBILHOME 6 personnes - Lodge Premium 32 m²,6 Adultes,,Flower Camping La Steniole,GRANGES SUR VOLOGNE,,18,flower-camping-la-steniole-77291,
,01/05/2023,07/05/2023,14/05/2023,420,420,MOBILHOME 4 personnes - LOUISIANE,4 Adultes,,Camping La Croix du Bois Sacker,BURTONCOURT,,18,camping-la-croix-du-bois-sacker-76954,
,01/05/2023,07/05/2023,14/05/2023,420,420,MOBILHOME 4 personnes - SUPER MERCURE,4 Adultes,,Camping La Croix du Bois Sacker,BURTONCOURT,,18,camping-la-croix-du-bois-sacker-76954,
,01/05/2023,07/05/2023,14/05/2023,420,420,MOBILHOME 4 personnes - LOGGIA,4 Adultes,,Camping La Croix du Bois Sacker,BURTONCOURT,,18,camping-la-croix-du-bois-sacker-76954,
,01/05/2023,07/05/2023,14/05/2023,445,445,CHALET 5 personnes - GITOTEL,4 Adultes,,Camping La Croix du Bois Sacker,BURTONCOURT,,18,camping-la-croix-du-bois-sacker-76954,
,01/05/2023,07/05/2023,14/05/2023,545,545,MOBILHOME 6 personnes - MERCURE,6 Adultes,,Camping La Tuilerie,VIC SUR SEILLE,,18,camping-la-tuilerie-77934,
,01/05/2023,07/05/2023,14/05/2023,545,545,MOBILHOME 6 personnes - RIVIERA,6 Adultes,,Camping La Tuilerie,VIC SUR SEILLE,,18,camping-la-tuilerie-77934,
