web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,301.0,199.0,MOBILHOME 4 personnes - Cosy,Camping Domaine de la Paille Basse,4 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,447.71,214.9,MOBILHOME 6 personnes - Lounge 3 Pièces 5/6 Personnes,Camping Domaine de la Paille Basse,5 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,398.0,283.0,MOBILHOME 5 personnes - Classic 2 chambres (H5P2),Camping Domaine de la Paille Basse,4 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,322.0,322.0,MOBILHOME 6 personnes - Lounge,Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,329.0,329.0,MOBILHOME 6 personnes - Loggia - 2 chambres,Camping Domaine de la Paille Basse,4 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,482.0,340.0,"MOBILHOME 6 personnes - Classic, 3 chambres (H6P3)",Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,350.0,350.0,MOBILHOME 6 personnes - Lounge Plus - 3 chambres,Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,378.0,378.0,MOBILHOME 8 personnes - Loggia - 3 chambres,Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,406.0,406.0,CHALET 6 personnes - Confort - 3 chambres,Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,441.0,441.0,MOBILHOME 8 personnes - Premium - 3 chambres,Camping Domaine de la Paille Basse,8 Adultes, 46200 SOUILLAC,,,18,camping-domaine-de-la-paille-basse-78566,
,01/05/2023,07/05/2023,14/05/2023,315.0,315.0,MOBILHOME 6 personnes - 2 ch 4-6 pers,Camping Les Trois Sources,6 Adultes, 46190 SOUSCEYRAC,,,18,camping-les-trois-sources-78576,
,01/05/2023,07/05/2023,14/05/2023,315.0,315.0,CHALET 5 personnes - Chalet 2 ch 5pers,Camping Les Trois Sources,5 Adultes, 46190 SOUSCEYRAC,,,18,camping-les-trois-sources-78576,
,01/05/2023,07/05/2023,14/05/2023,350.0,350.0,MOBILHOME 8 personnes - Mobile home 3 ch 6-8 pers,Camping Les Trois Sources,8 Adultes, 46190 SOUSCEYRAC,,,18,camping-les-trois-sources-78576,
,01/05/2023,07/05/2023,14/05/2023,350.0,350.0,CHALET 6 personnes - 3 ch 6 pers,Camping Les Trois Sources,6 Adultes, 46190 SOUSCEYRAC,,,18,camping-les-trois-sources-78576,
,01/05/2023,07/05/2023,14/05/2023,476.0,476.0,GÎTE 9 personnes - 3ch 7-9pers,Camping Les Trois Sources,9 Adultes, 46190 SOUSCEYRAC,,,18,camping-les-trois-sources-78576,
,01/05/2023,07/05/2023,14/05/2023,290.0,290.0,CHALET 4 personnes - 2 chambres,Camping Village Club L'Evasion,4 Adultes, 46700 PUY L'EVEQUE,,,18,camping-village-club-levasion-78093,
,01/05/2023,07/05/2023,14/05/2023,390.0,390.0,CHALET 5 personnes - 2 chambres,Camping Village Club L'Evasion,5 Adultes, 46700 PUY L'EVEQUE,,,18,camping-village-club-levasion-78093,
,01/05/2023,07/05/2023,14/05/2023,410.0,410.0,CHALET 6 personnes - 2 chambres,Camping Village Club L'Evasion,4 Adultes, 46700 PUY L'EVEQUE,,,18,camping-village-club-levasion-78093,
,01/05/2023,07/05/2023,14/05/2023,410.0,410.0,CHALET 4 personnes - 4 plus,Camping Village Club L'Evasion,4 Adultes, 46700 PUY L'EVEQUE,,,18,camping-village-club-levasion-78093,
,01/05/2023,07/05/2023,14/05/2023,420.0,420.0,CHALET 5 personnes - Chalet 5 personnes et +,Camping Village Club L'Evasion,4 Adultes, 46700 PUY L'EVEQUE,,,18,camping-village-club-levasion-78093,
,01/05/2023,07/05/2023,14/05/2023,450.0,450.0,MOBILHOME 8 personnes - Mobilhome XXL,Camping Village Club L'Evasion,8 Adultes, 46700 PUY L'EVEQUE,,,18,camping-village-club-levasion-78093,
,01/05/2023,07/05/2023,14/05/2023,470.0,470.0,CHALET 7 personnes - 3 chambres,Camping Village Club L'Evasion,7 Adultes, 46700 PUY L'EVEQUE,,,18,camping-village-club-levasion-78093,
,01/05/2023,07/05/2023,14/05/2023,490.0,490.0,CHALET 7 personnes - 7 Plus,Camping Village Club L'Evasion,5 Adultes, 46700 PUY L'EVEQUE,,,18,camping-village-club-levasion-78093,
,01/05/2023,07/05/2023,14/05/2023,285.0,285.0,MOBILHOME 6 personnes - MH2 29 m²,Camping du Lac,4 Adultes,dit Les Granges ,,,18,camping-du-lac-77526,
,01/05/2023,07/05/2023,14/05/2023,462.0,396.0,CHALET 4 personnes - BALLARIO,Camping Koawa Les Cigales,2 Adultes, 46500 ROCAMADOUR,,,18,camping-koawa-les-cigales-78168,
