web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,440,440,MOBILHOME 4 personnes - 2 chambres,Camping Le Grand Marais,4 Adultes, 62180 VERTON,,,18,camping-le-grand-marais-85969,
,01/05/2023,06/05/2023,13/05/2023,540,540,MOBILHOME 6 personnes - 3 chambres,Camping Le Grand Marais,6 Adultes, 62180 VERTON,,,18,camping-le-grand-marais-85969,
,01/05/2023,06/05/2023,13/05/2023,200,200,TENTE TOILE ET BOIS 4 personnes - COCO SWEET,Camping La Kilienne,2 Adultes, 62760 WARLINCOURT LES PAS,,,18,camping-la-kilienne-78790,
,01/05/2023,06/05/2023,13/05/2023,370,370,MOBILHOME 6 personnes - FR,Camping La Kilienne,4 Adultes, 62760 WARLINCOURT LES PAS,,,18,camping-la-kilienne-78790,
,01/05/2023,06/05/2023,13/05/2023,380,380,MOBILHOME 6 personnes - 3 chambres  32m²,Camping La Kilienne,6 Adultes, 62760 WARLINCOURT LES PAS,,,18,camping-la-kilienne-78790,
,01/05/2023,06/05/2023,13/05/2023,400,400,MOBILHOME 6 personnes - 3 chambres - 40 m²,Camping La Kilienne,6 Adultes, 62760 WARLINCOURT LES PAS,,,18,camping-la-kilienne-78790,
,01/05/2023,06/05/2023,13/05/2023,231,231,CHALET 4 personnes - Evasion,CARAVANING L'OREE DU BOIS,2 Adultes,du,,,18,caravaning-l-oree-du-bois-94465,
,01/05/2023,06/05/2023,13/05/2023,280,280,MOBILHOME 4 personnes - MH Ophéa,CARAVANING L'OREE DU BOIS,4 Adultes,du,,,18,caravaning-l-oree-du-bois-94465,
,01/05/2023,06/05/2023,13/05/2023,280,280,HÉBERGEMENT INSOLITE 4 personnes - Roulotte,CARAVANING L'OREE DU BOIS,4 Adultes,du,,,18,caravaning-l-oree-du-bois-94465,
,01/05/2023,06/05/2023,13/05/2023,315,315,MOBILHOME 6 personnes - Loggia,CARAVANING L'OREE DU BOIS,6 Adultes,du,,,18,caravaning-l-oree-du-bois-94465,
,01/05/2023,06/05/2023,13/05/2023,385,385,CHALET 6 personnes - Reve conf,CARAVANING L'OREE DU BOIS,5 Adultes,du,,,18,caravaning-l-oree-du-bois-94465,
,01/05/2023,06/05/2023,13/05/2023,159,159,MOBILHOME 4 personnes - CONFORT avec TV,Camping Sea Green L'Occitan,2 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,06/05/2023,13/05/2023,357,169,MOBILHOME 6 personnes - CONFORT 2 chambres avec TV,Camping Sea Green L'Occitan,4 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,06/05/2023,13/05/2023,392,179,MOBILHOME 6 personnes - CONFORT 3 chambres avec TV,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,06/05/2023,13/05/2023,294,294,GÎTE 6 personnes - 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,06/05/2023,13/05/2023,357,357,MOBILHOME 6 personnes - Confort 3 Chambres 6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,06/05/2023,13/05/2023,427,427,MOBILHOME 6 personnes - Privilège 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-78738,
