web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,440,440,MOBILHOME 4 personnes - 2 chambres,4 Adultes,,Camping Le Grand Marais,VERTON,,18,camping-le-grand-marais-85969,
,01/05/2023,06/05/2023,13/05/2023,540,540,MOBILHOME 6 personnes - 3 chambres,6 Adultes,,Camping Le Grand Marais,VERTON,,18,camping-le-grand-marais-85969,
,01/05/2023,06/05/2023,13/05/2023,370,370,MOBILHOME 6 personnes - FR,4 Adultes,,Camping La Kilienne,WARLINCOURT LES PAS,,18,camping-la-kilienne-78790,
,01/05/2023,06/05/2023,13/05/2023,380,380,MOBILHOME 6 personnes - 3 chambres  32m²,6 Adultes,,Camping La Kilienne,WARLINCOURT LES PAS,,18,camping-la-kilienne-78790,
,01/05/2023,06/05/2023,13/05/2023,400,400,MOBILHOME 6 personnes - 3 chambres - 40 m²,6 Adultes,,Camping La Kilienne,WARLINCOURT LES PAS,,18,camping-la-kilienne-78790,
,01/05/2023,06/05/2023,13/05/2023,280,280,MOBILHOME 4 personnes - MH Ophéa,4 Adultes,,CARAVANING L'OREE DU BOIS,du,,18,caravaning-l-oree-du-bois-94465,
,01/05/2023,06/05/2023,13/05/2023,280,280,HÉBERGEMENT INSOLITE 4 personnes - Roulotte,4 Adultes,,CARAVANING L'OREE DU BOIS,du,,18,caravaning-l-oree-du-bois-94465,
,01/05/2023,06/05/2023,13/05/2023,315,315,MOBILHOME 6 personnes - Loggia,6 Adultes,,CARAVANING L'OREE DU BOIS,du,,18,caravaning-l-oree-du-bois-94465,
,01/05/2023,06/05/2023,13/05/2023,357,169,MOBILHOME 6 personnes - CONFORT 2 chambres avec TV,4 Adultes,,Camping Sea Green L'Occitan,VIAS,,18,camping-sea-green-l-occitan-78738,
,01/05/2023,06/05/2023,13/05/2023,392,179,MOBILHOME 6 personnes - CONFORT 3 chambres avec TV,6 Adultes,,Camping Sea Green L'Occitan,VIAS,,18,camping-sea-green-l-occitan-78738,
