web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,27/08/2023,03/09/2023,529,529,MOBILHOME 4 personnes - 4 places Dim,Camping Paradis Les Galets de la Mollière,4 Adultes, FRANCE,,,34,camping-paradis-les-galets-de-la-molliere-85866,
,01/05/2023,27/08/2023,03/09/2023,599,599,MOBILHOME 6 personnes - 6 places Dim,Camping Paradis Les Galets de la Mollière,6 Adultes, FRANCE,,,34,camping-paradis-les-galets-de-la-molliere-85866,
,01/05/2023,27/08/2023,03/09/2023,499,499,MOBILHOME 2 personnes - MOBIL DUO CONFORT,Camping Paradis Le Royon,2 Adultes,"1271, route de Quend ",,,34,camping-paradis-le-royon-94416,
,01/05/2023,27/08/2023,03/09/2023,694,694,MOBILHOME 6 personnes - M IRM CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,34,camping-paradis-le-royon-94416,
,01/05/2023,27/08/2023,03/09/2023,694,694,MOBILHOME 6 personnes - SOLEO CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,34,camping-paradis-le-royon-94416,
,01/05/2023,27/08/2023,03/09/2023,694,694,MOBILHOME 6 personnes - AMARINE CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,34,camping-paradis-le-royon-94416,
,01/05/2023,27/08/2023,03/09/2023,694,694,MOBILHOME 6 personnes - DECLIK CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,34,camping-paradis-le-royon-94416,
,01/05/2023,27/08/2023,03/09/2023,958,958,MOBILHOME 6 personnes - M OHARA CONFORT +,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,34,camping-paradis-le-royon-94416,
,01/05/2023,27/08/2023,03/09/2023,378,378,TENTE TOILE ET BOIS 4 personnes - Funflower Standard 20m² 2 chambres sans sanitaires,Flower Camping Le Rompval,4 Adultes, 80350 MERS LES BAINS,,,34,flower-camping-le-rompval-77797,
,01/05/2023,27/08/2023,03/09/2023,623,623,MOBILHOME 4 personnes - Confort 27m² dont terrasse 2 chambres + TV,Flower Camping Le Rompval,4 Adultes, 80350 MERS LES BAINS,,,34,flower-camping-le-rompval-77797,
,01/05/2023,27/08/2023,03/09/2023,672,672,MOBILHOME 6 personnes - Confort 33 m² dont terrasse 3 chambres + TV,Flower Camping Le Rompval,6 Adultes, 80350 MERS LES BAINS,,,34,flower-camping-le-rompval-77797,
,01/05/2023,27/08/2023,03/09/2023,737,737,MOBILHOME 6 personnes - Confort 33m² avec terrasse couverte 3 chambres +TV,Flower Camping Le Rompval,6 Adultes, 80350 MERS LES BAINS,,,34,flower-camping-le-rompval-77797,
,01/05/2023,27/08/2023,03/09/2023,803,803,MOBILHOME 6 personnes - Homeflower Premium 3 chambres avec terrasse couverte + Lave Vaisselle,Flower Camping Le Rompval,6 Adultes, 80350 MERS LES BAINS,,,34,flower-camping-le-rompval-77797,
,01/05/2023,27/08/2023,03/09/2023,644,644,MOBILHOME 6 personnes - STANDART,Camping Les Marguerites,4 Adultes, 80220 GAMACHES,,,34,camping-les-marguerites-77267,
,01/05/2023,27/08/2023,03/09/2023,673,673,MOBILHOME 6 personnes - CONFORT IRM,Camping Les Marguerites,4 Adultes, 80220 GAMACHES,,,34,camping-les-marguerites-77267,
,01/05/2023,27/08/2023,03/09/2023,719,719,MOBILHOME 6 personnes,Camping Des Roses - Camping Paradis,6 Adultes, 80120 QUEND,,,34,camping-des-roses-camping-paradis-85925,
,01/05/2023,27/08/2023,03/09/2023,690,690,MOBILHOME 4 personnes,Camping La Garenne de Moncourt,4 Adultes, 80120 RUE,,,34,camping-la-garenne-de-moncourt-85912,
,01/05/2023,27/08/2023,03/09/2023,63,54,EMPLACEMENT 6 personnes - Nature - tente ou caravane,Camping Les Portes de la Baie de Somme,,Caubert ,,,34,camping-les-portes-de-la-baie-de-somme-94831,
,01/05/2023,27/08/2023,03/09/2023,84,72,EMPLACEMENT 6 personnes - Camping Car,Camping Les Portes de la Baie de Somme,,Caubert ,,,34,camping-les-portes-de-la-baie-de-somme-94831,
,01/05/2023,27/08/2023,03/09/2023,560,560,MOBILHOME 6 personnes - 2ch,Camping Les Portes de la Baie de Somme,4 Adultes,Caubert ,,,34,camping-les-portes-de-la-baie-de-somme-94831,
,01/05/2023,27/08/2023,03/09/2023,1050,1050,MOBILHOME 6 personnes,Camping Les Oiseaux,3 Adultes, 80120 RUE,,,34,camping-les-oiseaux-85889,
,01/05/2023,27/08/2023,03/09/2023,510,510,MOBILHOME 4 personnes - O HARA CONFORT,Camping Le Clos Des Genêts,4 Adultes,Mahon ,,,34,camping-le-clos-des-genets-85935,
,01/05/2023,27/08/2023,03/09/2023,510,510,MOBILHOME 4 personnes - COSY,Camping Le Clos Des Genêts,4 Adultes,Mahon ,,,34,camping-le-clos-des-genets-85935,
,01/05/2023,27/08/2023,03/09/2023,541,541,MOBILHOME 6 personnes - Terracotta,Camping Le Clos Des Genêts,4 Adultes,Mahon ,,,34,camping-le-clos-des-genets-85935,
,01/05/2023,27/08/2023,03/09/2023,1108,1051,"MOBILHOME 4 personnes - COSY, 2 chambres (I4P2)",Camping La Croix du Vieux Pont,3 Adultes, 02290 BERNY RIVIERE,,,34,camping-la-croix-du-vieux-pont-76886,
