web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,1190.0,1190.0,MOBILHOME 8 personnes - Premium - 4 chambres,Camping Domaine de la Roselière,8 Adultes, 80133 NOYELLES SUR MER,,,18,camping-domaine-de-la-roseliere-77899,
,01/05/2023,07/05/2023,14/05/2023,172.0,172.0,MOBILHOME 2 personnes - MOBIL DUO CONFORT,Camping Paradis Le Royon,2 Adultes,"1271, route de Quend ",,,18,camping-paradis-le-royon-94416,
,01/05/2023,07/05/2023,14/05/2023,189.0,189.0,MOBILHOME 4 personnes - LOGGIA CONFORT,Camping Paradis Le Royon,4 Adultes,"1271, route de Quend ",,,18,camping-paradis-le-royon-94416,
,01/05/2023,07/05/2023,14/05/2023,204.0,204.0,MOBILHOME 6 personnes - M IRM CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,18,camping-paradis-le-royon-94416,
,01/05/2023,07/05/2023,14/05/2023,215.0,215.0,MOBILHOME 4 personnes - PACI CONFORT,Camping Paradis Le Royon,4 Adultes,"1271, route de Quend ",,,18,camping-paradis-le-royon-94416,
,01/05/2023,07/05/2023,14/05/2023,239.0,239.0,MOBILHOME 6 personnes - AMARINE CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,18,camping-paradis-le-royon-94416,
,01/05/2023,07/05/2023,14/05/2023,239.0,239.0,MOBILHOME 6 personnes - DECLIK CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,18,camping-paradis-le-royon-94416,
,01/05/2023,07/05/2023,14/05/2023,285.0,285.0,MOBILHOME 6 personnes - M OHARA CONFORT +,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,18,camping-paradis-le-royon-94416,
,01/05/2023,07/05/2023,14/05/2023,249.0,249.0,MOBILHOME 4 personnes - 4 places Dim,Camping Paradis Les Galets de la Mollière,4 Adultes, FRANCE,,,18,camping-paradis-les-galets-de-la-molliere-85866,
,01/05/2023,07/05/2023,14/05/2023,269.0,269.0,MOBILHOME 6 personnes - 6 places Dim,Camping Paradis Les Galets de la Mollière,6 Adultes, FRANCE,,,18,camping-paradis-les-galets-de-la-molliere-85866,
,01/05/2023,07/05/2023,14/05/2023,359.0,359.0,MOBILHOME 6 personnes - PRIVILEGE (Dimanche/Dimanche),Camping Paradis Val de Trie,6 Adultes, 80870 MOYENNEVILLE,,,18,camping-paradis-val-de-trie-77790,
