web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,575.0,575.0,MOBILHOME 4 personnes - KETCH,Camping Les Chèvrefeuilles,4 Adultes, 17200 ROYAN,,,18,camping-les-chevrefeuilles-78166,
,01/05/2023,07/05/2023,14/05/2023,730.0,730.0,MOBILHOME 6 personnes - GOELETTE,Camping Les Chèvrefeuilles,6 Adultes, 17200 ROYAN,,,18,camping-les-chevrefeuilles-78166,
,01/05/2023,07/05/2023,14/05/2023,370.0,319.0,MOBILHOME 6 personnes - En arrivée dimanche ( 4 adultes + 2 enfants),Camping Les Maraises,4 Adultes, 17410 SAINT MARTIN DE RE,,,18,camping-les-maraises-78347,
,01/05/2023,07/05/2023,14/05/2023,370.0,370.0,MOBILHOME 6 personnes,Camping Les Maraises,4 Adultes, 17410 SAINT MARTIN DE RE,,,18,camping-les-maraises-78347,
,01/05/2023,07/05/2023,14/05/2023,400.0,400.0,MOBILHOME 8 personnes,Camping Les Maraises,6 Adultes, 17410 SAINT MARTIN DE RE,,,18,camping-les-maraises-78347,
,01/05/2023,07/05/2023,14/05/2023,420.0,420.0,MOBILHOME 6 personnes - CONFORT,Camping Les Maraises,6 Adultes, 17410 SAINT MARTIN DE RE,,,18,camping-les-maraises-78347,
,01/05/2023,07/05/2023,14/05/2023,425.0,425.0,MOBILHOME 8 personnes - CONFORT,Camping Les Maraises,8 Adultes, 17410 SAINT MARTIN DE RE,,,18,camping-les-maraises-78347,
,01/05/2023,07/05/2023,14/05/2023,316.0,230.0,MOBILHOME 4 personnes - Cosy 4 personnes 2 chambres,Camping Chant des Oiseaux,4 Adultes, 17200 ROYAN,,,18,camping-chant-des-oiseaux-78169,
,01/05/2023,07/05/2023,14/05/2023,337.0,244.0,MOBILHOME 5 personnes - COSY 2 chambres (I5P2),Camping Chant des Oiseaux,4 Adultes, 17200 ROYAN,,,18,camping-chant-des-oiseaux-78169,
,01/05/2023,07/05/2023,14/05/2023,388.0,280.0,MOBILHOME 6 personnes - COSY 3 chambres (I6P3),Camping Chant des Oiseaux,6 Adultes, 17200 ROYAN,,,18,camping-chant-des-oiseaux-78169,
,01/05/2023,07/05/2023,14/05/2023,441.0,441.0,HÉBERGEMENT INSOLITE 4 personnes - Coco Sweet 2 chambres,Camping Sea Green Les Grenettes,4 Adultes, 17740 SAINTE MARIE DE RE,,,18,camping-sea-green-les-grenettes-78427,
,01/05/2023,07/05/2023,14/05/2023,483.0,483.0,TENTE TOILE ET BOIS 5 personnes - Lodge 2 chambres sans salle de bain,Camping Sea Green Les Grenettes,5 Adultes, 17740 SAINTE MARIE DE RE,,,18,camping-sea-green-les-grenettes-78427,
,01/05/2023,07/05/2023,14/05/2023,315.0,225.0,BUNGALOW TOILÉ 4 personnes - COCO SWEET (Sans sanitaires),Camping Les Etangs Mina,2 Adultes, Cadeuil ,,,18,camping-les-etangs-mina-78413,
,01/05/2023,07/05/2023,14/05/2023,329.0,235.0,TENTE 5 personnes - Freeflower (Sans sanitaires),Camping Les Etangs Mina,4 Adultes, Cadeuil ,,,18,camping-les-etangs-mina-78413,
,01/05/2023,07/05/2023,14/05/2023,347.95,254.0,BUNGALOW 4 personnes - Coco Sweet 3 pièces 4 personnes Sans Sanitaires,Camping Les Etangs Mina,4 Adultes, Cadeuil ,,,18,camping-les-etangs-mina-78413,
,01/05/2023,07/05/2023,14/05/2023,363.01,265.0,TENTE TOILE ET BOIS 5 personnes - Freeflower 5 personnes Sans Sanitaires,Camping Les Etangs Mina,5 Adultes, Cadeuil ,,,18,camping-les-etangs-mina-78413,
,01/05/2023,07/05/2023,14/05/2023,369.86,270.0,MOBILHOME 2 personnes - Eco 2 Pièces 2 Personnes,Camping Les Etangs Mina,2 Adultes, Cadeuil ,,,18,camping-les-etangs-mina-78413,
,01/05/2023,07/05/2023,14/05/2023,392.0,280.0,CHALET 4 personnes - Confort (côté étang),Camping Les Etangs Mina,2 Adultes, Cadeuil ,,,18,camping-les-etangs-mina-78413,
