web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,290,219,MOBILHOME 4 personnes - Ketch 2 chambres  TV + DRAPS + SERVIETTES,Camping Les Chèvrefeuilles,4 Adultes, 17200 ROYAN,,,18,camping-les-chevrefeuilles-78166,
,01/05/2023,06/05/2023,13/05/2023,390,229,MOBILHOME 6 personnes - Goelette 3 chambres   TV + DRAPS + SERVIETTES,Camping Les Chèvrefeuilles,6 Adultes, 17200 ROYAN,,,18,camping-les-chevrefeuilles-78166,
,01/05/2023,06/05/2023,13/05/2023,290,290,MOBILHOME 4 personnes - KETCH,Camping Les Chèvrefeuilles,4 Adultes, 17200 ROYAN,,,18,camping-les-chevrefeuilles-78166,
,01/05/2023,06/05/2023,13/05/2023,390,390,MOBILHOME 6 personnes - GOELETTE,Camping Les Chèvrefeuilles,6 Adultes, 17200 ROYAN,,,18,camping-les-chevrefeuilles-78166,
,01/05/2023,06/05/2023,13/05/2023,650,650,MOBILHOME 6 personnes - TAOS,Camping Les Chèvrefeuilles,6 Adultes, 17200 ROYAN,,,18,camping-les-chevrefeuilles-78166,
,01/05/2023,06/05/2023,13/05/2023,159,159,MOBILHOME 4 personnes - 2 chambres Premium Loggia,Camping Les Pins - Camping Paradis,4 Adultes, 17420 SAINT PALAIS SUR MER,,,18,camping-les-pins-camping-paradis-78358,
,01/05/2023,06/05/2023,13/05/2023,169,169,MOBILHOME 4 personnes - Cottage Premium TV,Camping Les Pins - Camping Paradis,4 Adultes, 17420 SAINT PALAIS SUR MER,,,18,camping-les-pins-camping-paradis-78358,
,01/05/2023,06/05/2023,13/05/2023,199,199,MOBILHOME 6 personnes - EDEN FAMILY,Camping Les Pins - Camping Paradis,6 Adultes, 17420 SAINT PALAIS SUR MER,,,18,camping-les-pins-camping-paradis-78358,
,01/05/2023,06/05/2023,13/05/2023,229,229,MOBILHOME 6 personnes - Cottage 3  chambres Premium,Camping Les Pins - Camping Paradis,6 Adultes, 17420 SAINT PALAIS SUR MER,,,18,camping-les-pins-camping-paradis-78358,
,01/05/2023,06/05/2023,13/05/2023,229,229,MOBILHOME 6 personnes - 3 chambres Premium+ Mezzanine,Camping Les Pins - Camping Paradis,6 Adultes, 17420 SAINT PALAIS SUR MER,,,18,camping-les-pins-camping-paradis-78358,
,01/05/2023,06/05/2023,13/05/2023,420,420,MOBILHOME 6 personnes - CONFORT,Camping Les Maraises,6 Adultes, 17410 SAINT MARTIN DE RE,,,18,camping-les-maraises-78347,
,01/05/2023,06/05/2023,13/05/2023,225,189,MOBILHOME 4 personnes,Camping Chant des Oiseaux,4 Adultes, 17200 ROYAN,,,18,camping-chant-des-oiseaux-78169,
,01/05/2023,06/05/2023,13/05/2023,199,199,MOBILHOME 8 personnes - 3 chambres 6/8 places,Camping Oléron Loisirs,8 Adultes, 17190 SAINT GEORGES D'OLERON,,,18,camping-oleron-loisirs-77902,
,01/05/2023,06/05/2023,13/05/2023,410.73,225.90,MOBILHOME 6 personnes - Evasion 3 Pièces 6 Personnes + TV,Camping Oléron Loisirs,3 Adultes, 17190 SAINT GEORGES D'OLERON,,,18,camping-oleron-loisirs-77902,
,01/05/2023,06/05/2023,13/05/2023,446.98,236.90,MOBILHOME 6 personnes - Loisirs 4 Pièces 6 Personnes + TV,Camping Oléron Loisirs,4 Adultes, 17190 SAINT GEORGES D'OLERON,,,18,camping-oleron-loisirs-77902,
,01/05/2023,06/05/2023,13/05/2023,310,279,MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 21m²,Camping Oléron Loisirs,4 Adultes, 17190 SAINT GEORGES D'OLERON,,,18,camping-oleron-loisirs-77902,
,01/05/2023,06/05/2023,13/05/2023,310,279,MOBILHOME 4 personnes - Mh Cocoon 4P 2CH MEZ 21m² Dim,Camping Oléron Loisirs,4 Adultes, 17190 SAINT GEORGES D'OLERON,,,18,camping-oleron-loisirs-77902,
,01/05/2023,06/05/2023,13/05/2023,313.60,282.60,MOBILHOME 5 personnes - Evasion 5 personnes 2 chambres  23m²,Camping Oléron Loisirs,5 Adultes, 17190 SAINT GEORGES D'OLERON,,,18,camping-oleron-loisirs-77902,
,01/05/2023,06/05/2023,13/05/2023,460,414,MOBILHOME 8 personnes - Loisir 8 personnes 3 chambres 35m²,Camping Oléron Loisirs,8 Adultes, 17190 SAINT GEORGES D'OLERON,,,18,camping-oleron-loisirs-77902,
,01/05/2023,06/05/2023,13/05/2023,460,414,MOBILHOME 8 personnes - Loisir 8 personnes 3 chambres 35m²,Camping Oléron Loisirs,8 Adultes, 17190 SAINT GEORGES D'OLERON,,,18,camping-oleron-loisirs-77902,
,01/05/2023,06/05/2023,13/05/2023,460,414,MOBILHOME 8 personnes - Loisir 8 personnes 3 chambres 35m²,Camping Oléron Loisirs,8 Adultes, 17190 SAINT GEORGES D'OLERON,,,18,camping-oleron-loisirs-77902,
,01/05/2023,06/05/2023,13/05/2023,532,309,MOBILHOME 6 personnes - PRIVILEGE avec TV,Camping Sea Green Les Grenettes,4 Adultes, 17740 SAINTE MARIE DE RE,,,18,camping-sea-green-les-grenettes-78427,
