web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,370,370,MOBILHOME 6 personnes - RIVIERA 3,Camping Les Rives du Loup,6 Adultes, 06140 TOURRETTES SUR LOUP,,,18,camping-les-rives-du-loup-78648,
,01/05/2023,07/05/2023,14/05/2023,469,469,CHALET 2 personnes - Cocoon,Les Cent Chênes,2 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,525,525,TENTE 5 personnes - Cabane Robinson,Les Cent Chênes,5 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,539,539,MOBILHOME 4 personnes - 1ère génération,Les Cent Chênes,4 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,665,665,MOBILHOME 4 personnes - Grand Confort,Les Cent Chênes,4 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,665,665,CHALET 5 personnes - Cosy - 2 chambres,Les Cent Chênes,5 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,413,413,MOBILHOME 6 personnes - ESTIVAL,Camping Les Cigales,4 Adultes, 6210 MANDELIEU LA NAPOULE,,,18,camping-les-cigales-77732,
,01/05/2023,07/05/2023,14/05/2023,229,229,MOBILHOME 5 personnes - Phoenix (2 adultes + 3 enfants de - 13 ans),Camping Paradis Parc Bellevue,2 Adultes, 06150 CANNES LA BOCCA,,,18,camping-paradis-parc-bellevue-78856,
,01/05/2023,07/05/2023,14/05/2023,239,239,MOBILHOME 6 personnes - Evasion (2 adultes + 4 enfants de - 13 ans),Camping Paradis Parc Bellevue,2 Adultes, 06150 CANNES LA BOCCA,,,18,camping-paradis-parc-bellevue-78856,
,01/05/2023,07/05/2023,14/05/2023,490,490,BUNGALOW 5 personnes - ESSENTIEL 2P5ET,,5 Adultes, 06480 LA COLLE SUR LOUP,,,18,club-belambra-les-terrasses-de-st-paul-de-vence-94192,
,01/05/2023,07/05/2023,14/05/2023,546,546,APPARTEMENT 5 personnes - CLASSIQUE 2P5QT,,5 Adultes, 06480 LA COLLE SUR LOUP,,,18,club-belambra-les-terrasses-de-st-paul-de-vence-94192,
,01/05/2023,07/05/2023,14/05/2023,210,210,HÉBERGEMENT INSOLITE 2 personnes - Camp'étoile avec électricité,Camping les Templiers,2 Adultes, 06450 ROQUEBILLIERE,,,18,camping-les-templiers-78178,
,01/05/2023,07/05/2023,14/05/2023,424,424,MOBILHOME 4 personnes - Confort avec TV (D),Camping les Templiers,4 Adultes, 06450 ROQUEBILLIERE,,,18,camping-les-templiers-78178,
,01/05/2023,07/05/2023,14/05/2023,639,639,BUNGALOW 6 personnes - 4/6 pers. Supérieur,Camping Parc Saint James Oasis Village,4 Adultes, 83480 PUGET SUR ARGENS,,,18,camping-parc-saint-james-oasis-village-76665,
,01/05/2023,07/05/2023,14/05/2023,689,689,VILLA 6 personnes - 4/6 pers.,Camping Parc Saint James Oasis Village,4 Adultes, 83480 PUGET SUR ARGENS,,,18,camping-parc-saint-james-oasis-village-76665,
,01/05/2023,07/05/2023,14/05/2023,779,779,BUNGALOW 8 personnes - A thème,Camping Parc Saint James Oasis Village,6 Adultes, 83480 PUGET SUR ARGENS,,,18,camping-parc-saint-james-oasis-village-76665,
,01/05/2023,07/05/2023,14/05/2023,749,749,BUNGALOW 8 personnes - 6/8 pers.,Camping Parc Saint James Gassin - Parc Montana,6 Adultes, 83580 GASSIN,,,18,camping-parc-saint-james-gassin-parc-montana-76666,
