web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,255.0,255.0,BUNGALOW TOILÉ 2 personnes - COCO SWEET 1 CHAMBRE (SANS SANITAIRES),Camping Crin Blanc,2 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,448.0,267.75,MOBILHOME 5 personnes - Mobil-home cosy 2 chambres 4/5 personnes (I5P2),Camping Crin Blanc,4 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,325.0,325.0,BUNGALOW TOILÉ 4 personnes - COCO SWEET 2 CHAMBRES (SANS SANITAIRES),Camping Crin Blanc,4 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,553.0,333.2,MOBILHOME 6 personnes - Cosy 3 chambres Climatise (I63C),Camping Crin Blanc,6 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,395.0,395.0,MOBILHOME 6 personnes - CONFORT MISTRAL NON CLIMATISE,Camping Crin Blanc,6 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,430.0,430.0,MOBILHOME 6 personnes - CONFORT MISTRAL CLIMATISE,Camping Crin Blanc,6 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,609.0,609.0,MOBILHOME 2 personnes - SUNELIA CONFORT DUO,Camping Le Clos du Rhône,2 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,651.0,651.0,MOBILHOME 4 personnes - SUNELIA CONFORT ESPRIT SUD,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,665.0,665.0,"MOBILHOME 4 personnes - SUNELIA CONFORT ""GRAND LARGE""",Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,679.0,679.0,CHALET 5 personnes - CONFORT MOREA,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,700.0,700.0,MOBILHOME 6 personnes - COTTAGE CONFORT MEDITERRANEE,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,735.0,735.0,MOBILHOME 6 personnes - COTTAGE PRESTIGE EVASION,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,756.0,756.0,MOBILHOME 6 personnes - SUNELIA CONFORT MISTRAL,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,840.0,840.0,CHALET 5 personnes - CONFORT MOREA VUE MER,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
