web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,19/08/2023,26/08/2023,1139,1139,MOBILHOME 4 personnes - Loggia premium 29/30m²,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,945,803.25,MOBILHOME 4 personnes - Family Classic,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1015,862.75,CHALET 5 personnes - Pavillon Classic - Climatisation - TV,Camping Lou Cantaire,2 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1015,862.75,MOBILHOME 4 personnes - Loggia classic 25m2,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1078,916.30,MOBILHOME 4 personnes - Loggia Classic 29m² - Climatisation - TV,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1092,928.20,MOBILHOME 4 personnes - Loggia classic  31m²,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1141,969.85,MOBILHOME 4 personnes - Loggia premium 29/30m²,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1141,969.85,MOBILHOME 4 personnes - New Family 29m² Clim TV,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1141,969.85,MOBILHOME 4 personnes - New Loggia 28m² Clim TV,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1218,1035.30,MOBILHOME 4 personnes - Loggia Premium 33m² - Climatisation - TV,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1232,1047.20,MOBILHOME 6 personnes - Loft premium 32m2,Camping Lou Cantaire,6 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1253,1065.05,MOBILHOME 6 personnes - Espace premium 33m² - Climatisation - TV,Camping Lou Cantaire,4 Adultes, 83440 FAYENCE,,,33,camping-lou-cantaire-77248,
,01/05/2023,19/08/2023,26/08/2023,1489,1489,MOBILHOME 4 personnes - COLORADO LOISIR Climatisé 4 personnes,Camping La Prairie,4 Adultes, 83490 LE MUY,,,33,camping-la-prairie-77591,
,01/05/2023,19/08/2023,26/08/2023,1599,1599,MOBILHOME 4 personnes - ONTARIO CLASSIC Climatisé 4 personnes,Camping La Prairie,4 Adultes, 83490 LE MUY,,,33,camping-la-prairie-77591,
,01/05/2023,19/08/2023,26/08/2023,1649,1649,MOBILHOME 6 personnes - TEXAS LOISIR Climatisé 6 personnes,Camping La Prairie,6 Adultes, 83490 LE MUY,,,33,camping-la-prairie-77591,
,01/05/2023,19/08/2023,26/08/2023,1050,1050,MOBILHOME 4 personnes - MARINA/MONTANA LOISIR Climatisé 4 personnes,Camping La Prairie,4 Adultes, 83490 LE MUY,,,33,camping-la-prairie-77591,
,01/05/2023,19/08/2023,26/08/2023,1330,1330,MOBILHOME 4 personnes - SAFARI Climatisé CLASSIC,Camping La Prairie,4 Adultes, 83490 LE MUY,,,33,camping-la-prairie-77591,
,01/05/2023,19/08/2023,26/08/2023,1358,1358,MOBILHOME 4 personnes - COLORADO LOISIR Climatisé 4 personnes,Camping La Prairie,4 Adultes, 83490 LE MUY,,,33,camping-la-prairie-77591,
,01/05/2023,19/08/2023,26/08/2023,1505,1505,MOBILHOME 6 personnes - TEXAS LOISIR Climatisé 6 personnes,Camping La Prairie,6 Adultes, 83490 LE MUY,,,33,camping-la-prairie-77591,
,01/05/2023,19/08/2023,26/08/2023,1505,1505,MOBILHOME 4 personnes - ONTARIO CLASSIC Climatisé 4 personnes,Camping La Prairie,4 Adultes, 83490 LE MUY,,,33,camping-la-prairie-77591,
,01/05/2023,19/08/2023,26/08/2023,1624,1624,MOBILHOME 6 personnes - MISSOURI PREMIUM Climatisé 6 personnes,Camping La Prairie,6 Adultes, 83490 LE MUY,,,33,camping-la-prairie-77591,
,01/05/2023,19/08/2023,26/08/2023,699,699,MOBILHOME 4 personnes - Sun Roller Bambou,Camping Saint Lazare,4 Adultes, 83630 AUPS,,,33,camping-saint-lazare-76798,
,01/05/2023,19/08/2023,26/08/2023,545,545,MOBILHOME 4 personnes - Laurier - climatisé - 2 chambres,Camping Saint Lazare,4 Adultes, 83630 AUPS,,,33,camping-saint-lazare-76798,
,01/05/2023,19/08/2023,26/08/2023,2399,2399,MOBILHOME 4 personnes - Escalet,Tour Opérateur sur camping 5* à Port Grimaud,4 Adultes,1910 Route du Littoral ,,,33,tour-operateur-sur-camping-5-a-port-grimaud-76767,
,01/05/2023,19/08/2023,26/08/2023,2412,2412,MOBILHOME 4 personnes - Escalet,Tour Opérateur sur camping 5* à Port Grimaud,4 Adultes,1910 Route du Littoral ,,,33,tour-operateur-sur-camping-5-a-port-grimaud-76767,
,01/05/2023,19/08/2023,26/08/2023,1381.50,1381.50,MOBILHOME 4 personnes - Confort 2 Sérénité,Camping Paradis - Domaine de Miremer,4 Adultes, 83680 LA GARDE FREINET,,,33,camping-paradis-domaine-de-miremer-87969,
,01/05/2023,19/08/2023,26/08/2023,1463.50,1463.50,MOBILHOME 4 personnes - Eden 2,Camping Paradis - Domaine de Miremer,4 Adultes, 83680 LA GARDE FREINET,,,33,camping-paradis-domaine-de-miremer-87969,
,01/05/2023,19/08/2023,26/08/2023,1467.50,1467.50,TENTE 4 personnes - Lodge Glamping,Camping Paradis - Domaine de Miremer,4 Adultes, 83680 LA GARDE FREINET,,,33,camping-paradis-domaine-de-miremer-87969,
,01/05/2023,19/08/2023,26/08/2023,1511,1511,MOBILHOME 6 personnes - Confort 3 Classic,Camping Paradis - Domaine de Miremer,6 Adultes, 83680 LA GARDE FREINET,,,33,camping-paradis-domaine-de-miremer-87969,
,01/05/2023,19/08/2023,26/08/2023,1543.50,1543.50,MOBILHOME 6 personnes - Confort 3 Sérénité,Camping Paradis - Domaine de Miremer,6 Adultes, 83680 LA GARDE FREINET,,,33,camping-paradis-domaine-de-miremer-87969,
,01/05/2023,19/08/2023,26/08/2023,1565,1565,MOBILHOME 6 personnes - Confort 3+,Camping Paradis - Domaine de Miremer,6 Adultes, 83680 LA GARDE FREINET,,,33,camping-paradis-domaine-de-miremer-87969,
,01/05/2023,19/08/2023,26/08/2023,1781,1781,MOBILHOME 6 personnes - Eden 3,Camping Paradis - Domaine de Miremer,6 Adultes, 83680 LA GARDE FREINET,,,33,camping-paradis-domaine-de-miremer-87969,
