web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,639.0,639.0,BUNGALOW 6 personnes - 4/6 pers. Supérieur,Camping Parc Saint James Oasis Village,4 Adultes, 83480 PUGET SUR ARGENS,,,18,camping-parc-saint-james-oasis-village-76665,
,01/05/2023,07/05/2023,14/05/2023,689.0,689.0,VILLA 6 personnes - 4/6 pers.,Camping Parc Saint James Oasis Village,4 Adultes, 83480 PUGET SUR ARGENS,,,18,camping-parc-saint-james-oasis-village-76665,
,01/05/2023,07/05/2023,14/05/2023,779.0,779.0,BUNGALOW 8 personnes - A thème,Camping Parc Saint James Oasis Village,6 Adultes, 83480 PUGET SUR ARGENS,,,18,camping-parc-saint-james-oasis-village-76665,
,01/05/2023,07/05/2023,14/05/2023,749.0,749.0,BUNGALOW 8 personnes - 6/8 pers.,Camping Parc Saint James Gassin - Parc Montana,6 Adultes, 83580 GASSIN,,,18,camping-parc-saint-james-gassin-parc-montana-76666,
,01/05/2023,07/05/2023,14/05/2023,169.0,169.0,"EMPLACEMENT 6 personnes - forfait pour 2 personnes, électricité comprise",Camping Domaine de l'Ubaye,, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,400.0,400.0,BUNGALOW TOILÉ 4 personnes - Coco Sweet (sans sanitaires),Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,422.0,422.0,MOBILHOME 4 personnes - Type S pour 2/4 personnes,Camping Domaine de l'Ubaye,2 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,422.0,422.0,CHALET 4 personnes - Type C pour 2/4 personnes,Camping Domaine de l'Ubaye,2 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,475.0,475.0,MOBILHOME 5 personnes - Type P,Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,510.0,510.0,CHALET 6 personnes - Type A pour - 4/6 personnes,Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,510.0,510.0,CHALET 6 personnes - Type B,Camping Domaine de l'Ubaye,6 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,510.0,510.0,CHALET 6 personnes - Type D pour 4/6 personnes,Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,510.0,510.0,MOBILHOME 6 personnes - Loggia Bay pour 4/6 personnes,Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,675.0,675.0,MOBILHOME 6 personnes - Comfort 3,Camping Domaine de l'Ubaye,6 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,1005.0,1005.0,MOBILHOME 12 personnes - Le Coin des Copains - 2 mobil homes Loggia Bay (possibilité de louer un PA en supplément),Camping Domaine de l'Ubaye,8 Adultes, 04340 MEOLANS REVEL,,,18,camping-domaine-de-lubaye-77795,
,01/05/2023,07/05/2023,14/05/2023,290.0,290.0,BUNGALOW 4 personnes - (SANS SANITAIRES),Camping Le New Rabioux,4 Adultes, 05380 CHATEAUROUX LES ALPES,,,18,camping-le-new-rabioux-77113,
,01/05/2023,07/05/2023,14/05/2023,340.0,340.0,MOBILHOME 6 personnes,Camping Le New Rabioux,4 Adultes, 05380 CHATEAUROUX LES ALPES,,,18,camping-le-new-rabioux-77113,
,01/05/2023,07/05/2023,14/05/2023,255.0,255.0,BUNGALOW TOILÉ 2 personnes - COCO SWEET 1 CHAMBRE (SANS SANITAIRES),Camping Crin Blanc,2 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,448.0,267.75,MOBILHOME 5 personnes - Mobil-home cosy 2 chambres 4/5 personnes (I5P2),Camping Crin Blanc,4 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,325.0,325.0,BUNGALOW TOILÉ 4 personnes - COCO SWEET 2 CHAMBRES (SANS SANITAIRES),Camping Crin Blanc,4 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,553.0,333.2,MOBILHOME 6 personnes - Cosy 3 chambres Climatise (I63C),Camping Crin Blanc,6 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,395.0,395.0,MOBILHOME 6 personnes - CONFORT MISTRAL NON CLIMATISE,Camping Crin Blanc,6 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,430.0,430.0,MOBILHOME 6 personnes - CONFORT MISTRAL CLIMATISE,Camping Crin Blanc,6 Adultes, 13200 ARLES,,,18,camping-crin-blanc-76780,
,01/05/2023,07/05/2023,14/05/2023,609.0,609.0,MOBILHOME 2 personnes - SUNELIA CONFORT DUO,Camping Le Clos du Rhône,2 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,651.0,651.0,MOBILHOME 4 personnes - SUNELIA CONFORT ESPRIT SUD,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,665.0,665.0,"MOBILHOME 4 personnes - SUNELIA CONFORT ""GRAND LARGE""",Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,679.0,679.0,CHALET 5 personnes - CONFORT MOREA,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,700.0,700.0,MOBILHOME 6 personnes - COTTAGE CONFORT MEDITERRANEE,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,735.0,735.0,MOBILHOME 6 personnes - COTTAGE PRESTIGE EVASION,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,756.0,756.0,MOBILHOME 6 personnes - SUNELIA CONFORT MISTRAL,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,840.0,840.0,CHALET 5 personnes - CONFORT MOREA VUE MER,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,847.0,847.0,"MOBILHOME 4 personnes - SUNELIA PRESTIGE ""VUE INFINIE""",Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,917.0,917.0,"CHALET 6 personnes - CONFORT ""AZUR"" VUE MER",Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,917.0,917.0,MOBILHOME 6 personnes - SUNELIA PRESTIGE ALIZES,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,966.0,966.0,CHALET 4 personnes - PRESTIGE HORIZON VUE MER,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,18,camping-le-clos-du-rhone-78449,
,01/05/2023,07/05/2023,14/05/2023,439.0,439.0,MOBILHOME 2 personnes - Astria,Camping de La Baie,2 Adultes, 83240 CAVALAIRE SUR MER,,,18,camping-de-la-baie-77069,
,01/05/2023,07/05/2023,14/05/2023,517.0,517.0,CHALET 6 personnes,Camping de La Baie,6 Adultes, 83240 CAVALAIRE SUR MER,,,18,camping-de-la-baie-77069,
,01/05/2023,07/05/2023,14/05/2023,573.0,573.0,MOBILHOME 4 personnes - Venus,Camping de La Baie,4 Adultes, 83240 CAVALAIRE SUR MER,,,18,camping-de-la-baie-77069,
,01/05/2023,07/05/2023,14/05/2023,582.0,582.0,MOBILHOME 5 personnes - Sun Roller,Camping de La Baie,5 Adultes, 83240 CAVALAIRE SUR MER,,,18,camping-de-la-baie-77069,
,01/05/2023,07/05/2023,14/05/2023,663.0,663.0,MOBILHOME 6 personnes - Watipi,Camping de La Baie,6 Adultes, 83240 CAVALAIRE SUR MER,,,18,camping-de-la-baie-77069,
,01/05/2023,07/05/2023,14/05/2023,724.0,724.0,MOBILHOME 6 personnes - Oregon / Super Titania,Camping de La Baie,6 Adultes, 83240 CAVALAIRE SUR MER,,,18,camping-de-la-baie-77069,
,01/05/2023,07/05/2023,14/05/2023,370.0,370.0,MOBILHOME 6 personnes - RIVIERA 3,Camping Les Rives du Loup,6 Adultes, 06140 TOURRETTES SUR LOUP,,,18,camping-les-rives-du-loup-78648,
,01/05/2023,07/05/2023,14/05/2023,429.0,429.0,MOBILHOME 5 personnes - Zola,Camping Paradis La Pinède,2 Adultes,Route de Saint Pierre ,,,18,camping-paradis-la-pinede-87660,
,01/05/2023,07/05/2023,14/05/2023,460.0,460.0,MOBILHOME 4 personnes - Cezanne,Camping Paradis La Pinède,4 Adultes,Route de Saint Pierre ,,,18,camping-paradis-la-pinede-87660,
,01/05/2023,07/05/2023,14/05/2023,473.0,473.0,MOBILHOME 5 personnes - Raimu,Camping Paradis La Pinède,4 Adultes,Route de Saint Pierre ,,,18,camping-paradis-la-pinede-87660,
,01/05/2023,07/05/2023,14/05/2023,475.0,475.0,CHALET 4 personnes - Chalet Pagnol 24 m² climatisé- 2 chambres - Terrasse 12 m²,Camping Paradis La Pinède,4 Adultes,Route de Saint Pierre ,,,18,camping-paradis-la-pinede-87660,
,01/05/2023,07/05/2023,14/05/2023,535.0,535.0,CHALET 5 personnes - Chalet Mistral 25m² - climatisé -  2 chambres - terrasse 12m² 4/5 pers.,Camping Paradis La Pinède,5 Adultes,Route de Saint Pierre ,,,18,camping-paradis-la-pinede-87660,
,01/05/2023,07/05/2023,14/05/2023,290.0,290.0,MOBILHOME 5 personnes - Sun Roller Olivier,Camping Saint Lazare,5 Adultes, 83630 AUPS,,,18,camping-saint-lazare-76798,
,01/05/2023,07/05/2023,14/05/2023,320.0,320.0,MOBILHOME 4 personnes - Laurier - climatisé - 2 chambres,Camping Saint Lazare,4 Adultes, 83630 AUPS,,,18,camping-saint-lazare-76798,
,01/05/2023,07/05/2023,14/05/2023,345.0,345.0,MOBILHOME 5 personnes - O'Hara Cyprès,Camping Saint Lazare,5 Adultes, 83630 AUPS,,,18,camping-saint-lazare-76798,
,01/05/2023,07/05/2023,14/05/2023,390.0,390.0,MOBILHOME 7 personnes - IRM Peuplier (Arrivée le Dimanche),Camping Saint Lazare,7 Adultes, 83630 AUPS,,,18,camping-saint-lazare-76798,
,01/05/2023,07/05/2023,14/05/2023,390.0,390.0,MOBILHOME 6 personnes - IRM Peuplier climatisé ( Arrivée le Samedi ),Camping Saint Lazare,4 Adultes, 83630 AUPS,,,18,camping-saint-lazare-76798,
,01/05/2023,07/05/2023,14/05/2023,382.7,344.7,MOBILHOME 5 personnes - COTTAGE PICHOLINE,Camping Orly d'Azur,4 Adultes, 83140 Six,,,18,camping-orly-dazur-78556,
,01/05/2023,07/05/2023,14/05/2023,414.5,373.5,MOBILHOME 6 personnes - CAYANNE,Camping Orly d'Azur,4 Adultes, 83140 Six,,,18,camping-orly-dazur-78556,
,01/05/2023,07/05/2023,14/05/2023,461.8,415.8,MOBILHOME 6 personnes - CAYANNE climatisé,Camping Orly d'Azur,6 Adultes, 83140 Six,,,18,camping-orly-dazur-78556,
,01/05/2023,07/05/2023,14/05/2023,497.2,448.2,MOBILHOME 6 personnes - GRASSOIS,Camping Orly d'Azur,6 Adultes, 83140 Six,,,18,camping-orly-dazur-78556,
,01/05/2023,07/05/2023,14/05/2023,449.0,449.0,MOBILHOME 6 personnes - MH CAYANNE CLIM 2,Camping Orly d'Azur,6 Adultes, 83140 Six,,,18,camping-orly-dazur-78556,
,01/05/2023,07/05/2023,14/05/2023,521.8,469.8,MOBILHOME 6 personnes - GRASSOIS climatisé,Camping Orly d'Azur,6 Adultes, 83140 Six,,,18,camping-orly-dazur-78556,
,01/05/2023,07/05/2023,14/05/2023,287.0,287.0,MOBILHOME 3 personnes - Gaou,Camping Les Playes,2 Adultes, 83140 Six,,,18,camping-les-playes-78552,
,01/05/2023,07/05/2023,14/05/2023,427.0,427.0,MOBILHOME 5 personnes - Garrigue,Camping Les Playes,4 Adultes, 83140 Six,,,18,camping-les-playes-78552,
,01/05/2023,07/05/2023,14/05/2023,448.0,448.0,MOBILHOME 6 personnes - Mimosas,Camping Les Playes,4 Adultes, 83140 Six,,,18,camping-les-playes-78552,
,01/05/2023,07/05/2023,14/05/2023,378.0,324.0,"BUNGALOW TOILÉ 4 personnes - COCO SWEET (sans eau, sans sanitaires)",Camping Sélection Camping,4 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,448.0,384.0,MOBILHOME 3 personnes - GIGARO,Camping Sélection Camping,3 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,490.0,420.0,MOBILHOME 4 personnes - CAP LARDIER,Camping Sélection Camping,4 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,469.0,469.0,GÎTE 3 personnes - PRAMOUQUIER,Camping Sélection Camping,3 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,595.0,510.0,MOBILHOME 6 personnes - CAP TAILLAT,Camping Sélection Camping,5 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,623.0,534.0,MOBILHOME 6 personnes - CAP CAMARAT,Camping Sélection Camping,6 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,539.0,539.0,GÎTE 4 personnes - LE LEVANT,Camping Sélection Camping,2 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,630.0,540.0,MOBILHOME 4 personnes - HERACLEE,Camping Sélection Camping,4 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,679.0,582.0,MOBILHOME 6 personnes - PORT-CROS,Camping Sélection Camping,4 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,588.0,588.0,GÎTE 5 personnes - RAYOL,Camping Sélection Camping,5 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,686.0,686.0,GÎTE 6 personnes - MISTRAL,Camping Sélection Camping,6 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,686.0,686.0,GÎTE 6 personnes - CANOUBIERS,Camping Sélection Camping,4 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,686.0,686.0,GÎTE 4 personnes - LE PUITS avec jardin privé,Camping Sélection Camping,2 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,686.0,686.0,GÎTE 6 personnes - MADRAGUE (à l'étage),Camping Sélection Camping,4 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,805.0,690.0,MOBILHOME 6 personnes - PORQUEROLLES,Camping Sélection Camping,6 Adultes, 83420 LA CROIX VALMER,,,18,camping-selection-camping-77442,
,01/05/2023,07/05/2023,14/05/2023,296.0,296.0,MOBILHOME 4 personnes - Standard,Camping Alpes Dauphine,4 Adultes, 05000 GAP,,,18,camping-alpes-dauphine-81517,
,01/05/2023,07/05/2023,14/05/2023,324.0,324.0,CHALET 6 personnes - Alizé,Camping Alpes Dauphine,6 Adultes, 05000 GAP,,,18,camping-alpes-dauphine-81517,
,01/05/2023,07/05/2023,14/05/2023,469.0,469.0,CHALET 2 personnes - Cocoon,Les Cent Chênes,2 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,525.0,525.0,TENTE 5 personnes - Cabane Robinson,Les Cent Chênes,5 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,539.0,539.0,MOBILHOME 4 personnes - 1ère génération,Les Cent Chênes,4 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,665.0,665.0,MOBILHOME 4 personnes - Grand Confort,Les Cent Chênes,4 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,665.0,665.0,CHALET 5 personnes - Cosy - 2 chambres,Les Cent Chênes,5 Adultes, 06640 SAINT JEANNET,,,18,les-cent-chenes-80460,
,01/05/2023,07/05/2023,14/05/2023,350.0,350.0,CHALET 4 personnes - LOISIR,Camping Saint James Les Pins,2 Adultes, 5600 GUILLESTRE,,,18,camping-saint-james-les-pins-77353,
,01/05/2023,07/05/2023,14/05/2023,350.0,350.0,MOBILHOME 4 personnes - RESIDENCE MOBILE,Camping Saint James Les Pins,4 Adultes, 5600 GUILLESTRE,,,18,camping-saint-james-les-pins-77353,
,01/05/2023,07/05/2023,14/05/2023,399.0,399.0,CHALET 6 personnes - CONFORT,Camping Saint James Les Pins,4 Adultes, 5600 GUILLESTRE,,,18,camping-saint-james-les-pins-77353,
,01/05/2023,07/05/2023,14/05/2023,448.0,448.0,CHALET 6 personnes - GRAND CONFORT,Camping Saint James Les Pins,4 Adultes, 5600 GUILLESTRE,,,18,camping-saint-james-les-pins-77353,
,01/05/2023,07/05/2023,14/05/2023,370.0,370.0,MOBILHOME 4 personnes - CONFORT,Camping De Montéglin,4 Adultes, 05300 LARAGNE MONTEGLIN,,,18,camping-de-monteglin-79080,
,01/05/2023,07/05/2023,14/05/2023,490.0,490.0,MOBILHOME 6 personnes - GRAND CONFORT avec clim,Camping De Montéglin,6 Adultes, 05300 LARAGNE MONTEGLIN,,,18,camping-de-monteglin-79080,
,01/05/2023,07/05/2023,14/05/2023,743.0,743.0,MOBILHOME 6 personnes - 6 places Premium,Camping Pascalounet,6 Adultes, 13500 MARTIGUES,,,18,camping-pascalounet-77771,
,01/05/2023,07/05/2023,14/05/2023,394.75,335.75,MOBILHOME 5 personnes - COLORADO,Camping La Pierre Verte,5 Adultes, 83600 FREJUS,,,18,camping-la-pierre-verte-77279,
,01/05/2023,07/05/2023,14/05/2023,500.0,425.0,MOBILHOME 6 personnes - GALAXIE,Camping La Pierre Verte,6 Adultes, 83600 FREJUS,,,18,camping-la-pierre-verte-77279,
,01/05/2023,07/05/2023,14/05/2023,500.0,425.0,MOBILHOME 5 personnes - MIAMI,Camping La Pierre Verte,5 Adultes, 83600 FREJUS,,,18,camping-la-pierre-verte-77279,
,01/05/2023,07/05/2023,14/05/2023,534.75,454.75,MOBILHOME 5 personnes - Mobil home ZENITH,Camping La Pierre Verte,5 Adultes, 83600 FREJUS,,,18,camping-la-pierre-verte-77279,
,01/05/2023,07/05/2023,14/05/2023,604.25,514.25,MOBILHOME 6 personnes - SUNSET,Camping La Pierre Verte,6 Adultes, 83600 FREJUS,,,18,camping-la-pierre-verte-77279,
,01/05/2023,07/05/2023,14/05/2023,413.0,413.0,MOBILHOME 6 personnes - ESTIVAL,Camping Les Cigales,4 Adultes, 6210 MANDELIEU LA NAPOULE,,,18,camping-les-cigales-77732,
