web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,07/05/2023,14/05/2023,490,490,MOBILHOME 6 personnes - Grand Confort pour 4/6 personnes (2 chambres),Camping La Rouveyrolle,4 Adultes, 07460 BERRIAS ET CASTELJAU,,,18,camping-la-rouveyrolle-76888,
,01/05/2023,07/05/2023,14/05/2023,560,560,MOBILHOME 6 personnes - Grand Confort (3 chambres),Camping La Rouveyrolle,6 Adultes, 07460 BERRIAS ET CASTELJAU,,,18,camping-la-rouveyrolle-76888,
,01/05/2023,07/05/2023,14/05/2023,119,119,MOBILHOME 6 personnes - 2 Chambres,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,18,camping-le-sous-bois-78350,
,01/05/2023,07/05/2023,14/05/2023,197.12,197.12,MOBILHOME 6 personnes - OHARA,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,18,camping-le-sous-bois-78350,
,01/05/2023,07/05/2023,14/05/2023,207.90,207.90,MOBILHOME 6 personnes - Ibie TI,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,18,camping-le-sous-bois-78350,
,01/05/2023,07/05/2023,14/05/2023,219.45,219.45,MOBILHOME 6 personnes - IBIE o Hara 30m² TC 3 chambres,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,18,camping-le-sous-bois-78350,
,01/05/2023,07/05/2023,14/05/2023,219.45,219.45,MOBILHOME 4 personnes - COTTAGE DUO Climatisé,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,18,camping-le-sous-bois-78350,
,01/05/2023,07/05/2023,14/05/2023,241.01,241.01,MOBILHOME 6 personnes - TRIGANO  3 chambres,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,18,camping-le-sous-bois-78350,
,01/05/2023,07/05/2023,14/05/2023,254.10,254.10,MOBILHOME 6 personnes - MOBIL HOME  KV 3 Chambres TV CLIM PREMIUM +,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,18,camping-le-sous-bois-78350,
,01/05/2023,07/05/2023,14/05/2023,490,441,MOBILHOME 4 personnes - Paradise,Camping Bel Air,4 Adultes, 07460 BERRIAS ET CASTELJAU,,,18,camping-bel-air-81237,
,01/05/2023,07/05/2023,14/05/2023,540,486,MOBILHOME 5 personnes - Diamond,Camping Bel Air,5 Adultes, 07460 BERRIAS ET CASTELJAU,,,18,camping-bel-air-81237,
,01/05/2023,07/05/2023,14/05/2023,385,330,CHALET 4 personnes - Family Classic,Camping Le Colporteur,2 Adultes, 38520 LE BOURG D'OISANS,,,18,camping-le-colporteur-77561,
,01/05/2023,07/05/2023,14/05/2023,490,420,"MOBILHOME 6 personnes - Bay Classic, 3 chambres",Camping Le Colporteur,6 Adultes, 38520 LE BOURG D'OISANS,,,18,camping-le-colporteur-77561,
,01/05/2023,07/05/2023,14/05/2023,490,420,MOBILHOME 4 personnes - Loggia Premium  - Clim TV,Camping Le Colporteur,4 Adultes, 38520 LE BOURG D'OISANS,,,18,camping-le-colporteur-77561,
,01/05/2023,07/05/2023,14/05/2023,504,432,CHALET 6 personnes - Espace Classic,Camping Le Colporteur,6 Adultes, 38520 LE BOURG D'OISANS,,,18,camping-le-colporteur-77561,
,01/05/2023,07/05/2023,14/05/2023,560,480,MOBILHOME 6 personnes - Loft Premium 33m² - Clim TV,Camping Le Colporteur,6 Adultes, 38520 LE BOURG D'OISANS,,,18,camping-le-colporteur-77561,
,01/05/2023,07/05/2023,14/05/2023,340,340,MOBILHOME 5 personnes - MH2 Verona,Camping De La Belle Etoile,4 Adultes, 42380 SAINT BONNET LE CHATEAU,,,18,camping-de-la-belle-etoile-78195,
,01/05/2023,07/05/2023,14/05/2023,340,340,MOBILHOME 4 personnes - MH2 Cottage Confort,Camping De La Belle Etoile,4 Adultes, 42380 SAINT BONNET LE CHATEAU,,,18,camping-de-la-belle-etoile-78195,
,01/05/2023,07/05/2023,14/05/2023,350,350,MOBILHOME 4 personnes - MH2 Mercure Confort,Camping De La Belle Etoile,4 Adultes, 42380 SAINT BONNET LE CHATEAU,,,18,camping-de-la-belle-etoile-78195,
,01/05/2023,07/05/2023,14/05/2023,400,400,MOBILHOME 6 personnes - MH3 Nirvana Grand Confort,Camping De La Belle Etoile,6 Adultes, 42380 SAINT BONNET LE CHATEAU,,,18,camping-de-la-belle-etoile-78195,
,01/05/2023,07/05/2023,14/05/2023,420,360,MOBILHOME 4 personnes - Family Confort +,Camping Le Bontemps,4 Adultes, 38150 VERNIOZ,,,18,camping-le-bontemps-78725,
,01/05/2023,07/05/2023,14/05/2023,455,390,MOBILHOME 4 personnes - LOGGIA PRENIUM 33,Camping Le Bontemps,4 Adultes, 38150 VERNIOZ,,,18,camping-le-bontemps-78725,
,01/05/2023,07/05/2023,14/05/2023,525,450,MOBILHOME 6 personnes - LOFT PRENIUM,Camping Le Bontemps,6 Adultes, 38150 VERNIOZ,,,18,camping-le-bontemps-78725,
,01/05/2023,07/05/2023,14/05/2023,539,462,MOBILHOME 6 personnes - LOFT PRENIUM 33m²,Camping Le Bontemps,6 Adultes, 38150 VERNIOZ,,,18,camping-le-bontemps-78725,
,01/05/2023,07/05/2023,14/05/2023,840,720,MOBILHOME 4 personnes - Family Luxe Premium Jacuzzi - Climatisation - TV,Camping Le Bontemps,4 Adultes, 38150 VERNIOZ,,,18,camping-le-bontemps-78725,
,01/05/2023,07/05/2023,14/05/2023,440,440,MOBILHOME 5 personnes - 2 chambres PMR climatisé,Camping Le Domaine du Cros d'Auzon,5 Adultes, 07200 SAINT MAURICE D'ARDECHE,,,18,camping-le-domaine-du-cros-dauzon-78349,
,01/05/2023,07/05/2023,14/05/2023,440,440,MOBILHOME 5 personnes - 2 chambres climatisé,Camping Le Domaine du Cros d'Auzon,5 Adultes, 07200 SAINT MAURICE D'ARDECHE,,,18,camping-le-domaine-du-cros-dauzon-78349,
,01/05/2023,07/05/2023,14/05/2023,516,516,MOBILHOME 5 personnes - 2 chambres PMR non climatisé,Camping Le Domaine du Cros d'Auzon,5 Adultes, 07200 SAINT MAURICE D'ARDECHE,,,18,camping-le-domaine-du-cros-dauzon-78349,
,01/05/2023,07/05/2023,14/05/2023,545,545,MOBILHOME 6 personnes - 3 chambres climatisé,Camping Le Domaine du Cros d'Auzon,6 Adultes, 07200 SAINT MAURICE D'ARDECHE,,,18,camping-le-domaine-du-cros-dauzon-78349,
,01/05/2023,07/05/2023,14/05/2023,590,590,MOBILHOME 6 personnes - 3 Chambres Premium,Camping Le Domaine du Cros d'Auzon,6 Adultes, 07200 SAINT MAURICE D'ARDECHE,,,18,camping-le-domaine-du-cros-dauzon-78349,
,01/05/2023,07/05/2023,14/05/2023,412,199,MOBILHOME 4 personnes - O'HARA 2/4p,Camping les Terrasses Provençales,4 Adultes, 26110 VENTEROL,,,18,camping-les-terrasses-provencales-78909,
,01/05/2023,07/05/2023,14/05/2023,412,249,MOBILHOME 4 personnes - Elegant,Camping les Terrasses Provençales,4 Adultes, 26110 VENTEROL,,,18,camping-les-terrasses-provencales-78909,
,01/05/2023,07/05/2023,14/05/2023,435,249,MOBILHOME 4 personnes - O'HARA 4p,Camping les Terrasses Provençales,4 Adultes, 26110 VENTEROL,,,18,camping-les-terrasses-provencales-78909,
,01/05/2023,07/05/2023,14/05/2023,445,249,MOBILHOME 4 personnes - SUPER MERCURE FAMILLE,Camping les Terrasses Provençales,4 Adultes, 26110 VENTEROL,,,18,camping-les-terrasses-provencales-78909,
,01/05/2023,07/05/2023,14/05/2023,445,249,MOBILHOME 4 personnes - SUPER MERCURE,Camping les Terrasses Provençales,4 Adultes, 26110 VENTEROL,,,18,camping-les-terrasses-provencales-78909,
,01/05/2023,07/05/2023,14/05/2023,499,249,MOBILHOME 4 personnes - LOUISIANE,Camping les Terrasses Provençales,4 Adultes, 26110 VENTEROL,,,18,camping-les-terrasses-provencales-78909,
,01/05/2023,07/05/2023,14/05/2023,255,255,TENTE 3 personnes - TRAPPEUR,Camping les Terrasses Provençales,3 Adultes, 26110 VENTEROL,,,18,camping-les-terrasses-provencales-78909,
,01/05/2023,07/05/2023,14/05/2023,275,275,TENTE 4 personnes - Lodge,Camping les Terrasses Provençales,4 Adultes, 26110 VENTEROL,,,18,camping-les-terrasses-provencales-78909,
,01/05/2023,07/05/2023,14/05/2023,369,369,MOBILHOME 4 personnes - Sun Roller,Camping les Terrasses Provençales,4 Adultes, 26110 VENTEROL,,,18,camping-les-terrasses-provencales-78909,
,01/05/2023,07/05/2023,14/05/2023,280,196,"TENTE TOILE ET BOIS 4 personnes - COCO, sans sanitaires",Family's Camping Le Savoy,4 Adultes, 73190 CHALLES LES EAUX,,,18,family-s-camping-le-savoy-82572,
,01/05/2023,07/05/2023,14/05/2023,307.60,215.60,CHALET 2 personnes - ECO 2 personnes,Family's Camping Le Savoy,2 Adultes, 73190 CHALLES LES EAUX,,,18,family-s-camping-le-savoy-82572,
,01/05/2023,07/05/2023,14/05/2023,370.70,259.70,CHALET 6 personnes - ECO,Family's Camping Le Savoy,4 Adultes, 73190 CHALLES LES EAUX,,,18,family-s-camping-le-savoy-82572,
,01/05/2023,07/05/2023,14/05/2023,370.70,259.70,CHALET 5 personnes - PMR 4/5 Places,Family's Camping Le Savoy,5 Adultes, 73190 CHALLES LES EAUX,,,18,family-s-camping-le-savoy-82572,
,01/05/2023,07/05/2023,14/05/2023,384.50,269.50,MOBILHOME 3 personnes - HOTELIER 17m2,Family's Camping Le Savoy,2 Adultes, 73190 CHALLES LES EAUX,,,18,family-s-camping-le-savoy-82572,
,01/05/2023,07/05/2023,14/05/2023,420,294,MOBILHOME 6 personnes - Confort,Family's Camping Le Savoy,4 Adultes, 73190 CHALLES LES EAUX,,,18,family-s-camping-le-savoy-82572,
,01/05/2023,07/05/2023,14/05/2023,455,455,MOBILHOME 4 personnes - MISSOURI,A La Rencontre du Soleil - Camping Sites et Paysages,4 Adultes, 38520 LE BOURG D'OISANS,,,18,a-la-rencontre-du-soleil-camping-sites-et-paysages-76549,
,01/05/2023,07/05/2023,14/05/2023,525,525,CHALET 5 personnes -  Privilège Montana,A La Rencontre du Soleil - Camping Sites et Paysages,4 Adultes, 38520 LE BOURG D'OISANS,,,18,a-la-rencontre-du-soleil-camping-sites-et-paysages-76549,
,01/05/2023,07/05/2023,14/05/2023,560,560,MOBILHOME 6 personnes - BELLEDONNE,A La Rencontre du Soleil - Camping Sites et Paysages,6 Adultes, 38520 LE BOURG D'OISANS,,,18,a-la-rencontre-du-soleil-camping-sites-et-paysages-76549,
,01/05/2023,07/05/2023,14/05/2023,360,360,MOBILHOME 4 personnes - First,Camping La Digue,4 Adultes, 07120 CHAUZON,,,18,camping-la-digue-77135,
,01/05/2023,07/05/2023,14/05/2023,395,395,MOBILHOME 6 personnes - Family pour 4/6 personnes (2 chambres),Camping La Digue,4 Adultes, 07120 CHAUZON,,,18,camping-la-digue-77135,
,01/05/2023,07/05/2023,14/05/2023,395,395,CHALET 6 personnes - Cottage pour 4/6 personnes (2 chambres),Camping La Digue,4 Adultes, 07120 CHAUZON,,,18,camping-la-digue-77135,
,01/05/2023,07/05/2023,14/05/2023,500,500,CHALET 7 personnes - Cottage pour 5/7 personnes (2 chambres),Camping La Digue,5 Adultes, 07120 CHAUZON,,,18,camping-la-digue-77135,
,01/05/2023,07/05/2023,14/05/2023,337,337,BUNGALOW 5 personnes - Cottage toilé 21 m² / 2 chambres - terrasse couverte (sans sanitaires privatifs),Camping La Grappe Fleurie,5 Adultes, 69820 FLEURIE,,,18,camping-la-grappe-fleurie-77236,
,01/05/2023,07/05/2023,14/05/2023,354,354,CHALET 4 personnes - 25m² / 2 chambres - Terrasse couverte,Camping La Grappe Fleurie,4 Adultes, 69820 FLEURIE,,,18,camping-la-grappe-fleurie-77236,
,01/05/2023,07/05/2023,14/05/2023,770,770,BUNGALOW 6 personnes - Cottage Family Premium 34m2 + 22m2 de terrasse,Camping La Grappe Fleurie,6 Adultes, 69820 FLEURIE,,,18,camping-la-grappe-fleurie-77236,
,01/05/2023,07/05/2023,14/05/2023,840,840,MOBILHOME 4 personnes - Cottage Loggia Premium,Camping La Grappe Fleurie,4 Adultes, 69820 FLEURIE,,,18,camping-la-grappe-fleurie-77236,
,01/05/2023,07/05/2023,14/05/2023,392,285,MOBILHOME 5 personnes - Cosy 2 chambres (I5P2),Le Petit Bois - Camping Sites et Paysages,4 Adultes, 07120 RUOMS,,,18,le-petit-bois-camping-sites-et-paysages-78177,
,01/05/2023,07/05/2023,14/05/2023,335,335,HÉBERGEMENT INSOLITE 4 personnes - CONFORT LAVANDE,Le Petit Bois - Camping Sites et Paysages,2 Adultes, 07120 RUOMS,,,18,le-petit-bois-camping-sites-et-paysages-78177,
,01/05/2023,07/05/2023,14/05/2023,370,370,CHALET 5 personnes - CONFORT CERISIER,Le Petit Bois - Camping Sites et Paysages,3 Adultes, 07120 RUOMS,,,18,le-petit-bois-camping-sites-et-paysages-78177,
,01/05/2023,07/05/2023,14/05/2023,440,440,MOBILHOME 6 personnes - COTTAGE CONFORT OLIVIER,Le Petit Bois - Camping Sites et Paysages,6 Adultes, 07120 RUOMS,,,18,le-petit-bois-camping-sites-et-paysages-78177,
,01/05/2023,07/05/2023,14/05/2023,296,203,MOBILHOME 6 personnes - Cosy 2 chambres Climatisé (I62C),Camping Le Château de Galaure,4 Adultes, 26330 CHATEAUNEUF DE GALAURE,,,18,camping-le-chateau-de-galaure-77085,
,01/05/2023,07/05/2023,14/05/2023,356,260,MOBILHOME 6 personnes - Moda 2 chambres Climatisé 2 Salles de bain (P62C),Camping Le Château de Galaure,4 Adultes, 26330 CHATEAUNEUF DE GALAURE,,,18,camping-le-chateau-de-galaure-77085,
,01/05/2023,07/05/2023,14/05/2023,378,275,MOBILHOME 6 personnes - Cosy 3 chambres Climatise (I63C),Camping Le Château de Galaure,6 Adultes, 26330 CHATEAUNEUF DE GALAURE,,,18,camping-le-chateau-de-galaure-77085,
,01/05/2023,07/05/2023,14/05/2023,479,407.15,MOBILHOME 4 personnes - Cerisier,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,,18,camping-rcn-la-bastide-en-ardeche-78463,
,01/05/2023,07/05/2023,14/05/2023,523,444.55,MOBILHOME 4 personnes - Pommier avec vue sur la rivière,Camping RCN La Bastide en Ardèche,4 Adultes, 07120 RUOMS,,,18,camping-rcn-la-bastide-en-ardeche-78463,
