web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,356,259,MOBILHOME 6 personnes - CLASSIQUE avec TV,Camping Côté O Carnac,6 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,401.88,192.90,MOBILHOME 4 personnes - Classique 3 Pièces 4 Personnes + TV,Camping Côté O Carnac,4 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,413.27,214.90,MOBILHOME 6 personnes - Classique 4 Pièces 6 Personnes + TV,Camping Côté O Carnac,6 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,273,273,MOBILHOME 4 personnes - CLASSIQUE,Camping Côté O Carnac,4 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,273,273,MOBILHOME 4 personnes - CLASSIQUE,Camping Côté O Carnac,4 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,282,282,MOBILHOME 6 personnes - CLASSIQUE,Camping Côté O Carnac,6 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,380,380,MOBILHOME 4 personnes - CONFORT,Camping Côté O Carnac,4 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,385,385,CHALET 6 personnes - PREMIUM,Camping Côté O Carnac,6 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,449,449,MOBILHOME 6 personnes - CONFORT,Camping Côté O Carnac,6 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,449,449,MOBILHOME 6 personnes - CONFORT,Camping Côté O Carnac,6 Adultes, 56340 CARNAC,,,18,camping-cote-o-carnac-7703,
,01/05/2023,06/05/2023,13/05/2023,129,129,MOBILHOME 5 personnes - 2 chambres 4/5 places,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-7756,
,01/05/2023,06/05/2023,13/05/2023,835.12,351.12,MOBILHOME 4 personnes - 4 pax standard 2 chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-7756,
,01/05/2023,06/05/2023,13/05/2023,1158.78,486.78,MOBILHOME 6 personnes - 6 personnes Standard 3 chambres,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-7756,
,01/05/2023,06/05/2023,13/05/2023,1411.04,593.04,MOBILHOME 6 personnes - Premium 2 chambres 2 sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-7756,
,01/05/2023,06/05/2023,13/05/2023,1642.06,690.06,MOBILHOME 6 personnes - 6 personnes Premium 3 chambres 2 sdb,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-7756,
,01/05/2023,06/05/2023,13/05/2023,1873.08,787.08,MOBILHOME 6 personnes - Premium 3 Chbr / 2 Sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,18,village-club-les-sables-dor-7756,
,01/05/2023,06/05/2023,13/05/2023,349,229,MOBILHOME 6 personnes - PASSION - TV,Camping Le Bel Air,6 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,299,229,STUDIO 4 personnes - TV,Camping Le Bel Air,4 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,346.61,214.90,MOBILHOME 4 personnes - Loisirs 3 Pièces 4 Personnes + TV,Camping Le Bel Air,4 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,299,299,STUDIO 4 personnes,Camping Le Bel Air,2 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,1387.60,346.90,MOBILHOME 6 personnes - Trio Premium - Jacuzzi + Climatisé + TV,Camping Le Bel Air,6 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,349,349,MOBILHOME 6 personnes - PASSION,Camping Le Bel Air,4 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,379,379,MOBILHOME 4 personnes - DUO,Camping Le Bel Air,4 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,399,399,APPARTEMENT 7 personnes - DUPLEX,Camping Le Bel Air,4 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,419,419,MOBILHOME 8 personnes - FEERIQUE,Camping Le Bel Air,6 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,459,459,MOBILHOME 8 personnes - QUATTRO,Camping Le Bel Air,8 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,599,599,MOBILHOME 4 personnes - Gamme Duo Premium Jacuzzi,Camping Le Bel Air,4 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,879,879,MOBILHOME 6 personnes - PREMIUM JACUZZI,Camping Le Bel Air,6 Adultes, 85100 LES SABLES D'OLONNE,,,18,camping-le-bel-air-7765,
,01/05/2023,06/05/2023,13/05/2023,159,159,MOBILHOME 4 personnes - CONFORT avec TV,Camping Sea Green L'Occitan,2 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,357,169,MOBILHOME 6 personnes - CONFORT 2 chambres avec TV,Camping Sea Green L'Occitan,4 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,392,179,MOBILHOME 6 personnes - CONFORT 3 chambres avec TV,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,294,294,GÎTE 6 personnes - 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,357,357,MOBILHOME 6 personnes - Confort 3 Chambres 6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,427,427,MOBILHOME 6 personnes - Privilège 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,504,504,MOBILHOME 8 personnes - Privilège 3 Chambres 6/8 pers,Camping Sea Green L'Occitan,8 Adultes, 34450 VIAS,,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,646,159,CHALET 4 personnes - S100  CLIMATISATION + TV + DRAPS,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,159,159,MOBILHOME 6 personnes - S200  CLIMATISATION + TV + DRAPS,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,119,119,MOBILHOME 6 personnes - 2 chambres + TV + Clim,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,129,129,MOBILHOME 6 personnes - 3 chambres + TV + Clim,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,189,189,MOBILHOME 4 personnes - Ambre 2 chambres,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,217,217,MOBILHOME 6 personnes - Ruby 2 chambres,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,231,231,MOBILHOME 4 personnes - Sapphire 2 chambres,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,238,238,MOBILHOME 6 personnes - Emeraude 3 chambres,Camping Vilanova Park,6 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,355,248.50,CHALET 6 personnes,Camping Vilanova Park,6 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,492.81,280.90,MOBILHOME 6 personnes,Camping Vilanova Park,6 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,410,287,CHALET 6 personnes - SUPERIEUR,Camping Vilanova Park,6 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,328,293,MOBILHOME 4 personnes - Aspen Combi,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,336,297,BUNGALOW TOILÉ 5 personnes - Jungle,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,426,377,MOBILHOME 6 personnes - Aspen,Camping Vilanova Park,5 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,426,377,MOBILHOME 5 personnes - Redwood,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,385,385,BUNGALOW 6 personnes - S-800,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,401,401,MOBILHOME 6 personnes - S 200,Camping Vilanova Park,6 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,435,435,MOBILHOME 6 personnes,Camping Vilanova Park,6 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,466.27,466.27,BUNGALOW 4 personnes - S150,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,469,469,CHALET 6 personnes - S400,Camping Vilanova Park,6 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,638.65,638.65,BUNGALOW 6 personnes - S-700,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,655.10,655.10,MOBILHOME 6 personnes - S-2300,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,663.32,663.32,BUNGALOW 6 personnes - S500,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,663.32,663.32,MOBILHOME 6 personnes - S050,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,691.88,691.88,BUNGALOW 6 personnes - S800,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,691.88,691.88,BUNGALOW 6 personnes - S700,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,739,739,BUNGALOW 6 personnes - S-430,Camping Vilanova Park,6 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,1113,1113,BUNGALOW 6 personnes - S-PMR,Camping Vilanova Park,5 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,1113,1113,BUNGALOW 6 personnes - S-500,Camping Vilanova Park,4 Adultes,"Carretera Arboç, Km 2,5 ",,,18,parc-de-vacances-vilanova-park-7793,
