web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,356,259,MOBILHOME 6 personnes - CLASSIQUE avec TV,6 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,401,192,MOBILHOME 4 personnes - Classique 3 Pièces 4 Personnes + TV,4 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,413,214,MOBILHOME 6 personnes - Classique 4 Pièces 6 Personnes + TV,6 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,273,273,MOBILHOME 4 personnes - CLASSIQUE,4 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,273,273,MOBILHOME 4 personnes - CLASSIQUE,4 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,282,282,MOBILHOME 6 personnes - CLASSIQUE,6 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,380,380,MOBILHOME 4 personnes - CONFORT,4 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,385,385,CHALET 6 personnes - PREMIUM,6 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,449,449,MOBILHOME 6 personnes - CONFORT,6 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,449,449,MOBILHOME 6 personnes - CONFORT,6 Adultes,,Camping Côté O Carnac,CARNAC,,18,camping-cote-o-carnac-7703,CARNAC
,01/05/2023,06/05/2023,13/05/2023,129,129,MOBILHOME 5 personnes - 2 chambres 4/5 places,4 Adultes,,Village-club Les Sables d'Or,LE CAP D'AGDE,,18,village-club-les-sables-dor-7756,CAP D'AGDE
,01/05/2023,06/05/2023,13/05/2023,835,351,MOBILHOME 4 personnes - 4 pax standard 2 chambres,4 Adultes,,Village-club Les Sables d'Or,LE CAP D'AGDE,,18,village-club-les-sables-dor-7756,CAP D'AGDE
,01/05/2023,06/05/2023,13/05/2023,1158,486,MOBILHOME 6 personnes - 6 personnes Standard 3 chambres,6 Adultes,,Village-club Les Sables d'Or,LE CAP D'AGDE,,18,village-club-les-sables-dor-7756,CAP D'AGDE
,01/05/2023,06/05/2023,13/05/2023,1411,593,MOBILHOME 6 personnes - Premium 2 chambres 2 sdb GARDEN,6 Adultes,,Village-club Les Sables d'Or,LE CAP D'AGDE,,18,village-club-les-sables-dor-7756,CAP D'AGDE
,01/05/2023,06/05/2023,13/05/2023,1642,690,MOBILHOME 6 personnes - 6 personnes Premium 3 chambres 2 sdb,6 Adultes,,Village-club Les Sables d'Or,LE CAP D'AGDE,,18,village-club-les-sables-dor-7756,CAP D'AGDE
,01/05/2023,06/05/2023,13/05/2023,1873,787,MOBILHOME 6 personnes - Premium 3 Chbr / 2 Sdb GARDEN,6 Adultes,,Village-club Les Sables d'Or,LE CAP D'AGDE,,18,village-club-les-sables-dor-7756,CAP D'AGDE
,01/05/2023,06/05/2023,13/05/2023,349,229,MOBILHOME 6 personnes - PASSION - TV,6 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,299,229,STUDIO 4 personnes - TV,4 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,346,214,MOBILHOME 4 personnes - Loisirs 3 Pièces 4 Personnes + TV,4 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,1387,346,MOBILHOME 6 personnes - Trio Premium - Jacuzzi + Climatisé + TV,6 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,349,349,MOBILHOME 6 personnes - PASSION,4 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,379,379,MOBILHOME 4 personnes - DUO,4 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,399,399,APPARTEMENT 7 personnes - DUPLEX,4 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,419,419,MOBILHOME 8 personnes - FEERIQUE,6 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,459,459,MOBILHOME 8 personnes - QUATTRO,8 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,599,599,MOBILHOME 4 personnes - Gamme Duo Premium Jacuzzi,4 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,879,879,MOBILHOME 6 personnes - PREMIUM JACUZZI,6 Adultes,,Camping Le Bel Air,LES SABLES D'OLONNE,,18,camping-le-bel-air-7765,LES SABLES D'OLONNES
,01/05/2023,06/05/2023,13/05/2023,357,169,MOBILHOME 6 personnes - CONFORT 2 chambres avec TV,4 Adultes,,Camping Sea Green L'Occitan,VIAS,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,392,179,MOBILHOME 6 personnes - CONFORT 3 chambres avec TV,6 Adultes,,Camping Sea Green L'Occitan,VIAS,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,294,294,GÎTE 6 personnes - 2 Chambres 4/6 pers,6 Adultes,,Camping Sea Green L'Occitan,VIAS,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,357,357,MOBILHOME 6 personnes - Confort 3 Chambres 6 pers,6 Adultes,,Camping Sea Green L'Occitan,VIAS,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,427,427,MOBILHOME 6 personnes - Privilège 2 Chambres 4/6 pers,6 Adultes,,Camping Sea Green L'Occitan,VIAS,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,504,504,MOBILHOME 8 personnes - Privilège 3 Chambres 6/8 pers,8 Adultes,,Camping Sea Green L'Occitan,VIAS,,18,camping-sea-green-l-occitan-7873,
,01/05/2023,06/05/2023,13/05/2023,646,159,CHALET 4 personnes - S100  CLIMATISATION + TV + DRAPS,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,159,159,MOBILHOME 6 personnes - S200  CLIMATISATION + TV + DRAPS,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,119,119,MOBILHOME 6 personnes - 2 chambres + TV + Clim,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,129,129,MOBILHOME 6 personnes - 3 chambres + TV + Clim,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,189,189,MOBILHOME 4 personnes - Ambre 2 chambres,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,217,217,MOBILHOME 6 personnes - Ruby 2 chambres,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,231,231,MOBILHOME 4 personnes - Sapphire 2 chambres,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,238,238,MOBILHOME 6 personnes - Emeraude 3 chambres,6 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,355,248,CHALET 6 personnes,6 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,492,280,MOBILHOME 6 personnes,6 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,410,287,CHALET 6 personnes - SUPERIEUR,6 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,328,293,MOBILHOME 4 personnes - Aspen Combi,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,336,297,BUNGALOW TOILÉ 5 personnes - Jungle,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,426,377,MOBILHOME 5 personnes - Redwood,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,385,385,BUNGALOW 6 personnes - S-800,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,401,401,MOBILHOME 6 personnes - S 200,6 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,435,435,MOBILHOME 6 personnes,6 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,466,466,BUNGALOW 4 personnes - S150,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,469,469,CHALET 6 personnes - S400,6 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,638,638,BUNGALOW 6 personnes - S-700,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,655,655,MOBILHOME 6 personnes - S-2300,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,663,663,BUNGALOW 6 personnes - S500,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,663,663,MOBILHOME 6 personnes - S050,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,691,691,BUNGALOW 6 personnes - S800,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,691,691,BUNGALOW 6 personnes - S700,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,739,739,BUNGALOW 6 personnes - S-430,6 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,1113,1113,BUNGALOW 6 personnes - S-500,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,1113,1113,BUNGALOW 6 personnes - S-950,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,1191,1191,BUNGALOW 6 personnes - S-750,4 Adultes,,Camping Vilanova Park,Carretera Arboç,,18,parc-de-vacances-vilanova-park-7793,
,01/05/2023,06/05/2023,13/05/2023,199,199,MOBILHOME 8 personnes - 3 chambres 6/8 places,8 Adultes,,Camping Oléron Loisirs,SAINT GEORGES D'OLERON,,18,camping-oleron-loisirs-7790,SAINT GEORGES D'OLERON
,01/05/2023,06/05/2023,13/05/2023,446,236,MOBILHOME 6 personnes - Loisirs 4 Pièces 6 Personnes + TV,4 Adultes,,Camping Oléron Loisirs,SAINT GEORGES D'OLERON,,18,camping-oleron-loisirs-7790,SAINT GEORGES D'OLERON
,01/05/2023,06/05/2023,13/05/2023,310,279,MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 21m²,4 Adultes,,Camping Oléron Loisirs,SAINT GEORGES D'OLERON,,18,camping-oleron-loisirs-7790,SAINT GEORGES D'OLERON
,01/05/2023,06/05/2023,13/05/2023,310,279,MOBILHOME 4 personnes - Mh Cocoon 4P 2CH MEZ 21m² Dim,4 Adultes,,Camping Oléron Loisirs,SAINT GEORGES D'OLERON,,18,camping-oleron-loisirs-7790,SAINT GEORGES D'OLERON
,01/05/2023,06/05/2023,13/05/2023,460,414,MOBILHOME 8 personnes - Loisir 8 personnes 3 chambres 35m²,8 Adultes,,Camping Oléron Loisirs,SAINT GEORGES D'OLERON,,18,camping-oleron-loisirs-7790,SAINT GEORGES D'OLERON
,01/05/2023,06/05/2023,13/05/2023,460,414,MOBILHOME 8 personnes - Loisir 8 personnes 3 chambres 35m²,8 Adultes,,Camping Oléron Loisirs,SAINT GEORGES D'OLERON,,18,camping-oleron-loisirs-7790,SAINT GEORGES D'OLERON
,01/05/2023,06/05/2023,13/05/2023,460,414,MOBILHOME 8 personnes - Loisir 8 personnes 3 chambres 35m²,8 Adultes,,Camping Oléron Loisirs,SAINT GEORGES D'OLERON,,18,camping-oleron-loisirs-7790,SAINT GEORGES D'OLERON
,01/05/2023,06/05/2023,13/05/2023,406,229,MOBILHOME 5 personnes - CONFORT TV,4 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,497,239,MOBILHOME 6 personnes - CONFORT TV,6 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,275,275,BUNGALOW TOILÉ 5 personnes - CABANE NATURE (sans sanitaire),4 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,513,289,MOBILHOME 6 personnes - FAMILY,6 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,354,354,MOBILHOME 4 personnes - CLASSIQUE,4 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,395,395,MOBILHOME 6 personnes - CLASSIQUE,6 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,531,531,MOBILHOME 6 personnes - Garden 3ch,4 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,531,531,CHALET 7 personnes - Cottage Garden,4 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,547,547,MOBILHOME 5 personnes - PRESTIGE,4 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,588,588,CHALET 4 personnes - PRESTIGE,4 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,615,615,CHALET 6 personnes - COTTAGE PRESTIGE,6 Adultes,,Flower Camping Les Biches,SAINT HILAIRE DE RIEZ,,18,flower-camping-les-biches-7667,SAINT-HILAIRE-DE-RIEZ
,01/05/2023,06/05/2023,13/05/2023,475,219,MOBILHOME 6 personnes - 3 chambres,6 Adultes,,Camping Le Clos Virgile,SERIGNAN,,18,camping-le-clos-virgile-7852,BEZIERS
