web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,01/05/2023,06/05/2023,13/05/2023,385,219,MOBILHOME 6 personnes - 2 chambres,4 Adultes,,Camping La Rouveyrolle,BERRIAS ET CASTELJAU,,18,camping-la-rouveyrolle-76888,
,01/05/2023,06/05/2023,13/05/2023,399,399,MOBILHOME 6 personnes - Grand Confort pour 4/6 personnes (2 chambres),4 Adultes,,Camping La Rouveyrolle,BERRIAS ET CASTELJAU,,18,camping-la-rouveyrolle-76888,
,01/05/2023,06/05/2023,13/05/2023,427,427,MOBILHOME 6 personnes - Grand Confort (3 chambres),6 Adultes,,Camping La Rouveyrolle,BERRIAS ET CASTELJAU,,18,camping-la-rouveyrolle-76888,
,01/05/2023,06/05/2023,13/05/2023,197,197,MOBILHOME 6 personnes - OHARA,4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,18,camping-le-sous-bois-78350,
,01/05/2023,06/05/2023,13/05/2023,207,207,MOBILHOME 6 personnes - Ibie TI,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,18,camping-le-sous-bois-78350,
,01/05/2023,06/05/2023,13/05/2023,219,219,MOBILHOME 6 personnes - IBIE o Hara 30m² TC 3 chambres,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,18,camping-le-sous-bois-78350,
,01/05/2023,06/05/2023,13/05/2023,219,219,MOBILHOME 4 personnes - COTTAGE DUO Climatisé,4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,18,camping-le-sous-bois-78350,
,01/05/2023,06/05/2023,13/05/2023,229,229,MOBILHOME 6 personnes - EVO29,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,18,camping-le-sous-bois-78350,
,01/05/2023,06/05/2023,13/05/2023,241,241,MOBILHOME 6 personnes - TRIGANO  3 chambres,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,18,camping-le-sous-bois-78350,
,01/05/2023,06/05/2023,13/05/2023,254,254,MOBILHOME 6 personnes - MOBIL HOME  KV 3 Chambres TV CLIM PREMIUM +,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,18,camping-le-sous-bois-78350,
,01/05/2023,06/05/2023,13/05/2023,440,220,MOBILHOME 4 personnes - Cottage,4 Adultes,,Camping Bel Air,BERRIAS ET CASTELJAU,,18,camping-bel-air-81237,
,01/05/2023,06/05/2023,13/05/2023,490,245,MOBILHOME 4 personnes - Paradise,4 Adultes,,Camping Bel Air,BERRIAS ET CASTELJAU,,18,camping-bel-air-81237,
,01/05/2023,06/05/2023,13/05/2023,590,295,MOBILHOME 6 personnes - Family,6 Adultes,,Camping Bel Air,BERRIAS ET CASTELJAU,,18,camping-bel-air-81237,
,01/05/2023,06/05/2023,13/05/2023,490,462,MOBILHOME 6 personnes - Bay Classic - 3 chambres,6 Adultes,,Camping Le Colporteur,LE BOURG D'OISANS,,18,camping-le-colporteur-77561,
,01/05/2023,06/05/2023,13/05/2023,490,462,MOBILHOME 4 personnes - Loggia Premium  - Clim TV,4 Adultes,,Camping Le Colporteur,LE BOURG D'OISANS,,18,camping-le-colporteur-77561,
,01/05/2023,06/05/2023,13/05/2023,504,475,CHALET 6 personnes - Espace Classic,6 Adultes,,Camping Le Colporteur,LE BOURG D'OISANS,,18,camping-le-colporteur-77561,
,01/05/2023,06/05/2023,13/05/2023,560,528,MOBILHOME 6 personnes - Loft Premium 33m² - Clim TV,6 Adultes,,Camping Le Colporteur,LE BOURG D'OISANS,,18,camping-le-colporteur-77561,
,01/05/2023,06/05/2023,13/05/2023,340,340,MOBILHOME 5 personnes - MH2 Verona,4 Adultes,,Camping De La Belle Etoile,SAINT BONNET LE CHATEAU,,18,camping-de-la-belle-etoile-78195,
,01/05/2023,06/05/2023,13/05/2023,340,340,MOBILHOME 4 personnes - MH2 Cottage Confort,4 Adultes,,Camping De La Belle Etoile,SAINT BONNET LE CHATEAU,,18,camping-de-la-belle-etoile-78195,
,01/05/2023,06/05/2023,13/05/2023,400,400,MOBILHOME 6 personnes - MH3 Nirvana Grand Confort,6 Adultes,,Camping De La Belle Etoile,SAINT BONNET LE CHATEAU,,18,camping-de-la-belle-etoile-78195,
,01/05/2023,06/05/2023,13/05/2023,420,396,MOBILHOME 4 personnes - Family Confort +,4 Adultes,,Camping Le Bontemps,VERNIOZ,,18,camping-le-bontemps-78725,
,01/05/2023,06/05/2023,13/05/2023,455,429,MOBILHOME 4 personnes - LOGGIA PRENIUM 33,4 Adultes,,Camping Le Bontemps,VERNIOZ,,18,camping-le-bontemps-78725,
,01/05/2023,06/05/2023,13/05/2023,525,495,MOBILHOME 6 personnes - LOFT PRENIUM,6 Adultes,,Camping Le Bontemps,VERNIOZ,,18,camping-le-bontemps-78725,
,01/05/2023,06/05/2023,13/05/2023,539,508,MOBILHOME 6 personnes - LOFT PRENIUM 33m²,6 Adultes,,Camping Le Bontemps,VERNIOZ,,18,camping-le-bontemps-78725,
,01/05/2023,06/05/2023,13/05/2023,840,792,MOBILHOME 4 personnes - Family Luxe Premium Jacuzzi - Climatisation - TV,4 Adultes,,Camping Le Bontemps,VERNIOZ,,18,camping-le-bontemps-78725,
