web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,09/04/2023,16/04/2023,410,297,MOBILHOME 4 personnes - Cosy 2 chambres Climatisé  (I42C),4 Adultes,,Camping La Falaise,NARBONNE PLAGE,,14,camping-la-falaise-77875,NARBONNE PLAGE
,03/04/2023,09/04/2023,16/04/2023,291,291,MOBILHOME 4 personnes - PELICAN,4 Adultes,,Camping La Grange Neuve,Nord,,14,camping-la-grange-neuve-78536,Narbonne plage
,03/04/2023,09/04/2023,16/04/2023,301,301,MOBILHOME 4 personnes - FLAMANT ROSE,4 Adultes,,Camping La Grange Neuve,Nord,,14,camping-la-grange-neuve-78536,Narbonne plage
,03/04/2023,09/04/2023,16/04/2023,322,322,MOBILHOME 4 personnes - FLAMAND ROSE + Clim et TV,4 Adultes,,Camping La Grange Neuve,Nord,,14,camping-la-grange-neuve-78536,Narbonne plage
,03/04/2023,09/04/2023,16/04/2023,343,343,MOBILHOME 4 personnes - PREMIUM Côté Jardin,4 Adultes,,Camping La Grange Neuve,Nord,,14,camping-la-grange-neuve-78536,Narbonne plage
,03/04/2023,09/04/2023,16/04/2023,363,363,MOBILHOME 4 personnes - PREMIUM Côté Réserve,4 Adultes,,Camping La Grange Neuve,Nord,,14,camping-la-grange-neuve-78536,Narbonne plage
,03/04/2023,09/04/2023,16/04/2023,415,415,MOBILHOME 6 personnes - GIRAFE + Clim et TV,4 Adultes,,Camping La Grange Neuve,Nord,,14,camping-la-grange-neuve-78536,Narbonne plage
,03/04/2023,09/04/2023,16/04/2023,322,322,MOBILHOME 4 personnes - Trigano 31 terrasse,4 Adultes,,Camping le Moulin du Pont d'Alies,AXAT,,14,camping-le-moulin-du-pont-dalies-76810,
,03/04/2023,09/04/2023,16/04/2023,322,322,MOBILHOME 5 personnes - Trigano 27,4 Adultes,,Camping le Moulin du Pont d'Alies,AXAT,,14,camping-le-moulin-du-pont-dalies-76810,
,03/04/2023,09/04/2023,16/04/2023,420,420,CHALET 4 personnes - 2 chambres,4 Adultes,,Camping Innature - Camping Sites et Paysages,ARQUES,,14,camping-innature-camping-sites-et-paysages-89352,
,03/04/2023,09/04/2023,16/04/2023,455,455,MOBILHOME 4 personnes - 2 chambres,4 Adultes,,Camping Innature - Camping Sites et Paysages,ARQUES,,14,camping-innature-camping-sites-et-paysages-89352,
,03/04/2023,09/04/2023,16/04/2023,455,455,CHALET 6 personnes - 3 chambres,6 Adultes,,Camping Innature - Camping Sites et Paysages,ARQUES,,14,camping-innature-camping-sites-et-paysages-89352,
,03/04/2023,09/04/2023,16/04/2023,595,595,MOBILHOME 6 personnes - 3 chambres,6 Adultes,,Camping Innature - Camping Sites et Paysages,ARQUES,,14,camping-innature-camping-sites-et-paysages-89352,
,03/04/2023,09/04/2023,16/04/2023,700,700,VILLA 6 personnes - avec spa privatif,6 Adultes,,Camping Innature - Camping Sites et Paysages,ARQUES,,14,camping-innature-camping-sites-et-paysages-89352,
,03/04/2023,09/04/2023,16/04/2023,333,333,TENTE TOILE ET BOIS 4 personnes - COCO SWEET sans sanitaires,4 Adultes,,Le Moulin de Sainte-Anne - Camping Sites et Paysages,VILLEGLY,,14,le-moulin-de-sainte-anne-camping-sites-et-paysages-87661,
,03/04/2023,09/04/2023,16/04/2023,395,395,CHALET 4 personnes - MONTANA,4 Adultes,,Le Moulin de Sainte-Anne - Camping Sites et Paysages,VILLEGLY,,14,le-moulin-de-sainte-anne-camping-sites-et-paysages-87661,
,03/04/2023,09/04/2023,16/04/2023,974,974,MOBILHOME 8 personnes - Tribu,8 Adultes,,Le Moulin de Sainte-Anne - Camping Sites et Paysages,VILLEGLY,,14,le-moulin-de-sainte-anne-camping-sites-et-paysages-87661,
,03/04/2023,09/04/2023,16/04/2023,321,321,MOBILHOME 5 personnes - Alto pour 4/6 personnes,4 Adultes,,Le Fun Camping,FITOU,,14,le-fun-camping-79641,
,03/04/2023,09/04/2023,16/04/2023,1600,1600,VILLA 8 personnes - CASA PALMA villa avec piscine privée - vue sur étang de La Palme - 4 chambres - grande terrasse bois,8 Adultes,,Le Fun Camping,FITOU,,14,le-fun-camping-79641,
,03/04/2023,09/04/2023,16/04/2023,360,360,MOBILHOME 4 personnes - MH2 COTTAGE FAMILY,4 Adultes,,Village Vacances de Gruissan,GRUISSAN,,14,village-vacances-de-gruissan-77308,NARBONNE LITTORAL GRUISSAN
,03/04/2023,09/04/2023,16/04/2023,492,492,GÎTE 4 personnes,4 Adultes,,Village Vacances de Gruissan,GRUISSAN,,14,village-vacances-de-gruissan-77308,NARBONNE LITTORAL GRUISSAN
,03/04/2023,09/04/2023,16/04/2023,492,492,GÎTE 4 personnes - Gîte PMR 4 personnes,4 Adultes,,Village Vacances de Gruissan,GRUISSAN,,14,village-vacances-de-gruissan-77308,NARBONNE LITTORAL GRUISSAN
,03/04/2023,09/04/2023,16/04/2023,534,534,GÎTE 6 personnes,6 Adultes,,Village Vacances de Gruissan,GRUISSAN,,14,village-vacances-de-gruissan-77308,NARBONNE LITTORAL GRUISSAN
,03/04/2023,09/04/2023,16/04/2023,564,564,MOBILHOME 4 personnes - MH2 COTTAGE PREMIUM PMR,4 Adultes,,Village Vacances de Gruissan,GRUISSAN,,14,village-vacances-de-gruissan-77308,NARBONNE LITTORAL GRUISSAN
,03/04/2023,09/04/2023,16/04/2023,564,564,MOBILHOME 4 personnes - MH2 COTTAGE PMR,4 Adultes,,Village Vacances de Gruissan,GRUISSAN,,14,village-vacances-de-gruissan-77308,NARBONNE LITTORAL GRUISSAN
,03/04/2023,09/04/2023,16/04/2023,636,636,GÎTE 8 personnes,8 Adultes,,Village Vacances de Gruissan,GRUISSAN,,14,village-vacances-de-gruissan-77308,NARBONNE LITTORAL GRUISSAN
,03/04/2023,09/04/2023,16/04/2023,720,720,MOBILHOME 8 personnes - MH3 COTTAGE PREMIUM 6/8,6 Adultes,,Village Vacances de Gruissan,GRUISSAN,,14,village-vacances-de-gruissan-77308,NARBONNE LITTORAL GRUISSAN
,03/04/2023,09/04/2023,16/04/2023,490,490,MOBILHOME 6 personnes - Confort 3 chambres 32m² (TV),6 Adultes,,Camping La Commanderie,FRANCE,,14,camping-la-commanderie-79905,FOUESNANT - BEG-MEIL
,03/04/2023,09/04/2023,16/04/2023,504,504,MOBILHOME 6 personnes - Confort Plus 3 chambres 28m² (Clim+TV),6 Adultes,,Camping La Commanderie,FRANCE,,14,camping-la-commanderie-79905,FOUESNANT - BEG-MEIL
,03/04/2023,09/04/2023,16/04/2023,315,315,TENTE 4 personnes - LODGE - Sans sanitaires,4 Adultes,,Camping Sites et Paysages - La Pinède,LEZIGNAN CORBIERES,,14,camping-sites-et-paysages-la-pinede-87673,
,03/04/2023,09/04/2023,16/04/2023,420,420,MOBILHOME 4 personnes - CONFORT,4 Adultes,,Camping Sites et Paysages - La Pinède,LEZIGNAN CORBIERES,,14,camping-sites-et-paysages-la-pinede-87673,
