web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,09/04/2023,16/04/2023,275,275,MOBILHOME 3 personnes - 2/3 pers. Climatisé,Camping Domaine Résidentiel de Plein Air Elysée,2 Adultes, 30240 LE GRAU DU ROI,,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,
,03/04/2023,09/04/2023,16/04/2023,315,315,MOBILHOME 5 personnes - Climatisé,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,
,03/04/2023,09/04/2023,16/04/2023,315,315,MOBILHOME 6 personnes - Terrasse couverte,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,
,03/04/2023,09/04/2023,16/04/2023,330,330,MOBILHOME 6 personnes - Climatisé,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,
,03/04/2023,09/04/2023,16/04/2023,429,429,MOBILHOME 8 personnes - Terrasse couverte,Camping Domaine Résidentiel de Plein Air Elysée,6 Adultes, 30240 LE GRAU DU ROI,,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,
,03/04/2023,09/04/2023,16/04/2023,459,459,MOBILHOME 8 personnes - Climatisé,Camping Domaine Résidentiel de Plein Air Elysée,6 Adultes, 30240 LE GRAU DU ROI,,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,
,03/04/2023,05/08/2023,12/08/2023,1049,1049,MOBILHOME 5 personnes - 2 chambres 4/5 places,Camping Mer et Camargue,5 Adultes, 30420 CALVISSON,,,31,camping-mer-et-camargue-76986,
,03/04/2023,05/08/2023,12/08/2023,1149,1149,MOBILHOME 6 personnes - 3 chambres,Camping Mer et Camargue,6 Adultes, 30420 CALVISSON,,,31,camping-mer-et-camargue-76986,
,03/04/2023,09/04/2023,16/04/2023,340,340,MOBILHOME 4 personnes - Cottage Cosy,Camping La Sousta,4 Adultes, 30210 REMOULINS,,,14,camping-la-sousta-76669,
,03/04/2023,09/04/2023,16/04/2023,375,375,MOBILHOME 6 personnes - Cottage Family,Camping La Sousta,6 Adultes, 30210 REMOULINS,,,14,camping-la-sousta-76669,
,03/04/2023,05/08/2023,12/08/2023,1199,1199,MOBILHOME 3 personnes - 2/3 pers. Climatisé,Camping Domaine Résidentiel de Plein Air Elysée,2 Adultes, 30240 LE GRAU DU ROI,,,31,camping-domaine-residentiel-de-plein-air-elysee-77578,
,03/04/2023,05/08/2023,12/08/2023,1459,1459,MOBILHOME 6 personnes - Terrasse couverte,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,,31,camping-domaine-residentiel-de-plein-air-elysee-77578,
,03/04/2023,05/08/2023,12/08/2023,1559,1559,MOBILHOME 6 personnes - Climatisé,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,,31,camping-domaine-residentiel-de-plein-air-elysee-77578,
