web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,09/04/2023,16/04/2023,315,315,MOBILHOME 5 personnes - Climatisé,4 Adultes,,Camping Domaine Résidentiel de Plein Air Elysée,LE GRAU DU ROI,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,LE GRAU-DU-ROI
,03/04/2023,09/04/2023,16/04/2023,315,315,MOBILHOME 6 personnes - Terrasse couverte,4 Adultes,,Camping Domaine Résidentiel de Plein Air Elysée,LE GRAU DU ROI,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,LE GRAU-DU-ROI
,03/04/2023,09/04/2023,16/04/2023,330,330,MOBILHOME 6 personnes - Climatisé,4 Adultes,,Camping Domaine Résidentiel de Plein Air Elysée,LE GRAU DU ROI,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,LE GRAU-DU-ROI
,03/04/2023,09/04/2023,16/04/2023,429,429,MOBILHOME 8 personnes - Terrasse couverte,6 Adultes,,Camping Domaine Résidentiel de Plein Air Elysée,LE GRAU DU ROI,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,LE GRAU-DU-ROI
,03/04/2023,09/04/2023,16/04/2023,459,459,MOBILHOME 8 personnes - Climatisé,6 Adultes,,Camping Domaine Résidentiel de Plein Air Elysée,LE GRAU DU ROI,,14,camping-domaine-residentiel-de-plein-air-elysee-77578,LE GRAU-DU-ROI
,03/04/2023,09/04/2023,16/04/2023,340,340,MOBILHOME 4 personnes - Cottage Cosy,4 Adultes,,Camping La Sousta,REMOULINS,,14,camping-la-sousta-76669,REMOULINS
,03/04/2023,09/04/2023,16/04/2023,375,375,MOBILHOME 6 personnes - Cottage Family,6 Adultes,,Camping La Sousta,REMOULINS,,14,camping-la-sousta-76669,REMOULINS
,03/04/2023,09/04/2023,16/04/2023,197,197,BUNGALOW TOILÉ 4 personnes - COCO PARADIS (sans sanitaires),4 Adultes,,Camping Les Amarines - Camping Paradis,CORNILLON,,14,camping-les-amarines-camping-paradis-80995,
,03/04/2023,09/04/2023,16/04/2023,339,339,CHALET 5 personnes - GECKO Standard,4 Adultes,,Camping Les Fauvettes,ANDUZE,,14,camping-les-fauvettes-76614,
,03/04/2023,09/04/2023,16/04/2023,548,548,MOBILHOME 6 personnes - PORTLAND Premium 35m²,6 Adultes,,Camping Les Fauvettes,ANDUZE,,14,camping-les-fauvettes-76614,
,03/04/2023,09/04/2023,16/04/2023,455,455,TENTE TOILE ET BOIS 5 personnes - Lodge Victoria (sans sanitaires - ni eau - ni chauffage),4 Adultes,,Camping Le Mas de Reilhe,CRESPIAN,,14,camping-le-mas-de-reilhe-77155,
,03/04/2023,09/04/2023,16/04/2023,567,567,MOBILHOME 4 personnes - Fidji,4 Adultes,,Camping Le Mas de Reilhe,CRESPIAN,,14,camping-le-mas-de-reilhe-77155,
,03/04/2023,09/04/2023,16/04/2023,644,644,MOBILHOME 4 personnes - Oakley,4 Adultes,,Camping Le Mas de Reilhe,CRESPIAN,,14,camping-le-mas-de-reilhe-77155,
