web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,09/04/2023,16/04/2023,405,324,MOBILHOME 6 personnes - Evasion 6 personnes 2 chambres 28m²,6 Adultes,,Camping Le Clos Virgile,SERIGNAN,,14,camping-le-clos-virgile-78527,BEZIERS
,03/04/2023,09/04/2023,16/04/2023,475,380,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 34m²,8 Adultes,,Camping Le Clos Virgile,SERIGNAN,,14,camping-le-clos-virgile-78527,BEZIERS
,03/04/2023,09/04/2023,16/04/2023,475,380,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 30m²,8 Adultes,,Camping Le Clos Virgile,SERIGNAN,,14,camping-le-clos-virgile-78527,BEZIERS
,03/04/2023,09/04/2023,16/04/2023,295,295,MOBILHOME 6 personnes - Standard - 2 Chambres 4/6 personnes,4 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,315,315,MOBILHOME 6 personnes - Standard -3 Chambres 6 pers.,6 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,420,420,MOBILHOME 6 personnes - MH2 BIEN-ETRE 33 m²,4 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,450,450,MOBILHOME 6 personnes - MH3 BIEN-ETRE 36 m²,6 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,480,480,MOBILHOME 8 personnes - MH4 BIEN-ETRE 38 m²,6 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,385,330,MOBILHOME 6 personnes - CONFORT,6 Adultes,,Camping Domaine de Sainte Véziane,BESSAN,,14,camping-domaine-de-sainte-veziane-76891,
,03/04/2023,09/04/2023,16/04/2023,420,360,MOBILHOME 6 personnes - CONFORT+ PREMIUM 31 m²,6 Adultes,,Camping Domaine de Sainte Véziane,BESSAN,,14,camping-domaine-de-sainte-veziane-76891,
,03/04/2023,09/04/2023,16/04/2023,497,426,MOBILHOME 6 personnes - CONFORT+ PREMIUM 3 +CLIM,6 Adultes,,Camping Domaine de Sainte Véziane,BESSAN,,14,camping-domaine-de-sainte-veziane-76891,
,03/04/2023,09/04/2023,16/04/2023,425,425,TENTE TOILE ET BOIS 6 personnes - LODGE Prestige CAMPING,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,468,468,MOBILHOME 4 personnes - MH CONFORT 2 CH 1 SDB,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,495,495,MOBILHOME 4 personnes - MH CONFORT PLUS 2 CH 1 SDB,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,510,510,CHALET 6 personnes - Prestige camping,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,530,530,MOBILHOME 6 personnes - Confort,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,530,530,MOBILHOME 4 personnes - SUNELIA MH PRESTIGE 2 CH 1 SDB,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,553,553,MOBILHOME 6 personnes - Confort Plus 3 CH,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,595,595,MOBILHOME 6 personnes - MH PRESTIGE 2 CH 2 SDB 4/6,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,665,665,MOBILHOME 6 personnes - MH PRESTIGE 3 CH 2 SDB,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,723,723,MOBILHOME 4 personnes - TAOS Luxe 2CH,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,820,820,MOBILHOME 6 personnes - TAOS 3CH 6P,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,289,289,MOBILHOME 4 personnes - Basik,4 Adultes,,La Clape Village,AGDE,,14,la-clape-village-76694,CAP D'AGDE
,03/04/2023,09/04/2023,16/04/2023,403,403,MOBILHOME 4 personnes - Cottage Privilège avec bed extérieur - quartier familles uniquement - zone piétonnière,4 Adultes,,La Clape Village,AGDE,,14,la-clape-village-76694,CAP D'AGDE
,03/04/2023,09/04/2023,16/04/2023,442,442,MOBILHOME 6 personnes - Cottage Privilège avec bed extérieur - quartier familles uniquement -  zone piétonnière,6 Adultes,,La Clape Village,AGDE,,14,la-clape-village-76694,CAP D'AGDE
,03/04/2023,09/04/2023,16/04/2023,802,337,MOBILHOME 4 personnes - 4 pax standard 2 chambres,4 Adultes,,Village-club Les Sables d'Or,LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,CAP D'AGDE
,03/04/2023,09/04/2023,16/04/2023,1114,468,MOBILHOME 6 personnes - 6 personnes Standard 3 chambres,6 Adultes,,Village-club Les Sables d'Or,LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,CAP D'AGDE
