web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,05/08/2023,12/08/2023,938,938,TENTE TOILE ET BOIS 5 personnes - NATURA,Camping des Albères,5 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,03/04/2023,05/08/2023,12/08/2023,938,938,TENTE 4 personnes - Maori,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,03/04/2023,05/08/2023,12/08/2023,1248,1248,MOBILHOME 4 personnes - DUO,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,03/04/2023,05/08/2023,12/08/2023,1918.03,1822.13,MOBILHOME 8 personnes - Féérique 4 Pièces 6/8 Personnes Climatisé + TV,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,03/04/2023,05/08/2023,12/08/2023,1848,1848,MOBILHOME 6 personnes - PREMIUM JACUZZI,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,03/04/2023,05/08/2023,12/08/2023,2835.03,2438.13,MOBILHOME 4 personnes - Duo Premium 3 Pièces 4 Personnes Jacuzzi + Climatisé + TV,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,03/04/2023,05/08/2023,12/08/2023,3318.89,2721.49,MOBILHOME 6 personnes - Trio Premium 4 Pièces 6 Personnes Jacuzzi + Climatisé + TV,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,03/04/2023,05/08/2023,12/08/2023,1638,1638,MOBILHOME 4 personnes - Classique (arrivée samedi),Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,,31,le-pearl-camping-paradis-76750,
,03/04/2023,05/08/2023,12/08/2023,2219,2219,MOBILHOME 7 personnes - Premium - 2013 (arrivée samedi),Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,,31,le-pearl-camping-paradis-76750,
,03/04/2023,06/08/2023,13/08/2023,1638,1638,MOBILHOME 4 personnes - Classique,Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,,31,le-pearl-camping-paradis-76750,
,03/04/2023,06/08/2023,13/08/2023,1745,1745,MOBILHOME 6 personnes - Classique,Le Pearl - Camping Paradis,6 Adultes, 66700 ARGELES,,,31,le-pearl-camping-paradis-76750,
,03/04/2023,06/08/2023,13/08/2023,2012,2012,MOBILHOME 7 personnes - Confort,Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,,31,le-pearl-camping-paradis-76750,
,03/04/2023,06/08/2023,13/08/2023,2626,2626,MOBILHOME 8 personnes - Confort,Le Pearl - Camping Paradis,8 Adultes, 66700 ARGELES,,,31,le-pearl-camping-paradis-76750,
