web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,09/04/2023,16/04/2023,281,246,MOBILHOME 4 personnes - Cocoon+ 4 personne 2 chambres 24m²,4 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,313,274,MOBILHOME 6 personnes - Evasion+ 6 personnes 2 chambres 30m²,6 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,273,273,MOBILHOME 4 personnes - CONFORT PREMIUM,4 Adultes,,Camping Le Bosc d'En Roug,SAINT CYPRIEN,,14,camping-le-bosc-den-roug-78217,SAINT-CYPRIEN
,03/04/2023,09/04/2023,16/04/2023,308,308,MOBILHOME 5 personnes - ESPACE PREMIUM,4 Adultes,,Camping Le Bosc d'En Roug,SAINT CYPRIEN,,14,camping-le-bosc-den-roug-78217,SAINT-CYPRIEN
,03/04/2023,09/04/2023,16/04/2023,315,315,MOBILHOME 6 personnes - ESPACE,6 Adultes,,Camping Le Bosc d'En Roug,SAINT CYPRIEN,,14,camping-le-bosc-den-roug-78217,SAINT-CYPRIEN
,03/04/2023,09/04/2023,16/04/2023,364,364,MOBILHOME 4 personnes - COTTAGE PREMIUM,4 Adultes,,Camping Le Bosc d'En Roug,SAINT CYPRIEN,,14,camping-le-bosc-den-roug-78217,SAINT-CYPRIEN
,03/04/2023,09/04/2023,16/04/2023,270,270,MOBILHOME 6 personnes - Classic 4/6 places,4 Adultes,,Camping La Palmeraie,TORREILLES,,14,camping-la-palmeraie-78633,PERPIGNAN LITTORAL AUTRES
,03/04/2023,09/04/2023,16/04/2023,277,277,MOBILHOME 6 personnes - Classic 4/6 places,4 Adultes,,Camping La Palmeraie,TORREILLES,,14,camping-la-palmeraie-78633,PERPIGNAN LITTORAL AUTRES
,03/04/2023,09/04/2023,16/04/2023,428,321,MOBILHOME 6 personnes - Malaga CLASSIC Climatié 4/6 p,6 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,434,326,MOBILHOME 4 personnes - Azur CONFORT Climatisé,4 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,441,331,MOBILHOME 4 personnes - Bergame CONFORT Climatisé,4 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,492,369,MOBILHOME 6 personnes - Venezia CONFORT Climatisé,6 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,456,342,MOBILHOME 6 personnes - Malaga CLASSIC Climatisé 4/6 p,6 Adultes,,Camping Club Les Tamaris,LE BARCARES,,14,camping-club-les-tamaris-77541,LE BARCARÈS
,03/04/2023,09/04/2023,16/04/2023,462,347,MOBILHOME 4 personnes - Dune CONFORT climatisé,4 Adultes,,Camping Club Les Tamaris,LE BARCARES,,14,camping-club-les-tamaris-77541,LE BARCARÈS
,03/04/2023,09/04/2023,16/04/2023,490,368,MOBILHOME 6 personnes - Faro CONFORT Climatisé 4/6 p,6 Adultes,,Camping Club Les Tamaris,LE BARCARES,,14,camping-club-les-tamaris-77541,LE BARCARÈS
,03/04/2023,09/04/2023,16/04/2023,501,376,MOBILHOME 6 personnes - Nirvana CLASSIC Climatisé,6 Adultes,,Camping Club Les Tamaris,LE BARCARES,,14,camping-club-les-tamaris-77541,LE BARCARÈS
,03/04/2023,09/04/2023,16/04/2023,524,393,MOBILHOME 6 personnes - Venezia CONFORT Climatisé,6 Adultes,,Camping Club Les Tamaris,LE BARCARES,,14,camping-club-les-tamaris-77541,LE BARCARÈS
,03/04/2023,09/04/2023,16/04/2023,545,409,MOBILHOME 6 personnes - Bahia CONFORT Climatisé,6 Adultes,,Camping Club Les Tamaris,LE BARCARES,,14,camping-club-les-tamaris-77541,LE BARCARÈS
,03/04/2023,09/04/2023,16/04/2023,378,192,MOBILHOME 4 personnes - Compact 3 Pièces 4 Personnes Climatisé + TV,4 Adultes,,Tours opérateurs sur camping Croix du Sud,Laurent,,14,tours-operateurs-sur-camping-croix-du-sud-77546,
,03/04/2023,09/04/2023,16/04/2023,384,203,MOBILHOME 4 personnes - Confort 3 Pièces 4 Personnes Climatisé + TV,4 Adultes,,Tours opérateurs sur camping Croix du Sud,Laurent,,14,tours-operateurs-sur-camping-croix-du-sud-77546,
,03/04/2023,09/04/2023,16/04/2023,252,252,MOBILHOME 6 personnes - Izard,4 Adultes,,Camping La Source,SOURNIA,,14,camping-la-source-78575,
,03/04/2023,09/04/2023,16/04/2023,262,262,MOBILHOME 5 personnes - Myrtil,4 Adultes,,Camping La Source,SOURNIA,,14,camping-la-source-78575,
,03/04/2023,09/04/2023,16/04/2023,282,282,MOBILHOME 6 personnes - Agaric,4 Adultes,,Camping La Source,SOURNIA,,14,camping-la-source-78575,
,03/04/2023,09/04/2023,16/04/2023,282,282,MOBILHOME 6 personnes - Liège,6 Adultes,,Camping La Source,SOURNIA,,14,camping-la-source-78575,
,03/04/2023,09/04/2023,16/04/2023,282,282,MOBILHOME 6 personnes - Apollon,4 Adultes,,Camping La Source,SOURNIA,,14,camping-la-source-78575,
,03/04/2023,09/04/2023,16/04/2023,490,343,CHALET 5 personnes - Genet Confort 5 Pers. 2ch.,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,573,401,MOBILHOME 6 personnes - Confort - 3 chambres,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,573,401,MOBILHOME 6 personnes - Confort - 3 chambres,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,573,401,MOBILHOME 6 personnes - Confort 6 Pers. 3ch,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,630,441,MOBILHOME 6 personnes - Charme Plus,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,630,441,MOBILHOME 6 personnes - Charme Plus,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,630,441,MOBILHOME 6 personnes - Charme Plus 6 pers 3 ch.,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,650,455,CHALET 6 personnes - Family Charme Plus,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,650,455,CHALET 6 personnes - Family Charme 3ch,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,762,534,MOBILHOME 6 personnes - Suite Charme Plus,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,762,534,MOBILHOME 6 personnes - Suite Charme Duo,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,762,534,MOBILHOME 6 personnes - Suite Charme Plus,4 Adultes,,Camping Le Bois Fleuri,ARGELES,,14,camping-le-bois-fleuri-76664,ARGELÈS-SUR-MER
