web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,09/04/2023,16/04/2023,281,246,MOBILHOME 4 personnes - Cocoon+ 4 personne 2 chambres 24m²,4 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,313,274,MOBILHOME 6 personnes - Evasion+ 6 personnes 2 chambres 30m²,6 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,169,169,MOBILHOME 4 personnes - Classique,4 Adultes,,Le Pearl - Camping Paradis,ARGELES,,14,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,199,199,MOBILHOME 6 personnes - Classique,6 Adultes,,Le Pearl - Camping Paradis,ARGELES,,14,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,319,319,MOBILHOME 8 personnes - Confort,8 Adultes,,Le Pearl - Camping Paradis,ARGELES,,14,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,405,324,MOBILHOME 6 personnes - Evasion 6 personnes 2 chambres 28m²,6 Adultes,,Camping Le Clos Virgile,SERIGNAN,,14,camping-le-clos-virgile-78527,BEZIERS
,03/04/2023,09/04/2023,16/04/2023,475,380,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 34m²,8 Adultes,,Camping Le Clos Virgile,SERIGNAN,,14,camping-le-clos-virgile-78527,BEZIERS
,03/04/2023,09/04/2023,16/04/2023,475,380,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 30m²,8 Adultes,,Camping Le Clos Virgile,SERIGNAN,,14,camping-le-clos-virgile-78527,BEZIERS
,03/04/2023,09/04/2023,16/04/2023,295,295,MOBILHOME 6 personnes - Standard - 2 Chambres 4/6 personnes,4 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,315,315,MOBILHOME 6 personnes - Standard -3 Chambres 6 pers.,6 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,420,420,MOBILHOME 6 personnes - MH2 BIEN-ETRE 33 m²,4 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,450,450,MOBILHOME 6 personnes - MH3 BIEN-ETRE 36 m²,6 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,480,480,MOBILHOME 8 personnes - MH4 BIEN-ETRE 38 m²,6 Adultes,,Camping Le Roucan West,VIAS,,14,camping-le-roucan-west-78741,
,03/04/2023,09/04/2023,16/04/2023,273,273,MOBILHOME 4 personnes - CONFORT PREMIUM,4 Adultes,,Camping Le Bosc d'En Roug,SAINT CYPRIEN,,14,camping-le-bosc-den-roug-78217,SAINT-CYPRIEN
,03/04/2023,09/04/2023,16/04/2023,308,308,MOBILHOME 5 personnes - ESPACE PREMIUM,4 Adultes,,Camping Le Bosc d'En Roug,SAINT CYPRIEN,,14,camping-le-bosc-den-roug-78217,SAINT-CYPRIEN
,03/04/2023,09/04/2023,16/04/2023,315,315,MOBILHOME 6 personnes - ESPACE,6 Adultes,,Camping Le Bosc d'En Roug,SAINT CYPRIEN,,14,camping-le-bosc-den-roug-78217,SAINT-CYPRIEN
,03/04/2023,09/04/2023,16/04/2023,364,364,MOBILHOME 4 personnes - COTTAGE PREMIUM,4 Adultes,,Camping Le Bosc d'En Roug,SAINT CYPRIEN,,14,camping-le-bosc-den-roug-78217,SAINT-CYPRIEN
,03/04/2023,09/04/2023,16/04/2023,270,270,MOBILHOME 6 personnes - Classic 4/6 places,4 Adultes,,Camping La Palmeraie,TORREILLES,,14,camping-la-palmeraie-78633,PERPIGNAN LITTORAL AUTRES
,03/04/2023,09/04/2023,16/04/2023,277,277,MOBILHOME 6 personnes - Classic 4/6 places,4 Adultes,,Camping La Palmeraie,TORREILLES,,14,camping-la-palmeraie-78633,PERPIGNAN LITTORAL AUTRES
,03/04/2023,09/04/2023,16/04/2023,385,330,MOBILHOME 6 personnes - CONFORT,6 Adultes,,Camping Domaine de Sainte Véziane,BESSAN,,14,camping-domaine-de-sainte-veziane-76891,
,03/04/2023,09/04/2023,16/04/2023,420,360,MOBILHOME 6 personnes - CONFORT+ PREMIUM 31 m²,6 Adultes,,Camping Domaine de Sainte Véziane,BESSAN,,14,camping-domaine-de-sainte-veziane-76891,
,03/04/2023,09/04/2023,16/04/2023,497,426,MOBILHOME 6 personnes - CONFORT+ PREMIUM 3 +CLIM,6 Adultes,,Camping Domaine de Sainte Véziane,BESSAN,,14,camping-domaine-de-sainte-veziane-76891,
,03/04/2023,09/04/2023,16/04/2023,502,421,MOBILHOME 4 personnes - MH CONFORT 2 CH 1 SDB,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,425,425,TENTE TOILE ET BOIS 6 personnes - LODGE Prestige CAMPING,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,529,445,MOBILHOME 4 personnes - MH CONFORT PLUS 2 CH 1 SDB,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,510,510,CHALET 6 personnes - Prestige camping,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,530,530,MOBILHOME 6 personnes - Confort,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,530,530,MOBILHOME 4 personnes - SUNELIA MH PRESTIGE 2 CH 1 SDB,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,629,535,MOBILHOME 6 personnes - MH PRESTIGE 2 CH 2 SDB 4/6,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,553,553,MOBILHOME 6 personnes - Confort Plus 3 CH,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,665,665,MOBILHOME 6 personnes - MH PRESTIGE 3 CH 2 SDB,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,723,723,MOBILHOME 4 personnes - TAOS Luxe 2CH,4 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,820,820,MOBILHOME 6 personnes - TAOS 3CH 6P,6 Adultes,,Camping Les Sablons,PORTIRAGNES PLAGE,,14,camping-les-sablons-78104,PORTIRAGNES
,03/04/2023,09/04/2023,16/04/2023,428,321,MOBILHOME 6 personnes - Malaga CLASSIC Climatié 4/6 p,6 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,434,326,MOBILHOME 4 personnes - Azur CONFORT Climatisé,4 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,441,331,MOBILHOME 4 personnes - Bergame CONFORT Climatisé,4 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
,03/04/2023,09/04/2023,16/04/2023,492,369,MOBILHOME 6 personnes - Venezia CONFORT Climatisé,6 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
