web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,15/04/2023,22/04/2023,441,189,MOBILHOME 6 personnes - CLASSIC avec climatisation,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,371,371,MOBILHOME 4 personnes - CLASSIC 2 chambres 4 personnes Clim,4 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,371,371,MOBILHOME 4 personnes - CLASSIC 2 chambres 4 personnes,4 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,406,406,MOBILHOME 4 personnes - CLASSIC 2 chambres 4 personnes Clim,4 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,406,406,MOBILHOME 4 personnes - CLASSIC 2 chambres 4 personnes,4 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,420,420,MOBILHOME 6 personnes - CLASSIC - 2 chambres 4/6personnes Clim,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,420,420,MOBILHOME 6 personnes - CLASSIC XL -  2 chambres - 4/6 personnes Clim,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,420,420,MOBILHOME 6 personnes - CLASSIC 3 chambres 6 personnes,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,420,420,MOBILHOME 6 personnes - CLASSIC XL - 2chambres -  4/6 personnes,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,427,427,MOBILHOME 6 personnes - CLASSIC 2 chambres 4/6 personnes,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,441,441,MOBILHOME 6 personnes - CLASSIC 3 chambres 6 personnes,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,497,497,MOBILHOME 6 personnes - CONFORT 2 chambres  4/6 personnes  2 Sdb. Clim,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,504,504,MOBILHOME 6 personnes - CLASSIC XL - 2 chambres 4/6 personnes Clim,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,504,504,MOBILHOME 6 personnes - CLASSIC XL -  2 chambres - 4/6 personnes,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,504,504,MOBILHOME 4 personnes - CLASSIC XL - 2 chambres  4 personnes,4 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,511,511,MOBILHOME 6 personnes - CONFORT 3 chambres 6 personnes Clim,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,511,511,MOBILHOME 6 personnes - CONFORT 3 chambres 6 personnes,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,588,588,MOBILHOME 6 personnes - CONFORT XL 2 chambres 4/6 personnes Clim,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,595,595,MOBILHOME 6 personnes - CONFORT XL - 2chambres -  4/6 personnes,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,609,609,MOBILHOME 6 personnes - CONFORT XL 3 chambres 6 pers. 2 Sdb Clim,6 Adultes,,Camping Marina Paradise,COGOLIN,,15,camping-marina-paradise-77158,
,03/04/2023,15/04/2023,22/04/2023,430,169,MOBILHOME 4 personnes - LOGGIA avec climatisation + TV,4 Adultes,,Camping Les Sources,COURTHEZON,,15,camping-les-sources-76626,
,03/04/2023,15/04/2023,22/04/2023,199,199,MOBILHOME 6 personnes - en arrivée le samedi,6 Adultes,,Camping le Domaine de Chanteraine,AIGUINES,,15,camping-le-domaine-de-chanteraine-76613,
,03/04/2023,15/04/2023,22/04/2023,639,499,BUNGALOW 6 personnes - SUPERIEUR - Climatisation + TV,4 Adultes,,Camping Parc Saint James Oasis Village,PUGET SUR ARGENS,,15,camping-parc-saint-james-oasis-village-76665,PUGET SUR ARGENS
,03/04/2023,15/04/2023,22/04/2023,639,447,BUNGALOW 6 personnes - 4/6 pers. Supérieur,4 Adultes,,Camping Parc Saint James Oasis Village,PUGET SUR ARGENS,,15,camping-parc-saint-james-oasis-village-76665,PUGET SUR ARGENS
,03/04/2023,15/04/2023,22/04/2023,689,482,VILLA 6 personnes - 4/6 pers.,4 Adultes,,Camping Parc Saint James Oasis Village,PUGET SUR ARGENS,,15,camping-parc-saint-james-oasis-village-76665,PUGET SUR ARGENS
,03/04/2023,15/04/2023,22/04/2023,779,545,BUNGALOW 8 personnes - A thème,6 Adultes,,Camping Parc Saint James Oasis Village,PUGET SUR ARGENS,,15,camping-parc-saint-james-oasis-village-76665,PUGET SUR ARGENS
,03/04/2023,15/04/2023,22/04/2023,779,549,BUNGALOW 8 personnes - LUXE 6/8 personnes 3 ch - CLIM / TV / WIFI gratuit,8 Adultes,,Camping Parc Saint James Oasis Village,PUGET SUR ARGENS,,15,camping-parc-saint-james-oasis-village-76665,PUGET SUR ARGENS
