web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,08/05/2023,14/05/2023,21/05/2023,169,169,"EMPLACEMENT 6 personnes - forfait pour 2 personnes, électricité comprise",Camping Domaine de l'Ubaye,, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,400,400,BUNGALOW TOILÉ 4 personnes - Coco Sweet (sans sanitaires),Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,422,422,MOBILHOME 4 personnes - Type S pour 2/4 personnes,Camping Domaine de l'Ubaye,2 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,422,422,CHALET 4 personnes - Type C pour 2/4 personnes,Camping Domaine de l'Ubaye,2 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,475,475,MOBILHOME 5 personnes - Type P,Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,510,510,CHALET 6 personnes - Type A pour - 4/6 personnes,Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,510,510,CHALET 6 personnes - Type B,Camping Domaine de l'Ubaye,6 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,510,510,CHALET 6 personnes - Type D pour 4/6 personnes,Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,510,510,MOBILHOME 6 personnes - Loggia Bay pour 4/6 personnes,Camping Domaine de l'Ubaye,4 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,675,675,MOBILHOME 6 personnes - Comfort 3,Camping Domaine de l'Ubaye,6 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,1005,1005,MOBILHOME 12 personnes - Le Coin des Copains - 2 mobil homes Loggia Bay (possibilité de louer un PA en supplément),Camping Domaine de l'Ubaye,8 Adultes, 04340 MEOLANS REVEL,,,19,camping-domaine-de-lubaye-77795,
,08/05/2023,14/05/2023,21/05/2023,290,290,BUNGALOW 4 personnes - (SANS SANITAIRES),Camping Le New Rabioux,4 Adultes, 05380 CHATEAUROUX LES ALPES,,,19,camping-le-new-rabioux-77113,
,08/05/2023,14/05/2023,21/05/2023,609,609,MOBILHOME 5 personnes - Titania,Camping de La Baie,4 Adultes, 83240 CAVALAIRE SUR MER,,,19,camping-de-la-baie-77069,
,08/05/2023,14/05/2023,21/05/2023,663,663,MOBILHOME 6 personnes - Watipi,Camping de La Baie,6 Adultes, 83240 CAVALAIRE SUR MER,,,19,camping-de-la-baie-77069,
,08/05/2023,14/05/2023,21/05/2023,350,350,MOBILHOME 4 personnes - RESIDENCE MOBILE,Camping Saint James Les Pins,4 Adultes, 5600 GUILLESTRE,,,19,camping-saint-james-les-pins-77353,
,08/05/2023,14/05/2023,21/05/2023,475,475,MOBILHOME 6 personnes - CONFORT MISTRAL CLIMATISE,Camping Crin Blanc,6 Adultes, 13200 ARLES,,,19,camping-crin-blanc-76780,
,08/05/2023,14/05/2023,21/05/2023,405,405,MOBILHOME 5 personnes - Lodge Premium,Camping Alpes Dauphine,5 Adultes, 05000 GAP,,,19,camping-alpes-dauphine-81517,
,08/05/2023,14/05/2023,21/05/2023,532,456,MOBILHOME 5 personnes - Loisir Confort Premium - 2chambres,Camping Hippocampe,4 Adultes, 04290 VOLONNE,,,19,camping-hippocampe-78785,
,08/05/2023,14/05/2023,21/05/2023,532,456,MOBILHOME 4 personnes - Cottage Confort PREMIUM,Camping Hippocampe,4 Adultes, 04290 VOLONNE,,,19,camping-hippocampe-78785,
,08/05/2023,14/05/2023,21/05/2023,602,516,MOBILHOME 6 personnes - Loisir Confort PREMIUM,Camping Hippocampe,6 Adultes, 04290 VOLONNE,,,19,camping-hippocampe-78785,
,08/05/2023,14/05/2023,21/05/2023,910,780,"MOBILHOME 7 personnes - Sunêlia Prestige 40m², 6-7pl - 3ch",Camping Hippocampe,7 Adultes, 04290 VOLONNE,,,19,camping-hippocampe-78785,
,08/05/2023,14/05/2023,21/05/2023,1239,1062,MOBILHOME 6 personnes - Sunêlia LUXE TAOS - 3 chambres,Camping Hippocampe,6 Adultes, 04290 VOLONNE,,,19,camping-hippocampe-78785,
,08/05/2023,14/05/2023,21/05/2023,448,448,MOBILHOME 6 personnes - Mimosas,Camping Les Playes,4 Adultes, 83140 Six,,,19,camping-les-playes-78552,
,08/05/2023,14/05/2023,21/05/2023,572.88,572.88,MOBILHOME 6 personnes - Classic XL 4/6 places,Camping Les Lacs du Verdon,4 Adultes, 83630 REGUSSE,,,19,camping-les-lacs-du-verdon-78154,
,08/05/2023,14/05/2023,21/05/2023,360,360,MOBILHOME 6 personnes - IRM Peuplier climatisé ( Arrivée le Samedi ),Camping Saint Lazare,4 Adultes, 83630 AUPS,,,19,camping-saint-lazare-76798,
,08/05/2023,14/05/2023,21/05/2023,394,340,"BUNGALOW TOILÉ 4 personnes - COCO SWEET (sans eau, sans sanitaires)",Camping Sélection Camping,4 Adultes, 83420 LA CROIX VALMER,,,19,camping-selection-camping-77442,
,08/05/2023,14/05/2023,21/05/2023,483,483,GÎTE 3 personnes - PRAMOUQUIER,Camping Sélection Camping,3 Adultes, 83420 LA CROIX VALMER,,,19,camping-selection-camping-77442,
,08/05/2023,14/05/2023,21/05/2023,614,529,MOBILHOME 6 personnes - CAP TAILLAT,Camping Sélection Camping,5 Adultes, 83420 LA CROIX VALMER,,,19,camping-selection-camping-77442,
,08/05/2023,14/05/2023,21/05/2023,644,555,MOBILHOME 6 personnes - CAP CAMARAT,Camping Sélection Camping,6 Adultes, 83420 LA CROIX VALMER,,,19,camping-selection-camping-77442,
,08/05/2023,14/05/2023,21/05/2023,603,603,GÎTE 5 personnes - RAYOL,Camping Sélection Camping,5 Adultes, 83420 LA CROIX VALMER,,,19,camping-selection-camping-77442,
,08/05/2023,14/05/2023,21/05/2023,696,696,GÎTE 4 personnes - LE PUITS avec jardin privé,Camping Sélection Camping,2 Adultes, 83420 LA CROIX VALMER,,,19,camping-selection-camping-77442,
,08/05/2023,14/05/2023,21/05/2023,698,698,MOBILHOME 6 personnes - CONFORT,Domaine Château Laval,6 Adultes,Route de Valensole ,,,19,domaine-chateau-laval-77322,
,08/05/2023,14/05/2023,21/05/2023,289,289,CHALET 3 personnes - ACCESS PMR,Camping Les Bonnets,3 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,299,299,MOBILHOME 4 personnes - Standard,Camping Les Bonnets,2 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,309,309,CHALET 4 personnes - HLL TRIANON,Camping Les Bonnets,2 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,329,329,CHALET 5 personnes - CLUB //MOREA,Camping Les Bonnets,2 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,329,329,MOBILHOME 4 personnes - FAMILLE - 2 chambres,Camping Les Bonnets,4 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,349,349,CHALET 6 personnes - HLL COTTAGE,Camping Les Bonnets,4 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,379,379,MOBILHOME 6 personnes - MONTANA,Camping Les Bonnets,4 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,390.40,390.40,MOBILHOME 4 personnes - Résidentiel,Camping Les Bonnets,4 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,409,409,MOBILHOME 4 personnes - Loggia,Camping Les Bonnets,2 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,469,469,MOBILHOME 6 personnes - SUPER CORDELIA,Camping Les Bonnets,4 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,599,599,CHALET 8 personnes - HLL GRAND TRIANON,Camping Les Bonnets,4 Adultes, 05000 NEFFES,,,19,camping-les-bonnets-77878,
,08/05/2023,14/05/2023,21/05/2023,340,340,MOBILHOME 4 personnes - JABRON,Les Pres Hauts - Camping Sites et Paysages,4 Adultes, 04200 SISTERON,,,19,les-pres-hauts-camping-sites-et-paysages-80987,
,08/05/2023,14/05/2023,21/05/2023,375,375,MOBILHOME 6 personnes - DURANCE,Les Pres Hauts - Camping Sites et Paysages,6 Adultes, 04200 SISTERON,,,19,les-pres-hauts-camping-sites-et-paysages-80987,
,08/05/2023,14/05/2023,21/05/2023,303,303,TENTE TOILE ET BOIS 5 personnes - Lodge Cannelle (sans sanitaires),Camping Le Beau Vezé,5 Adultes, 83320 CARQUEIRANNE,,,19,camping-le-beau-veze-77028,
,08/05/2023,14/05/2023,21/05/2023,415,415,TENTE TOILE ET BOIS 5 personnes - Eco-Lodge SAVANE,Camping Charlemagne,5 Adultes, 83310 GRIMAUD,,,19,camping-charlemagne-79950,
