web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,542,391,MOBILHOME 5 personnes - Cosy 2 chambres (I5P2),Camping Le Ried,4 Adultes, 67860 BOOFZHEIM,,,15,camping-le-ried-76938,
,10/04/2023,16/04/2023,23/04/2023,606,434,MOBILHOME 6 personnes - Cosy 3 chambres (I6P3),Camping Le Ried,6 Adultes, 67860 BOOFZHEIM,,,15,camping-le-ried-76938,
,10/04/2023,12/08/2023,19/08/2023,779,779,MOBILHOME 4 personnes - Confort 2 chambres 4,Camping Paradis Le Giessen,4 Adultes, 67220 BASSEMBERG,,,32,camping-paradis-le-giessen-84917,
,10/04/2023,12/08/2023,19/08/2023,1199,1199,MOBILHOME 6 personnes - Confort 3 chambres 6,Camping Paradis Le Giessen,6 Adultes, 67220 BASSEMBERG,,,32,camping-paradis-le-giessen-84917,
,10/04/2023,12/08/2023,19/08/2023,1199,1199,MOBILHOME 4 personnes - Eden 2 chambres 4,Camping Paradis Le Giessen,4 Adultes, 67220 BASSEMBERG,,,32,camping-paradis-le-giessen-84917,
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 4 personnes - 2 chambres (dimanche),Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,249,249,MOBILHOME 6 personnes - 3 chambres (dimanche),Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,207.90,207.90,MOBILHOME 6 personnes - Ibie TI,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219.45,219.45,MOBILHOME 4 personnes - PMR IRM,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219.45,219.45,MOBILHOME 6 personnes - IBIE o Hara 30m² TC 3 chambres,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219.45,219.45,MOBILHOME 4 personnes - COTTAGE DUO Climatisé,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,229.93,229.93,MOBILHOME 6 personnes - EVO29,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,254.10,254.10,MOBILHOME 6 personnes - MOBIL HOME  KV 3 Chambres TV CLIM PREMIUM +,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,13/08/2023,20/08/2023,779,779,MOBILHOME 4 personnes - Confort 2 chambres 4 - Arrivée Dimanche,Camping Paradis Le Giessen,4 Adultes, 67220 BASSEMBERG,,,32,camping-paradis-le-giessen-84917,
,10/04/2023,13/08/2023,20/08/2023,1199,1199,MOBILHOME 4 personnes - Eden 2 chambres 4 -Arrivée Dimanche,Camping Paradis Le Giessen,4 Adultes, 67220 BASSEMBERG,,,32,camping-paradis-le-giessen-84917,
,10/04/2023,12/08/2023,19/08/2023,1169,1113,MOBILHOME 5 personnes - Cosy 2 chambres (I5P2),Camping Le Ried,4 Adultes, 67860 BOOFZHEIM,,,32,camping-le-ried-76938,
,10/04/2023,12/08/2023,19/08/2023,1176,1120,MOBILHOME 4 personnes - Cosy 2 chambres (I4P2),Camping Le Ried,4 Adultes, 67860 BOOFZHEIM,,,32,camping-le-ried-76938,
