web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,12/08/2023,19/08/2023,530,530,BUNGALOW TOILÉ 4 personnes,Camping La Rouviere,2 Adultes, Route Des Gorges ,,,32,camping-la-rouviere-88557,
,10/04/2023,12/08/2023,19/08/2023,947,947,MOBILHOME 7 personnes - Grand Confort - 25 m2,Camping La Rouviere,5 Adultes, Route Des Gorges ,,,32,camping-la-rouviere-88557,
,10/04/2023,12/08/2023,19/08/2023,993,993,MOBILHOME 6 personnes - Grand Confort - 28 m2,Camping La Rouviere,4 Adultes, Route Des Gorges ,,,32,camping-la-rouviere-88557,
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 4 personnes - 2 chambres (dimanche),Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,249,249,MOBILHOME 6 personnes - 3 chambres (dimanche),Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,207.90,207.90,MOBILHOME 6 personnes - Ibie TI,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219.45,219.45,MOBILHOME 4 personnes - PMR IRM,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219.45,219.45,MOBILHOME 6 personnes - IBIE o Hara 30m² TC 3 chambres,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219.45,219.45,MOBILHOME 4 personnes - COTTAGE DUO Climatisé,Camping Le Sous Bois,4 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,229.93,229.93,MOBILHOME 6 personnes - EVO29,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,254.10,254.10,MOBILHOME 6 personnes - MOBIL HOME  KV 3 Chambres TV CLIM PREMIUM +,Camping Le Sous Bois,6 Adultes, 07170 SAINT MAURICE D'IBIE,,,15,camping-le-sous-bois-78350,
,10/04/2023,12/08/2023,19/08/2023,630,630,BUNGALOW TOILÉ 4 personnes,Camping Ludo,4 Adultes, 07170 LUSSAS,,,32,camping-ludo-77646,
,10/04/2023,12/08/2023,19/08/2023,966,966,MOBILHOME 4 personnes - CONFORT + STANDARD,Camping Ludo,4 Adultes, 07170 LUSSAS,,,32,camping-ludo-77646,
,10/04/2023,12/08/2023,19/08/2023,1078,1078,MOBILHOME 4 personnes - CONFORT +,Camping Ludo,4 Adultes, 07170 LUSSAS,,,32,camping-ludo-77646,
,10/04/2023,12/08/2023,19/08/2023,1106,1106,BUNGALOW TOILÉ 5 personnes - Lodge Premium 5 personnes,Camping Ludo,5 Adultes, 07170 LUSSAS,,,32,camping-ludo-77646,
,10/04/2023,12/08/2023,19/08/2023,1113,1113,MOBILHOME 6 personnes - CONFORT +,Camping Ludo,6 Adultes, 07170 LUSSAS,,,32,camping-ludo-77646,
