web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 4 personnes - 2 chambres (dimanche),4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,249,249,MOBILHOME 6 personnes - 3 chambres (dimanche),4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,207,207,MOBILHOME 6 personnes - Ibie TI,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 4 personnes - PMR IRM,4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 6 personnes - IBIE o Hara 30m² TC 3 chambres,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,219,219,MOBILHOME 4 personnes - COTTAGE DUO Climatisé,4 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,229,229,MOBILHOME 6 personnes - EVO29,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,254,254,MOBILHOME 6 personnes - MOBIL HOME  KV 3 Chambres TV CLIM PREMIUM +,6 Adultes,,Camping Le Sous Bois,SAINT MAURICE D'IBIE,,15,camping-le-sous-bois-78350,
,10/04/2023,16/04/2023,23/04/2023,300,300,MOBILHOME 6 personnes - Lodge 30m² - 2 chambres,6 Adultes,,Camping La Nouzarede,JOYEUSE,,15,camping-la-nouzarede-81373,
,10/04/2023,16/04/2023,23/04/2023,335,335,MOBILHOME 8 personnes - Lodge 32m² - 3 chambres,8 Adultes,,Camping La Nouzarede,JOYEUSE,,15,camping-la-nouzarede-81373,
,10/04/2023,16/04/2023,23/04/2023,472,401,MOBILHOME 4 personnes - Pêcher,4 Adultes,,Camping RCN La Bastide en Ardèche,RUOMS,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,506,430,MOBILHOME 4 personnes - Marronier accès PMR,4 Adultes,,Camping RCN La Bastide en Ardèche,RUOMS,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,507,430,MOBILHOME 4 personnes - Cerisier,4 Adultes,,Camping RCN La Bastide en Ardèche,RUOMS,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,528,448,MOBILHOME 6 personnes - Acacia,6 Adultes,,Camping RCN La Bastide en Ardèche,RUOMS,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,535,454,MOBILHOME 4 personnes - Pommier,4 Adultes,,Camping RCN La Bastide en Ardèche,RUOMS,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,562,477,MOBILHOME 4 personnes - Pommier vue rivière,4 Adultes,,Camping RCN La Bastide en Ardèche,RUOMS,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,583,495,MOBILHOME 4 personnes - Magnolia,4 Adultes,,Camping RCN La Bastide en Ardèche,RUOMS,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,617,524,MOBILHOME 6 personnes - Olivier,6 Adultes,,Camping RCN La Bastide en Ardèche,RUOMS,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,673,572,MOBILHOME 6 personnes - Passiflore,6 Adultes,,Camping RCN La Bastide en Ardèche,RUOMS,,15,camping-rcn-la-bastide-en-ardeche-78463,
,10/04/2023,16/04/2023,23/04/2023,322,322,MOBILHOME 4 personnes - MH2,4 Adultes,,Camping les Acacias,TOURNON SUR RHONE,,15,camping-les-acacias-88158,
,10/04/2023,16/04/2023,23/04/2023,364,364,CHALET 4 personnes - LOGGIA,4 Adultes,,Camping les Acacias,TOURNON SUR RHONE,,15,camping-les-acacias-88158,
