web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,389,389,HÉBERGEMENT INSOLITE 4 personnes - Roulotte,Camping Le Ranch des Volcans,4 Adultes, 63140 CHATEL GUYON,,,15,camping-le-ranch-des-volcans-77114,
,10/04/2023,16/04/2023,23/04/2023,360,360,MOBILHOME 4 personnes - FLORES,Le Vaubarlet - Camping Sites et Paysages,4 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,385,385,TENTE 5 personnes - CANADIENNE sans sanitaires,Le Vaubarlet - Camping Sites et Paysages,4 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,385,385,MOBILHOME 4 personnes - VIVARIO PMR,Le Vaubarlet - Camping Sites et Paysages,4 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,420,420,CHALET 5 personnes - COUNTRY LODGE,Le Vaubarlet - Camping Sites et Paysages,5 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,450,450,MOBILHOME 6 personnes - CONFORT DUO,Le Vaubarlet - Camping Sites et Paysages,6 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,480,480,MOBILHOME 6 personnes - TAMARIS,Le Vaubarlet - Camping Sites et Paysages,6 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,510,510,MOBILHOME 6 personnes - CONFORT FAMILLE,Le Vaubarlet - Camping Sites et Paysages,6 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,510,510,TENTE TOILE ET BOIS 5 personnes - SAFARI LODGE,Le Vaubarlet - Camping Sites et Paysages,5 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,540,540,"MOBILHOME 7 personnes - COTTAGE LA TRIBU Modèle 2023, 7 places 3 chambres, 1 sdb, 1 wc, lave-vaisselle",Le Vaubarlet - Camping Sites et Paysages,7 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,570,570,MOBILHOME 6 personnes - COTTAGE SUITE PRIILEGE,Le Vaubarlet - Camping Sites et Paysages,6 Adultes, 43600 SAINTE SIGOLENE,,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,12/08/2023,19/08/2023,998,998,MOBILHOME 4 personnes,Camping Paradis - Village De Vacances La Gineste,2 Adultes, 15150 ARNAC,,,32,camping-paradis-village-de-vacances-la-gineste-82156,
,10/04/2023,12/08/2023,19/08/2023,1019,1019,CHALET 4 personnes - Cantal,Camping Paradis - Village De Vacances La Gineste,2 Adultes, 15150 ARNAC,,,32,camping-paradis-village-de-vacances-la-gineste-82156,
,10/04/2023,12/08/2023,19/08/2023,1045,1045,CHALET 4 personnes - Cantal (vue sur le lac),Camping Paradis - Village De Vacances La Gineste,2 Adultes, 15150 ARNAC,,,32,camping-paradis-village-de-vacances-la-gineste-82156,
