web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,389,389,HÉBERGEMENT INSOLITE 4 personnes - Roulotte,4 Adultes,,Camping Le Ranch des Volcans,CHATEL GUYON,,15,camping-le-ranch-des-volcans-77114,
,10/04/2023,16/04/2023,23/04/2023,360,360,MOBILHOME 4 personnes - FLORES,4 Adultes,,Le Vaubarlet - Camping Sites et Paysages,SAINTE SIGOLENE,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,385,385,TENTE 5 personnes - CANADIENNE sans sanitaires,4 Adultes,,Le Vaubarlet - Camping Sites et Paysages,SAINTE SIGOLENE,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,385,385,MOBILHOME 4 personnes - VIVARIO PMR,4 Adultes,,Le Vaubarlet - Camping Sites et Paysages,SAINTE SIGOLENE,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,450,450,MOBILHOME 6 personnes - CONFORT DUO,6 Adultes,,Le Vaubarlet - Camping Sites et Paysages,SAINTE SIGOLENE,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,480,480,MOBILHOME 6 personnes - TAMARIS,6 Adultes,,Le Vaubarlet - Camping Sites et Paysages,SAINTE SIGOLENE,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,510,510,MOBILHOME 6 personnes - CONFORT FAMILLE,6 Adultes,,Le Vaubarlet - Camping Sites et Paysages,SAINTE SIGOLENE,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,570,570,MOBILHOME 6 personnes - COTTAGE SUITE PRIILEGE,6 Adultes,,Le Vaubarlet - Camping Sites et Paysages,SAINTE SIGOLENE,,15,le-vaubarlet-camping-sites-et-paysages-82270,
,10/04/2023,16/04/2023,23/04/2023,460,460,MOBILHOME 6 personnes - EVASION,4 Adultes,,Camping Le Lignon,LE CHAMBON SUR LIGNON,,15,camping-le-lignon-77520,
,10/04/2023,16/04/2023,23/04/2023,560,560,MOBILHOME 4 personnes - EGLANTINE PMR,4 Adultes,,Camping Le Lignon,LE CHAMBON SUR LIGNON,,15,camping-le-lignon-77520,
,10/04/2023,16/04/2023,23/04/2023,620,620,MOBILHOME 8 personnes - PETUNIA et GERANIUM,6 Adultes,,Camping Le Lignon,LE CHAMBON SUR LIGNON,,15,camping-le-lignon-77520,
,10/04/2023,16/04/2023,23/04/2023,600,600,BUNGALOW 6 personnes - LODGE PREMIUM,4 Adultes,,Camping Les Vernières,LA BOURBOULE,,15,camping-les-vernieres-78890,
,10/04/2023,16/04/2023,23/04/2023,255,255,MOBILHOME 6 personnes - Mercure,4 Adultes,,Camping les Rives du Lac,dit Espinet,,15,camping-les-rives-du-lac-86271,
,10/04/2023,16/04/2023,23/04/2023,255,255,MOBILHOME 6 personnes - Riviera,4 Adultes,,Camping les Rives du Lac,dit Espinet,,15,camping-les-rives-du-lac-86271,
,10/04/2023,16/04/2023,23/04/2023,581,581,MOBILHOME 6 personnes - 36M²,6 Adultes,,Camping la Marmotte,LA BOURBOULE,,15,camping-la-marmotte-86254,
,10/04/2023,16/04/2023,23/04/2023,594,594,MOBILHOME 4 personnes - FAMILY,4 Adultes,,Domaine du Lac de Chambon,MUROL,,15,domaine-du-lac-de-chambon-77859,MUROL
,10/04/2023,16/04/2023,23/04/2023,636,636,MOBILHOME 6 personnes,6 Adultes,,Domaine du Lac de Chambon,MUROL,,15,domaine-du-lac-de-chambon-77859,MUROL
,10/04/2023,16/04/2023,23/04/2023,744,744,MOBILHOME 4 personnes - PREMIUM PMR,4 Adultes,,Domaine du Lac de Chambon,MUROL,,15,domaine-du-lac-de-chambon-77859,MUROL
