web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,308,308,MOBILHOME 2 personnes,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,385,385,TENTE TOILE ET BOIS 5 personnes - LODGE AMAZONE,Camping de l'Arquebuse,5 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,385,385,MOBILHOME 4 personnes - Sans sanitaire,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,423.50,423.50,MOBILHOME 2 personnes - AVEC SANITAIRES,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,433.30,433.30,BUNGALOW TOILÉ 4 personnes - COCO SWEET - SANS SANITAIRES,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,462,462,MOBILHOME 4 personnes - AVEC SANITAIRES,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,500.50,500.50,MOBILHOME 4 personnes - SANS SANITAIRES,Camping de l'Arquebuse,3 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,539,539,MOBILHOME 4 personnes - RIDOREV,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,546.70,546.70,MOBILHOME 6 personnes - SUPER MERCURE,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,716.10,716.10,MOBILHOME 8 personnes - TITANIA,Camping de l'Arquebuse,6 Adultes, 21130 ATHEE,,,15,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,385,385,MOBILHOME 2 personnes,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,423.50,423.50,MOBILHOME 4 personnes - Sans sanitaire,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,462,462,MOBILHOME 2 personnes - AVEC SANITAIRES,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,462,462,TENTE TOILE ET BOIS 5 personnes - LODGE AMAZONE,Camping de l'Arquebuse,5 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,510.30,510.30,BUNGALOW TOILÉ 4 personnes - COCO SWEET - SANS SANITAIRES,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,539,539,MOBILHOME 4 personnes - AVEC SANITAIRES,Camping de l'Arquebuse,2 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,577.50,577.50,MOBILHOME 4 personnes - SANS SANITAIRES,Camping de l'Arquebuse,3 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,654.50,654.50,MOBILHOME 4 personnes - RIDOREV,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,762.30,762.30,MOBILHOME 6 personnes - SUPER MERCURE,Camping de l'Arquebuse,4 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,12/08/2023,19/08/2023,885.50,885.50,MOBILHOME 8 personnes - TITANIA,Camping de l'Arquebuse,6 Adultes, 21130 ATHEE,,,32,camping-de-l-arquebuse-79078,
,10/04/2023,16/04/2023,23/04/2023,181,153.85,CHALET 4 personnes - Sans sanitaires,Camping Les Bains,4 Adultes, 58360 SAINT HONORE LES BAINS,,,15,camping-les-bains-78304,
,10/04/2023,16/04/2023,23/04/2023,274,232.90,GÎTE 5 personnes,Camping Les Bains,4 Adultes, 58360 SAINT HONORE LES BAINS,,,15,camping-les-bains-78304,
,10/04/2023,16/04/2023,23/04/2023,280,238,MOBILHOME 4 personnes - SUPER VENUS,Camping Les Bains,4 Adultes, 58360 SAINT HONORE LES BAINS,,,15,camping-les-bains-78304,
,10/04/2023,12/08/2023,19/08/2023,246,246,CHALET 4 personnes - Sans sanitaires,Camping Les Bains,4 Adultes, 58360 SAINT HONORE LES BAINS,,,32,camping-les-bains-78304,
,10/04/2023,12/08/2023,19/08/2023,418,418,APPARTEMENT 3 personnes - N°1,Camping Les Bains,3 Adultes, 58360 SAINT HONORE LES BAINS,,,32,camping-les-bains-78304,
,10/04/2023,12/08/2023,19/08/2023,472,472,APPARTEMENT 4 personnes - N°2 (chambres traversantes),Camping Les Bains,4 Adultes, 58360 SAINT HONORE LES BAINS,,,32,camping-les-bains-78304,
,10/04/2023,12/08/2023,19/08/2023,472,472,APPARTEMENT 4 personnes - N°3,Camping Les Bains,4 Adultes, 58360 SAINT HONORE LES BAINS,,,32,camping-les-bains-78304,
,10/04/2023,12/08/2023,19/08/2023,610,610,MOBILHOME 4 personnes - SUPER VENUS,Camping Les Bains,4 Adultes, 58360 SAINT HONORE LES BAINS,,,32,camping-les-bains-78304,
