web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,250,200,BUNGALOW TOILÉ 4 personnes - 2 chambres - sans sanitaires,Camping Campo di Liccia,4 Adultes, 20169 BONIFACIO,,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,370,314.50,MOBILHOME 6 personnes - 2 chambres et convertible salon + climatisation,Camping Campo di Liccia,4 Adultes, 20169 BONIFACIO,,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,380,323,MOBILHOME 4 personnes - MAQUIS 2 chambres + climatisation,Camping Campo di Liccia,4 Adultes, 20169 BONIFACIO,,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,400,340,MOBILHOME 6 personnes - 3 chambres + climatisation,Camping Campo di Liccia,6 Adultes, 20169 BONIFACIO,,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,410,348.50,CHALET 6 personnes - 3 chambres + climatisation,Camping Campo di Liccia,6 Adultes, 20169 BONIFACIO,,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,420,357,MOBILHOME 6 personnes - MAQUIS 3 chambres + climatisation,Camping Campo di Liccia,6 Adultes, 20169 BONIFACIO,,,15,camping-campo-di-liccia-76923,
,10/04/2023,12/08/2023,19/08/2023,1811.85,1666.90,MOBILHOME 6 personnes - 3 Pièces 4/6 Personnes Climatisé,Camping Campo di Liccia,6 Adultes, 20169 BONIFACIO,,,32,camping-campo-di-liccia-76923,
,10/04/2023,12/08/2023,19/08/2023,1789,1789,MOBILHOME 6 personnes - 2 chambres,Camping Campo di Liccia,4 Adultes, 20169 BONIFACIO,,,32,camping-campo-di-liccia-76923,
,10/04/2023,12/08/2023,19/08/2023,1889,1889,MOBILHOME 6 personnes - 3 chambres,Camping Campo di Liccia,6 Adultes, 20169 BONIFACIO,,,32,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,550,495,BUNGALOW 6 personnes - Family Confort,Camping Ras L'Bol,6 Adultes, Voir sur la carte,,,15,camping-ras-l-bol-79215,
,10/04/2023,12/08/2023,19/08/2023,1599,1599,MOBILHOME 5 personnes - Panama,Camping Lacasa,4 Adultes,"dit, D81, Pianottolo ",,,32,camping-lacasa-76972,
,10/04/2023,12/08/2023,19/08/2023,1679,1679,MOBILHOME 6 personnes - 2 chambres Bahia Duo avec climatisation,Camping Lacasa,4 Adultes,"dit, D81, Pianottolo ",,,32,camping-lacasa-76972,
,10/04/2023,12/08/2023,19/08/2023,1599,1599,MOBILHOME 6 personnes - 2 chambres 4/6 places,Camping Lacasa,4 Adultes,"dit, D81, Pianottolo ",,,32,camping-lacasa-76972,
,10/04/2023,16/04/2023,23/04/2023,300,264,MOBILHOME 4 personnes,Camping U pezzo,4 Adultes, 20217 SAINT FLORENT,,,15,camping-u-pezzo-78255,
,10/04/2023,16/04/2023,23/04/2023,489.20,333.20,MOBILHOME 6 personnes - 6 Places,Camping U pezzo,6 Adultes, 20217 SAINT FLORENT,,,15,camping-u-pezzo-78255,
,10/04/2023,12/08/2023,19/08/2023,1400,1260,MOBILHOME 6 personnes - Classic 4/6 places,Camping Kallisté,4 Adultes, 20217 SAINT FLORENT,,,32,camping-kalliste-79093,
,10/04/2023,12/08/2023,19/08/2023,1519,1367.10,MOBILHOME 6 personnes - Comfort XL 4/6 places,Camping Kallisté,4 Adultes, 20217 SAINT FLORENT,,,32,camping-kalliste-79093,
,10/04/2023,12/08/2023,19/08/2023,1149,1149,MOBILHOME 6 personnes - 2 chambres 4/6 places,Camping U pezzo,6 Adultes, 20217 SAINT FLORENT,,,32,camping-u-pezzo-78255,
,10/04/2023,12/08/2023,19/08/2023,1199,1199,MOBILHOME 8 personnes - 3 chambres 6/8 places,Camping U pezzo,8 Adultes, 20217 SAINT FLORENT,,,32,camping-u-pezzo-78255,
,10/04/2023,16/04/2023,23/04/2023,490,490,BUNGALOW 5 personnes - MOREA (arrivée samedi),Camping Benista,5 Adultes,Jeanne Bozzi ,,,15,camping-benista-78065,
,10/04/2023,16/04/2023,23/04/2023,490,490,BUNGALOW 5 personnes - CLUB,Camping Benista,5 Adultes,Jeanne Bozzi ,,,15,camping-benista-78065,
,10/04/2023,16/04/2023,23/04/2023,490,490,APPARTEMENT 6 personnes,Camping Benista,6 Adultes,Jeanne Bozzi ,,,15,camping-benista-78065,
,10/04/2023,16/04/2023,23/04/2023,490,490,BUNGALOW 5 personnes - MOREA (arrivée mercredi),Camping Benista,5 Adultes,Jeanne Bozzi ,,,15,camping-benista-78065,
,10/04/2023,16/04/2023,23/04/2023,510,510,CHALET 4 personnes,Camping Benista,4 Adultes,Jeanne Bozzi ,,,15,camping-benista-78065,
,10/04/2023,16/04/2023,23/04/2023,590,590,BUNGALOW 6 personnes - Samoa,Camping Benista,6 Adultes,Jeanne Bozzi ,,,15,camping-benista-78065,
,10/04/2023,16/04/2023,23/04/2023,315,315,STUDIO 2 personnes - TYPE 1,Camping Les Castors,2 Adultes,"20260 CALVI, FRANCE ",,,15,camping-les-castors-79460,
,10/04/2023,16/04/2023,23/04/2023,385,385,APPARTEMENT 4 personnes - TYPE 3,Camping Les Castors,4 Adultes,"20260 CALVI, FRANCE ",,,15,camping-les-castors-79460,
