web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,250,200,BUNGALOW TOILÉ 4 personnes - 2 chambres - sans sanitaires,4 Adultes,,Camping Campo di Liccia,BONIFACIO,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,370,314,MOBILHOME 6 personnes - 2 chambres et convertible salon + climatisation,4 Adultes,,Camping Campo di Liccia,BONIFACIO,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,380,323,MOBILHOME 4 personnes - MAQUIS 2 chambres + climatisation,4 Adultes,,Camping Campo di Liccia,BONIFACIO,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,400,340,MOBILHOME 6 personnes - 3 chambres + climatisation,6 Adultes,,Camping Campo di Liccia,BONIFACIO,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,410,348,CHALET 6 personnes - 3 chambres + climatisation,6 Adultes,,Camping Campo di Liccia,BONIFACIO,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,420,357,MOBILHOME 6 personnes - MAQUIS 3 chambres + climatisation,6 Adultes,,Camping Campo di Liccia,BONIFACIO,,15,camping-campo-di-liccia-76923,
,10/04/2023,16/04/2023,23/04/2023,550,495,BUNGALOW 6 personnes - Family Confort,6 Adultes,,Camping Ras L'Bol,Voir sur la carte,,15,camping-ras-l-bol-79215,Villard-de-Lans
,10/04/2023,16/04/2023,23/04/2023,300,264,MOBILHOME 4 personnes,4 Adultes,,Camping U pezzo,SAINT FLORENT,,15,camping-u-pezzo-78255,
,10/04/2023,16/04/2023,23/04/2023,489,333,MOBILHOME 6 personnes - 6 Places,6 Adultes,,Camping U pezzo,SAINT FLORENT,,15,camping-u-pezzo-78255,
,10/04/2023,16/04/2023,23/04/2023,490,490,APPARTEMENT 6 personnes,6 Adultes,,Camping Benista,Jeanne Bozzi,,15,camping-benista-78065,
,10/04/2023,16/04/2023,23/04/2023,510,510,CHALET 4 personnes,4 Adultes,,Camping Benista,Jeanne Bozzi,,15,camping-benista-78065,
,10/04/2023,16/04/2023,23/04/2023,590,590,BUNGALOW 6 personnes - Samoa,6 Adultes,,Camping Benista,Jeanne Bozzi,,15,camping-benista-78065,
,10/04/2023,16/04/2023,23/04/2023,385,385,APPARTEMENT 4 personnes - TYPE 3,4 Adultes,,Camping Les Castors,CALVI,,15,camping-les-castors-79460,CALVI
,10/04/2023,16/04/2023,23/04/2023,448,448,MOBILHOME 4 personnes - REVELATTA,4 Adultes,,Camping Les Castors,CALVI,,15,camping-les-castors-79460,CALVI
,10/04/2023,16/04/2023,23/04/2023,469,469,MOBILHOME 4 personnes - PALOMBAGGIA,4 Adultes,,Camping Les Castors,CALVI,,15,camping-les-castors-79460,CALVI
,10/04/2023,16/04/2023,23/04/2023,469,469,MOBILHOME 4 personnes - ROCCAPINA,4 Adultes,,Camping Les Castors,CALVI,,15,camping-les-castors-79460,CALVI
,10/04/2023,16/04/2023,23/04/2023,490,490,MOBILHOME 4 personnes - SANTA GIULIA,4 Adultes,,Camping Les Castors,CALVI,,15,camping-les-castors-79460,CALVI
,10/04/2023,16/04/2023,23/04/2023,485,203,MOBILHOME 4 personnes - 3 Pièces 4 Personnes Climatisé,4 Adultes,,Camping maeva Escapades Le Colomba,OLMETO,,15,camping-maeva-escapades-le-colomba-77901,
,10/04/2023,16/04/2023,23/04/2023,703,598,CHALET 4 personnes - Vue Mer 3 Pièces 4 Personnes Climatisé + TV,4 Adultes,,Camping maeva Escapades Le Colomba,OLMETO,,15,camping-maeva-escapades-le-colomba-77901,
,10/04/2023,16/04/2023,23/04/2023,420,306,MAISON 4 personnes - 1 chambre Climatisé (M2C4),4 Adultes,,Camping Domaine d'Anghione,CASTELLARE DI CASINCA,,15,camping-domaine-danghione-76680,
,10/04/2023,16/04/2023,23/04/2023,447,320,MAISON 6 personnes - 1 chambre cabine Climatisée (M26C),4 Adultes,,Camping Domaine d'Anghione,CASTELLARE DI CASINCA,,15,camping-domaine-danghione-76680,
,10/04/2023,16/04/2023,23/04/2023,510,368,MOBILHOME 6 personnes - Classic 3 chambres Climatisé (H63C),6 Adultes,,Camping Domaine d'Anghione,CASTELLARE DI CASINCA,,15,camping-domaine-danghione-76680,
,10/04/2023,16/04/2023,23/04/2023,545,390,MOBILHOME 6 personnes - Cosy 3 chambres Climatisé (I63C),6 Adultes,,Camping Domaine d'Anghione,CASTELLARE DI CASINCA,,15,camping-domaine-danghione-76680,
,10/04/2023,16/04/2023,23/04/2023,308,231,MOBILHOME 6 personnes - Comfort XL 4/6 places,4 Adultes,,Camping Sole di Sari,SOLENZARA,,15,camping-sole-di-sari-79182,SARI SOLENZARA
,10/04/2023,16/04/2023,23/04/2023,469,469,MOBILHOME 6 personnes -  Big Bahia - 2 chambres + climatisation + TV,6 Adultes,,Camping Le Damier,PIANOTTOLI CALDARELLO,,15,camping-le-damier-77984,
,10/04/2023,16/04/2023,23/04/2023,490,490,MOBILHOME 6 personnes - DECLIK,6 Adultes,,Camping Le Damier,PIANOTTOLI CALDARELLO,,15,camping-le-damier-77984,
