web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,369,369,MOBILHOME 6 personnes - Riviera (2 adultes + 4 enfants - 13 ans),Camping Paradis Parc Bellevue,2 Adultes, 06150 CANNES LA BOCCA,,,15,camping-paradis-parc-bellevue-78856,
,10/04/2023,16/04/2023,23/04/2023,495,495,MOBILHOME 6 personnes - MEDITERRANEE pour 4/6 personnes (2 chambres),Camping Le Mas Fleuri,4 Adultes, 06380 SOSPEL,,,15,camping-le-mas-fleuri-80639,
,10/04/2023,16/04/2023,23/04/2023,555,555,MOBILHOME 6 personnes - RIVIERA pour 4/6 personnes (2 chambres),Camping Le Mas Fleuri,4 Adultes, 06380 SOSPEL,,,15,camping-le-mas-fleuri-80639,
,10/04/2023,16/04/2023,23/04/2023,532,532,BUNGALOW 5 personnes - ESSENTIEL 2P5ET,,5 Adultes, 06480 LA COLLE SUR LOUP,,,15,club-belambra-les-terrasses-de-st-paul-de-vence-94192,
,10/04/2023,16/04/2023,23/04/2023,588,588,APPARTEMENT 5 personnes - CLASSIQUE 2P5QT,,5 Adultes, 06480 LA COLLE SUR LOUP,,,15,club-belambra-les-terrasses-de-st-paul-de-vence-94192,
,10/04/2023,13/08/2023,20/08/2023,1339,1339,MOBILHOME 6 personnes - Evasion (2 adultes + 4 enfants de - 13 ans),Camping Paradis Parc Bellevue,2 Adultes, 06150 CANNES LA BOCCA,,,32,camping-paradis-parc-bellevue-78856,
,10/04/2023,13/08/2023,20/08/2023,1379,1379,MOBILHOME 5 personnes - Phoenix (2 adultes + 3 enfants de - 13 ans),Camping Paradis Parc Bellevue,2 Adultes, 06150 CANNES LA BOCCA,,,32,camping-paradis-parc-bellevue-78856,
,10/04/2023,13/08/2023,20/08/2023,1939,1939,MOBILHOME 6 personnes - Riviera (2 adultes + 4 enfants - 13 ans),Camping Paradis Parc Bellevue,2 Adultes, 06150 CANNES LA BOCCA,,,32,camping-paradis-parc-bellevue-78856,
,10/04/2023,12/08/2023,19/08/2023,1209,1209,MOBILHOME 4 personnes - Venus (2 adultes + 2 enfants - 13 ans),Camping Paradis Parc Bellevue,2 Adultes, 06150 CANNES LA BOCCA,,,32,camping-paradis-parc-bellevue-78856,
,10/04/2023,12/08/2023,19/08/2023,2044,2044,BUNGALOW 5 personnes - ESSENTIEL 2P5ET,,5 Adultes, 06480 LA COLLE SUR LOUP,,,32,club-belambra-les-terrasses-de-st-paul-de-vence-94192,
,10/04/2023,12/08/2023,19/08/2023,2268,2268,APPARTEMENT 5 personnes - CLASSIQUE 2P5QT,,5 Adultes, 06480 LA COLLE SUR LOUP,,,32,club-belambra-les-terrasses-de-st-paul-de-vence-94192,
,10/04/2023,16/04/2023,23/04/2023,210,210,HÉBERGEMENT INSOLITE 2 personnes - Camp'étoile avec électricité,Camping les Templiers,2 Adultes, 06450 ROQUEBILLIERE,,,15,camping-les-templiers-78178,
,10/04/2023,16/04/2023,23/04/2023,424,424,MOBILHOME 4 personnes - Confort avec TV (D),Camping les Templiers,4 Adultes, 06450 ROQUEBILLIERE,,,15,camping-les-templiers-78178,
,10/04/2023,16/04/2023,23/04/2023,424,424,MOBILHOME 4 personnes - Confort avec TV (S),Camping les Templiers,4 Adultes, 06450 ROQUEBILLIERE,,,15,camping-les-templiers-78178,
,10/04/2023,16/04/2023,23/04/2023,466,466,MOBILHOME 4 personnes - Confort Plus avec clim & TV (D),Camping les Templiers,4 Adultes, 06450 ROQUEBILLIERE,,,15,camping-les-templiers-78178,
,10/04/2023,16/04/2023,23/04/2023,466,466,MOBILHOME 4 personnes - Confort Plus avec clim & TV (S),Camping les Templiers,4 Adultes, 06450 ROQUEBILLIERE,,,15,camping-les-templiers-78178,
,10/04/2023,12/08/2023,19/08/2023,779,779,MOBILHOME 3 personnes - NEMO avec climatisation + TV,Camping Les Sources,2 Adultes, 84350 COURTHEZON,,,32,camping-les-sources-76626,
,10/04/2023,12/08/2023,19/08/2023,809,809,MOBILHOME 4 personnes - LOGGIA avec climatisation + TV,Camping Les Sources,4 Adultes, 84350 COURTHEZON,,,32,camping-les-sources-76626,
,10/04/2023,12/08/2023,19/08/2023,819,819,CHALET 5 personnes - MOREA avec climatisation + TV,Camping Les Sources,5 Adultes, 84350 COURTHEZON,,,32,camping-les-sources-76626,
,10/04/2023,12/08/2023,19/08/2023,740,740,MOBILHOME 6 personnes - MALTA + TV + Clim,Camping Les Sources,6 Adultes, 84350 COURTHEZON,,,32,camping-les-sources-76626,
,10/04/2023,12/08/2023,19/08/2023,740,740,MOBILHOME 6 personnes - EVOLUTION + TV + Clim,Camping Les Sources,6 Adultes, 84350 COURTHEZON,,,32,camping-les-sources-76626,
,10/04/2023,16/04/2023,23/04/2023,378,378,TENTE 5 personnes - WOODY sans sanitaires,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,609,609,MOBILHOME 2 personnes - SUNELIA CONFORT,Camping Le Clos du Rhône,2 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,651,651,MOBILHOME 4 personnes - SUNELIA CONFORT ESPRIT SUD,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,665,665,"MOBILHOME 5 personnes - SUNELIA CONFORT ""GRAND LARGE""",Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,679,679,CHALET 5 personnes - CONFORT MOREA,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,686,686,MOBILHOME 5 personnes - Cottage 33 m² Mobilté réduite 2 chambres TV/CLIM,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,700,700,MOBILHOME 6 personnes - COTTAGE CONFORT MEDITERRANEE,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,735,735,MOBILHOME 6 personnes - COTTAGE PRESTIGE EVASION,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,756,756,MOBILHOME 6 personnes - SUNELIA CONFORT MISTRAL,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,847,847,"MOBILHOME 4 personnes - SUNELIA PRESTIGE ""VUE INFINIE""",Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,917,917,"CHALET 6 personnes - CONFORT ""AZUR"" VUE MER",Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,917,917,MOBILHOME 6 personnes - SUNELIA PRESTIGE ALIZES,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,966,966,CHALET 4 personnes - PRESTIGE HORIZON VUE MER,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,430,387,MOBILHOME 6 personnes - MH CAYANNE CLIM 2,Camping Orly d'Azur,6 Adultes, 83140 Six,,,15,camping-orly-dazur-78556,
,10/04/2023,16/04/2023,23/04/2023,430.90,387.90,CHALET 6 personnes - PARDIGUIER,Camping Orly d'Azur,6 Adultes, 83140 Six,,,15,camping-orly-dazur-78556,
,10/04/2023,16/04/2023,23/04/2023,522.70,470.70,MOBILHOME 6 personnes - GRASSOIS climatisé,Camping Orly d'Azur,6 Adultes, 83140 Six,,,15,camping-orly-dazur-78556,
,10/04/2023,16/04/2023,23/04/2023,245,245,BUNGALOW TOILÉ 2 personnes - COCO SWEET 1 CHAMBRE (SANS SANITAIRES),Camping Crin Blanc,2 Adultes, 13200 ARLES,,,15,camping-crin-blanc-76780,
,10/04/2023,16/04/2023,23/04/2023,420,420,MOBILHOME 6 personnes - CONFORT MISTRAL CLIMATISE,Camping Crin Blanc,6 Adultes, 13200 ARLES,,,15,camping-crin-blanc-76780,
,10/04/2023,12/08/2023,19/08/2023,994,994,MOBILHOME 2 personnes - SUNELIA CONFORT,Camping Le Clos du Rhône,2 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,32,camping-le-clos-du-rhone-78449,
,10/04/2023,12/08/2023,19/08/2023,1519,1519,MOBILHOME 6 personnes - SUNELIA CONFORT MISTRAL,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,32,camping-le-clos-du-rhone-78449,
,10/04/2023,12/08/2023,19/08/2023,1603,1603,"MOBILHOME 4 personnes - SUNELIA PRESTIGE ""VUE INFINIE""",Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,32,camping-le-clos-du-rhone-78449,
,10/04/2023,12/08/2023,19/08/2023,2009,2009,CHALET 4 personnes - PRESTIGE HORIZON VUE MER,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,32,camping-le-clos-du-rhone-78449,
,10/04/2023,13/08/2023,20/08/2023,1316,1316,CHALET 5 personnes - CONFORT MOREA,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,32,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,439,439,MOBILHOME 2 personnes - Astria,Camping de La Baie,2 Adultes, 83240 CAVALAIRE SUR MER,,,15,camping-de-la-baie-77069,
