web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,378,378,TENTE 5 personnes - WOODY sans sanitaires,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,609,609,MOBILHOME 2 personnes - SUNELIA CONFORT,Camping Le Clos du Rhône,2 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,651,651,MOBILHOME 4 personnes - SUNELIA CONFORT ESPRIT SUD,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,665,665,"MOBILHOME 5 personnes - SUNELIA CONFORT ""GRAND LARGE""",Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,679,679,CHALET 5 personnes - CONFORT MOREA,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,686,686,MOBILHOME 5 personnes - Cottage 33 m² Mobilté réduite 2 chambres TV/CLIM,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,700,700,MOBILHOME 6 personnes - COTTAGE CONFORT MEDITERRANEE,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,735,735,MOBILHOME 6 personnes - COTTAGE PRESTIGE EVASION,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,756,756,MOBILHOME 6 personnes - SUNELIA CONFORT MISTRAL,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,847,847,"MOBILHOME 4 personnes - SUNELIA PRESTIGE ""VUE INFINIE""",Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,15,camping-le-clos-du-rhone-78449,
