web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,651,651,MOBILHOME 4 personnes - SUNELIA CONFORT ESPRIT SUD,4 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,700,700,MOBILHOME 6 personnes - COTTAGE CONFORT MEDITERRANEE,6 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,735,735,MOBILHOME 6 personnes - COTTAGE PRESTIGE EVASION,6 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,756,756,MOBILHOME 6 personnes - SUNELIA CONFORT MISTRAL,6 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,847,847,"MOBILHOME 4 personnes - SUNELIA PRESTIGE ""VUE INFINIE""",4 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,917,917,"CHALET 6 personnes - CONFORT ""AZUR"" VUE MER",6 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,917,917,MOBILHOME 6 personnes - SUNELIA PRESTIGE ALIZES,6 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,966,966,CHALET 4 personnes - PRESTIGE HORIZON VUE MER,4 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,15,camping-le-clos-du-rhone-78449,
,10/04/2023,16/04/2023,23/04/2023,420,420,MOBILHOME 6 personnes - CONFORT MISTRAL CLIMATISE,6 Adultes,,Camping Crin Blanc,ARLES,,15,camping-crin-blanc-76780,ARLES
,10/04/2023,16/04/2023,23/04/2023,503,503,MOBILHOME 4 personnes - PREMIUM,4 Adultes,,Camping Vallée Heureuse,ORGON,,15,camping-vallee-heureuse-77915,
,10/04/2023,16/04/2023,23/04/2023,517,517,MOBILHOME 4 personnes - PREMIUM PLUS,4 Adultes,,Camping Vallée Heureuse,ORGON,,15,camping-vallee-heureuse-77915,
,10/04/2023,16/04/2023,23/04/2023,545,545,MOBILHOME 6 personnes - PREMIUM,6 Adultes,,Camping Vallée Heureuse,ORGON,,15,camping-vallee-heureuse-77915,
,10/04/2023,16/04/2023,23/04/2023,526,526,MOBILHOME 4 personnes - 4 places Confort,4 Adultes,,Camping Pascalounet,MARTIGUES,,15,camping-pascalounet-77771,
,10/04/2023,16/04/2023,23/04/2023,759,759,MOBILHOME 6 personnes - 6 places Premium,6 Adultes,,Camping Pascalounet,MARTIGUES,,15,camping-pascalounet-77771,
,10/04/2023,16/04/2023,23/04/2023,837,837,MOBILHOME 6 personnes - 6 places Premium Plus,6 Adultes,,Camping Pascalounet,MARTIGUES,,15,camping-pascalounet-77771,
,10/04/2023,16/04/2023,23/04/2023,450,450,MOBILHOME 5 personnes - CONFORT DOMINO,4 Adultes,,Camping Le Devancon,PEYNIER,,15,camping-le-devancon-78024,
,10/04/2023,16/04/2023,23/04/2023,450,450,MOBILHOME 4 personnes - Confort SUPER MERCURE,4 Adultes,,Camping Le Devancon,PEYNIER,,15,camping-le-devancon-78024,
,10/04/2023,16/04/2023,23/04/2023,480,480,MOBILHOME 4 personnes - CONFORT SUPER VENUS,4 Adultes,,Camping Le Devancon,PEYNIER,,15,camping-le-devancon-78024,
,10/04/2023,16/04/2023,23/04/2023,510,510,MOBILHOME 4 personnes - MAXI CONFORT LOGGIA,4 Adultes,,Camping Le Devancon,PEYNIER,,15,camping-le-devancon-78024,
,10/04/2023,16/04/2023,23/04/2023,510,510,MOBILHOME 4 personnes - MAXI CONFORT VISIO,4 Adultes,,Camping Le Devancon,PEYNIER,,15,camping-le-devancon-78024,
,10/04/2023,16/04/2023,23/04/2023,510,510,MOBILHOME 4 personnes - MAXI CONFORT O'HARA 835T,4 Adultes,,Camping Le Devancon,PEYNIER,,15,camping-le-devancon-78024,
,10/04/2023,16/04/2023,23/04/2023,594,594,TENTE 4 personnes - PACK 100% COMPLET,4 Adultes,,Camping Chantecler,AIX EN PROVENCE,,15,camping-chantecler-80231,AIX EN PROVENCE
,10/04/2023,16/04/2023,23/04/2023,840,840,MOBILHOME 4 personnes - COLORADO,4 Adultes,,Camping Chantecler,AIX EN PROVENCE,,15,camping-chantecler-80231,AIX EN PROVENCE
,10/04/2023,16/04/2023,23/04/2023,430,387,MOBILHOME 6 personnes - MH CAYANNE CLIM 2,6 Adultes,,Camping Orly d'Azur,Six,,15,camping-orly-dazur-78556,
,10/04/2023,16/04/2023,23/04/2023,430,387,CHALET 6 personnes - PARDIGUIER,6 Adultes,,Camping Orly d'Azur,Six,,15,camping-orly-dazur-78556,
,10/04/2023,16/04/2023,23/04/2023,522,470,MOBILHOME 6 personnes - GRASSOIS climatisé,6 Adultes,,Camping Orly d'Azur,Six,,15,camping-orly-dazur-78556,
,10/04/2023,16/04/2023,23/04/2023,517,517,CHALET 6 personnes,6 Adultes,,Camping de La Baie,CAVALAIRE SUR MER,,15,camping-de-la-baie-77069,CAVALAIRE
,10/04/2023,16/04/2023,23/04/2023,573,573,MOBILHOME 4 personnes - Venus,4 Adultes,,Camping de La Baie,CAVALAIRE SUR MER,,15,camping-de-la-baie-77069,CAVALAIRE
,10/04/2023,16/04/2023,23/04/2023,663,663,MOBILHOME 6 personnes - Watipi,6 Adultes,,Camping de La Baie,CAVALAIRE SUR MER,,15,camping-de-la-baie-77069,CAVALAIRE
,10/04/2023,16/04/2023,23/04/2023,290,290,BUNGALOW 5 personnes - LODGE CONFORT,4 Adultes,,Camping Domaine des Chenes Blancs,SAINT SATURNIN LES APT,,15,camping-domaine-des-chenes-blancs-78388,
,10/04/2023,16/04/2023,23/04/2023,315,315,CHALET 5 personnes - GITOTEL CLUB,4 Adultes,,Camping Les Philippons,LES ADRETS DE L'ESTEREL,,15,camping-les-philippons-77563,
,10/04/2023,16/04/2023,23/04/2023,343,343,MOBILHOME 6 personnes - TITANIA,4 Adultes,,Camping Les Philippons,LES ADRETS DE L'ESTEREL,,15,camping-les-philippons-77563,
,10/04/2023,16/04/2023,23/04/2023,357,357,CHALET 5 personnes - GITOTEL MOREA,4 Adultes,,Camping Les Philippons,LES ADRETS DE L'ESTEREL,,15,camping-les-philippons-77563,
,10/04/2023,16/04/2023,23/04/2023,399,399,GÎTE 6 personnes - BASTIDON,4 Adultes,,Camping Les Philippons,LES ADRETS DE L'ESTEREL,,15,camping-les-philippons-77563,
,10/04/2023,16/04/2023,23/04/2023,320,320,MOBILHOME 6 personnes - IRM Titania 4-6 personnes,6 Adultes,,Camping Intercommunal de la Durance,CAVAILLON,,15,camping-intercommunal-de-la-durance-78857,
,10/04/2023,16/04/2023,23/04/2023,375,375,MOBILHOME 4 personnes - EVO 24 clim,4 Adultes,,Camping Intercommunal de la Durance,CAVAILLON,,15,camping-intercommunal-de-la-durance-78857,
,10/04/2023,16/04/2023,23/04/2023,450,450,MOBILHOME 6 personnes - EVO 33,6 Adultes,,Camping Intercommunal de la Durance,CAVAILLON,,15,camping-intercommunal-de-la-durance-78857,
,10/04/2023,22/04/2023,29/04/2023,651,651,MOBILHOME 4 personnes - SUNELIA CONFORT ESPRIT SUD,4 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,16,camping-le-clos-du-rhone-78449,
,10/04/2023,22/04/2023,29/04/2023,700,700,MOBILHOME 6 personnes - COTTAGE CONFORT MEDITERRANEE,6 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,16,camping-le-clos-du-rhone-78449,
,10/04/2023,22/04/2023,29/04/2023,735,735,MOBILHOME 6 personnes - COTTAGE PRESTIGE EVASION,6 Adultes,,Camping Le Clos du Rhône,SAINTES MARIES DE LA MER (13),,16,camping-le-clos-du-rhone-78449,
