web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,05/08/2023,12/08/2023,889,889,MOBILHOME 3 personnes - NEMO avec climatisation + TV,Camping Les Sources,2 Adultes, 84350 COURTHEZON,,,31,camping-les-sources-76626,
,10/04/2023,05/08/2023,12/08/2023,889,889,MOBILHOME 4 personnes - LOGGIA avec climatisation + TV,Camping Les Sources,4 Adultes, 84350 COURTHEZON,,,31,camping-les-sources-76626,
,10/04/2023,05/08/2023,12/08/2023,939,939,CHALET 5 personnes - MOREA avec climatisation + TV,Camping Les Sources,5 Adultes, 84350 COURTHEZON,,,31,camping-les-sources-76626,
,10/04/2023,05/08/2023,12/08/2023,740,740,MOBILHOME 6 personnes - MALTA + TV + Clim,Camping Les Sources,6 Adultes, 84350 COURTHEZON,,,31,camping-les-sources-76626,
,10/04/2023,05/08/2023,12/08/2023,2079,2079,MOBILHOME 6 personnes - CLASSIC avec climatisation,Camping Marina Paradise,6 Adultes, 83310 COGOLIN,,,31,camping-marina-paradise-77158,
,10/04/2023,05/08/2023,12/08/2023,1499,1499,MOBILHOME 6 personnes - 2 Chambres,Camping Domaine de Verdagne,4 Adultes, 83580 GASSIN,,,31,camping-domaine-de-verdagne-77297,
,10/04/2023,05/08/2023,12/08/2023,1599,1599,MOBILHOME 8 personnes - 3 chambres,Camping Domaine de Verdagne,6 Adultes, 83580 GASSIN,,,31,camping-domaine-de-verdagne-77297,
,10/04/2023,05/08/2023,12/08/2023,1674,1674,MOBILHOME 6 personnes - Cottage 4/6 personnes - 2 Chambres (CLIM  TV),Camping Domaine de Verdagne,6 Adultes, 83580 GASSIN,,,31,camping-domaine-de-verdagne-77297,
,10/04/2023,05/08/2023,12/08/2023,1814,1814,MOBILHOME 8 personnes - Cottage 6/8 personnes - 3 Chambres (CLIM  TV),Camping Domaine de Verdagne,8 Adultes, 83580 GASSIN,,,31,camping-domaine-de-verdagne-77297,
,10/04/2023,05/08/2023,12/08/2023,994,994,MOBILHOME 2 personnes - SUNELIA CONFORT,Camping Le Clos du Rhône,2 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,31,camping-le-clos-du-rhone-78449,
,10/04/2023,05/08/2023,12/08/2023,2009,2009,CHALET 4 personnes - PRESTIGE HORIZON VUE MER,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,,31,camping-le-clos-du-rhone-78449,
