web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,13/08/2023,20/08/2023,932,932,GÎTE 4 personnes - Avec Mezzanine,Camping Paradis Domaine Le Quercy,4 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,13/08/2023,20/08/2023,1004,1004,MOBILHOME 4 personnes - 2 ch SANS TV,Camping Paradis Domaine Le Quercy,4 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,13/08/2023,20/08/2023,1130,1130,MOBILHOME 4 personnes - Family,Camping Paradis Domaine Le Quercy,4 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,13/08/2023,20/08/2023,1154,1154,MOBILHOME 6 personnes - Classic 3 chambres,Camping Paradis Domaine Le Quercy,6 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,13/08/2023,20/08/2023,1203,1203,MOBILHOME 4 personnes - Living,Camping Paradis Domaine Le Quercy,2 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,13/08/2023,20/08/2023,1439,1439,MOBILHOME 6 personnes - 3 chambres 2sdb,Camping Paradis Domaine Le Quercy,6 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,16/04/2023,23/04/2023,306,306,MOBILHOME 4 personnes - Confort 2ch,Camping Sunelia - Le Sequoia,4 Adultes, 46350 PAYRAC,,,15,camping-sunelia-le-sequoia-94147,
,10/04/2023,16/04/2023,23/04/2023,350,350,MOBILHOME 4 personnes - Prestige 2ch,Camping Sunelia - Le Sequoia,4 Adultes, 46350 PAYRAC,,,15,camping-sunelia-le-sequoia-94147,
,10/04/2023,16/04/2023,23/04/2023,350,350,MOBILHOME 5 personnes - Prestige 2ch,Camping Sunelia - Le Sequoia,5 Adultes, 46350 PAYRAC,,,15,camping-sunelia-le-sequoia-94147,
,10/04/2023,16/04/2023,23/04/2023,420,420,MOBILHOME 6 personnes - Prestige 3ch,Camping Sunelia - Le Sequoia,6 Adultes, 46350 PAYRAC,,,15,camping-sunelia-le-sequoia-94147,
,10/04/2023,16/04/2023,23/04/2023,455,455,MOBILHOME 4 personnes - Luxe 2ch,Camping Sunelia - Le Sequoia,4 Adultes, 46350 PAYRAC,,,15,camping-sunelia-le-sequoia-94147,
,10/04/2023,12/08/2023,19/08/2023,898,898,TENTE TOILE ET BOIS 5 personnes - Tente Lodge,Camping Paradis Domaine Le Quercy,5 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,12/08/2023,19/08/2023,918,918,BUNGALOW TOILÉ 5 personnes - 2 Chambres,Camping Paradis Domaine Le Quercy,5 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,12/08/2023,19/08/2023,938,938,GÎTE 4 personnes - Plein Pied,Camping Paradis Domaine Le Quercy,4 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,12/08/2023,19/08/2023,998,998,CHALET 5 personnes - 2 chambres,Camping Paradis Domaine Le Quercy,5 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,12/08/2023,19/08/2023,998,998,MOBILHOME 5 personnes - Loggia,Camping Paradis Domaine Le Quercy,5 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,12/08/2023,19/08/2023,998,998,MOBILHOME 4 personnes - Primo 2 ch SANS TV,Camping Paradis Domaine Le Quercy,4 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,12/08/2023,19/08/2023,998,998,MOBILHOME 4 personnes - 2 ch SANS TV,Camping Paradis Domaine Le Quercy,4 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,12/08/2023,19/08/2023,1145,1145,MOBILHOME 6 personnes - Classic 3 chambres,Camping Paradis Domaine Le Quercy,6 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
,10/04/2023,12/08/2023,19/08/2023,1145,1145,MOBILHOME 4 personnes - Family,Camping Paradis Domaine Le Quercy,4 Adultes, 46300 GOURDON,,,32,camping-paradis-domaine-le-quercy-77852,
