web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,12/08/2023,19/08/2023,1085,1036,MOBILHOME 5 personnes - Cosy (I5P2)),Camping Phare d'Opale,4 Adultes, 62480 LE PORTEL,,,32,camping-phare-dopale-77545,
,10/04/2023,12/08/2023,19/08/2023,1204,1148,MOBILHOME 6 personnes - Cosy (I6P3),Camping Phare d'Opale,6 Adultes, 62480 LE PORTEL,,,32,camping-phare-dopale-77545,
,10/04/2023,12/08/2023,19/08/2023,1232,1176,MOBILHOME 6 personnes - Cosy 6 personnes 3 chambres Climatisé,Camping Phare d'Opale,6 Adultes, 62480 LE PORTEL,,,32,camping-phare-dopale-77545,
,10/04/2023,12/08/2023,19/08/2023,252,252,CHALET 2 personnes - randonneur Bleu 1 lit double,Camping La Chaumière,2 Adultes, 59285 BUYSSCHEURE,,,32,camping-la-chaumiere-86071,
,10/04/2023,12/08/2023,19/08/2023,252,252,CHALET 2 personnes - randonneur Rose 2 lits simple,Camping La Chaumière,2 Adultes, 59285 BUYSSCHEURE,,,32,camping-la-chaumiere-86071,
,10/04/2023,12/08/2023,19/08/2023,252,252,CHALET 2 personnes - randonneur Jaune 2 lits simple,Camping La Chaumière,2 Adultes, 59285 BUYSSCHEURE,,,32,camping-la-chaumiere-86071,
,10/04/2023,12/08/2023,19/08/2023,560,560,MOBILHOME 6 personnes - 3 chambres Curry,Camping La Chaumière,6 Adultes, 59285 BUYSSCHEURE,,,32,camping-la-chaumiere-86071,
,10/04/2023,12/08/2023,19/08/2023,790,790,MOBILHOME 4 personnes - 2 chambres,Camping Le Grand Marais,4 Adultes, 62180 VERTON,,,32,camping-le-grand-marais-85969,
,10/04/2023,12/08/2023,19/08/2023,890,890,MOBILHOME 6 personnes - 3 chambres,Camping Le Grand Marais,6 Adultes, 62180 VERTON,,,32,camping-le-grand-marais-85969,
,10/04/2023,13/08/2023,20/08/2023,730,730,MOBILHOME 6 personnes - 3 chambres,Camping Le Grand Marais,6 Adultes, 62180 VERTON,,,32,camping-le-grand-marais-85969,
,10/04/2023,12/08/2023,19/08/2023,999,999,MOBILHOME 4 personnes,Camping Municipal De La Pinede,4 Adultes, FRANCE,,,32,camping-municipal-de-la-pinede-86010,
,10/04/2023,12/08/2023,19/08/2023,350,350,TENTE TOILE ET BOIS 4 personnes - Robinson,Camping De La Route Fleurie,4 Adultes, 62770 SAINT GEORGES,,,32,camping-de-la-route-fleurie-85950,
,10/04/2023,12/08/2023,19/08/2023,420,420,CHALET 4 personnes - Ternoise,Camping De La Route Fleurie,2 Adultes, 62770 SAINT GEORGES,,,32,camping-de-la-route-fleurie-85950,
,10/04/2023,12/08/2023,19/08/2023,420,420,MOBILHOME 4 personnes - Vintage Mobil,Camping De La Route Fleurie,4 Adultes, 62770 SAINT GEORGES,,,32,camping-de-la-route-fleurie-85950,
,10/04/2023,12/08/2023,19/08/2023,490,490,CHALET 4 personnes - Ternoise Confort,Camping De La Route Fleurie,4 Adultes, 62770 SAINT GEORGES,,,32,camping-de-la-route-fleurie-85950,
,10/04/2023,12/08/2023,19/08/2023,560,560,CHALET 6 personnes - Canche Authié,Camping De La Route Fleurie,4 Adultes, 62770 SAINT GEORGES,,,32,camping-de-la-route-fleurie-85950,
,10/04/2023,12/08/2023,19/08/2023,820,820,MOBILHOME 4 personnes - MH To,Camping La Kilienne,4 Adultes, 62760 WARLINCOURT LES PAS,,,32,camping-la-kilienne-78790,
,10/04/2023,12/08/2023,19/08/2023,920,920,MOBILHOME 6 personnes - Mh To,Camping La Kilienne,6 Adultes, 62760 WARLINCOURT LES PAS,,,32,camping-la-kilienne-78790,
,10/04/2023,12/08/2023,19/08/2023,819,819,MOBILHOME 4 personnes - CLASSIC 2 chambres (H6P2),Camping La Dune Blanche,4 Adultes, 62176 CAMIERS,,,32,camping-la-dune-blanche-76995,
,10/04/2023,12/08/2023,19/08/2023,875,875,MOBILHOME 6 personnes - COSY 3 chambres (I6P3),Camping La Dune Blanche,6 Adultes, 62176 CAMIERS,,,32,camping-la-dune-blanche-76995,
,10/04/2023,12/08/2023,19/08/2023,949,949,MOBILHOME 4 personnes,Camping Beauséjour,4 Adultes,"62510 ARQUES, FRANCE ",,,32,camping-beausejour-86051,
,10/04/2023,12/08/2023,19/08/2023,1491,1491,MOBILHOME 6 personnes - OPALIA,Camping Paradis Belle Dune,4 Adultes, FRANCE,,,32,camping-paradis-belle-dune-85985,
,10/04/2023,12/08/2023,19/08/2023,1598,1598,CHALET 4 personnes - TAHOE,Camping Paradis Belle Dune,2 Adultes, FRANCE,,,32,camping-paradis-belle-dune-85985,
,10/04/2023,12/08/2023,19/08/2023,1648,1648,CHALET 5 personnes - CHARLAY,Camping Paradis Belle Dune,2 Adultes, FRANCE,,,32,camping-paradis-belle-dune-85985,
,10/04/2023,12/08/2023,19/08/2023,1955,1955,CHALET 6 personnes - OCKLAND,Camping Paradis Belle Dune,4 Adultes, FRANCE,,,32,camping-paradis-belle-dune-85985,
,10/04/2023,12/08/2023,19/08/2023,1248,1248,MOBILHOME 5 personnes - Grand Cottage Confort - Terrasse semi-couverte,Camping Zagarella - Camping Paradis,4 Adultes, 85160 SAINT JEAN DE MONTS,,,32,camping-zagarella-camping-paradis-76807,
,10/04/2023,12/08/2023,19/08/2023,1248,1248,MOBILHOME 4 personnes - Grand Cottage Confort - Terrasse intégrée couverte,Camping Zagarella - Camping Paradis,4 Adultes, 85160 SAINT JEAN DE MONTS,,,32,camping-zagarella-camping-paradis-76807,
,10/04/2023,12/08/2023,19/08/2023,1351,1288,MOBILHOME 6 personnes - Cosy (I6P2),Camping Zagarella - Camping Paradis,5 Adultes, 85160 SAINT JEAN DE MONTS,,,32,camping-zagarella-camping-paradis-76807,
,10/04/2023,12/08/2023,19/08/2023,1376,1376,MOBILHOME 6 personnes - Cottage Confort- Terrasse semi-couverte,Camping Zagarella - Camping Paradis,6 Adultes, 85160 SAINT JEAN DE MONTS,,,32,camping-zagarella-camping-paradis-76807,
,10/04/2023,12/08/2023,19/08/2023,2038,2038,MOBILHOME 8 personnes - Grande Cottage Confort - 4 chambres,Camping Zagarella - Camping Paradis,6 Adultes, 85160 SAINT JEAN DE MONTS,,,32,camping-zagarella-camping-paradis-76807,
,10/04/2023,12/08/2023,19/08/2023,1147,1147,CHALET 6 personnes - Confort Chalet PMR 2 chambres,Camping La Puerta del Sol,6 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,32,camping-la-puerta-del-sol-78274,
,10/04/2023,12/08/2023,19/08/2023,1147,1147,CHALET 6 personnes - Confort Chalet Bois 2 chambres - terrasse couverte,Camping La Puerta del Sol,6 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,32,camping-la-puerta-del-sol-78274,
,10/04/2023,12/08/2023,19/08/2023,1176,1176,TENTE TOILE ET BOIS 5 personnes - Prestige  Lodge Kenya 34,Camping La Puerta del Sol,5 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,32,camping-la-puerta-del-sol-78274,
,10/04/2023,12/08/2023,19/08/2023,1347,1347,CHALET 6 personnes - Confort Chalet Morea 2 chambres,Camping La Puerta del Sol,6 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,32,camping-la-puerta-del-sol-78274,
,10/04/2023,12/08/2023,19/08/2023,1430,1430,MOBILHOME 7 personnes - Premium Mobil Home Key West 3 chambres,Camping La Puerta del Sol,7 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,32,camping-la-puerta-del-sol-78274,
,10/04/2023,12/08/2023,19/08/2023,1474,1474,MOBILHOME 8 personnes - Prestige Mobil Home Malaga 4 chambres,Camping La Puerta del Sol,8 Adultes, 85270 SAINT HILAIRE DE RIEZ,,,32,camping-la-puerta-del-sol-78274,
,10/04/2023,12/08/2023,19/08/2023,857,857,TENTE TOILE ET BOIS 4 personnes - TENTE LODGE,Camping La Grand Métairie - Camping Paradis,4 Adultes, 85440 SAINT HILAIRE LA FORET,,,32,camping-la-grand-metairie-camping-paradis-78303,
,10/04/2023,12/08/2023,19/08/2023,957,957,MOBILHOME 4 personnes - CONFORT 2 CHAMBRES,Camping La Grand Métairie - Camping Paradis,4 Adultes, 85440 SAINT HILAIRE LA FORET,,,32,camping-la-grand-metairie-camping-paradis-78303,
,10/04/2023,12/08/2023,19/08/2023,1064,1064,MOBILHOME 4 personnes - PREMIUM 1 CHAMBRE,Camping La Grand Métairie - Camping Paradis,4 Adultes, 85440 SAINT HILAIRE LA FORET,,,32,camping-la-grand-metairie-camping-paradis-78303,
,10/04/2023,12/08/2023,19/08/2023,1089,1089,MOBILHOME 6 personnes - 2 chambres,Camping La Grand Métairie - Camping Paradis,4 Adultes, 85440 SAINT HILAIRE LA FORET,,,32,camping-la-grand-metairie-camping-paradis-78303,
,10/04/2023,12/08/2023,19/08/2023,1134,1134,MOBILHOME 6 personnes - CONFORT 3 CHAMBRES,Camping La Grand Métairie - Camping Paradis,6 Adultes, 85440 SAINT HILAIRE LA FORET,,,32,camping-la-grand-metairie-camping-paradis-78303,
,10/04/2023,12/08/2023,19/08/2023,1154,1154,MOBILHOME 4 personnes - PREMIUM 2 CHAMBRES,Camping La Grand Métairie - Camping Paradis,4 Adultes, 85440 SAINT HILAIRE LA FORET,,,32,camping-la-grand-metairie-camping-paradis-78303,
