web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,200,200,MOBILHOME 2 personnes - MOBIL DUO CONFORT,Camping Paradis Le Royon,2 Adultes,"1271, route de Quend ",,,15,camping-paradis-le-royon-94416,
,10/04/2023,16/04/2023,23/04/2023,277,277,MOBILHOME 4 personnes - PACI CONFORT,Camping Paradis Le Royon,4 Adultes,"1271, route de Quend ",,,15,camping-paradis-le-royon-94416,
,10/04/2023,16/04/2023,23/04/2023,335,335,MOBILHOME 6 personnes - M IRM CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,15,camping-paradis-le-royon-94416,
,10/04/2023,12/08/2023,19/08/2023,899,899,MOBILHOME 4 personnes - 4 places,Camping Paradis Les Galets de la Mollière,4 Adultes, FRANCE,,,32,camping-paradis-les-galets-de-la-molliere-85866,
,10/04/2023,12/08/2023,19/08/2023,899,899,MOBILHOME 4 personnes - PMR 2 CHAMBRES,Camping Paradis Les Galets de la Mollière,4 Adultes, FRANCE,,,32,camping-paradis-les-galets-de-la-molliere-85866,
,10/04/2023,12/08/2023,19/08/2023,989,989,MOBILHOME 6 personnes - 6 places,Camping Paradis Les Galets de la Mollière,6 Adultes, FRANCE,,,32,camping-paradis-les-galets-de-la-molliere-85866,
,10/04/2023,16/04/2023,23/04/2023,309,299,MOBILHOME 6 personnes - COTTAGE STANDING PLUS (Dimanche/Dimanche),Camping Paradis Val de Trie,6 Adultes, 80870 MOYENNEVILLE,,,15,camping-paradis-val-de-trie-77790,
,10/04/2023,16/04/2023,23/04/2023,479,399,MOBILHOME 8 personnes - COTTAGE TRIBU (Dimanche/Dimanche),Camping Paradis Val de Trie,8 Adultes, 80870 MOYENNEVILLE,,,15,camping-paradis-val-de-trie-77790,
,10/04/2023,13/08/2023,20/08/2023,899,899,MOBILHOME 4 personnes - 4 places Dim,Camping Paradis Les Galets de la Mollière,4 Adultes, FRANCE,,,32,camping-paradis-les-galets-de-la-molliere-85866,
,10/04/2023,13/08/2023,20/08/2023,989,989,MOBILHOME 6 personnes - 6 places Dim,Camping Paradis Les Galets de la Mollière,6 Adultes, FRANCE,,,32,camping-paradis-les-galets-de-la-molliere-85866,
,10/04/2023,16/04/2023,23/04/2023,269,269,MOBILHOME 4 personnes - 4 places Dim,Camping Paradis Les Galets de la Mollière,4 Adultes, FRANCE,,,15,camping-paradis-les-galets-de-la-molliere-85866,
,10/04/2023,16/04/2023,23/04/2023,299,299,MOBILHOME 6 personnes - 6 places Dim,Camping Paradis Les Galets de la Mollière,6 Adultes, FRANCE,,,15,camping-paradis-les-galets-de-la-molliere-85866,
,10/04/2023,12/08/2023,19/08/2023,1049,1049,MOBILHOME 4 personnes - PACI CONFORT,Camping Paradis Le Royon,4 Adultes,"1271, route de Quend ",,,32,camping-paradis-le-royon-94416,
,10/04/2023,12/08/2023,19/08/2023,1049,1049,MOBILHOME 4 personnes - LOGGIA CONFORT,Camping Paradis Le Royon,4 Adultes,"1271, route de Quend ",,,32,camping-paradis-le-royon-94416,
,10/04/2023,12/08/2023,19/08/2023,1049,1049,MOBILHOME 4 personnes - PMR CONFORT,Camping Paradis Le Royon,4 Adultes,"1271, route de Quend ",,,32,camping-paradis-le-royon-94416,
,10/04/2023,13/08/2023,20/08/2023,922,922,MOBILHOME 2 personnes - MOBIL DUO CONFORT,Camping Paradis Le Royon,2 Adultes,"1271, route de Quend ",,,32,camping-paradis-le-royon-94416,
,10/04/2023,13/08/2023,20/08/2023,1172,1172,MOBILHOME 6 personnes - M IRM CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,32,camping-paradis-le-royon-94416,
,10/04/2023,13/08/2023,20/08/2023,1172,1172,MOBILHOME 6 personnes - SOLEO CONFORT,Camping Paradis Le Royon,6 Adultes,"1271, route de Quend ",,,32,camping-paradis-le-royon-94416,
