web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,10/04/2023,16/04/2023,23/04/2023,277,277,MOBILHOME 4 personnes - PACI CONFORT,4 Adultes,,Camping Paradis Le Royon,,,15,camping-paradis-le-royon-94416,
,10/04/2023,16/04/2023,23/04/2023,335,335,MOBILHOME 6 personnes - M IRM CONFORT,6 Adultes,,Camping Paradis Le Royon,,,15,camping-paradis-le-royon-94416,
,10/04/2023,16/04/2023,23/04/2023,309,299,MOBILHOME 6 personnes - COTTAGE STANDING PLUS (Dimanche/Dimanche),6 Adultes,,Camping Paradis Val de Trie,MOYENNEVILLE,,15,camping-paradis-val-de-trie-77790,
,10/04/2023,16/04/2023,23/04/2023,479,399,MOBILHOME 8 personnes - COTTAGE TRIBU (Dimanche/Dimanche),8 Adultes,,Camping Paradis Val de Trie,MOYENNEVILLE,,15,camping-paradis-val-de-trie-77790,
,10/04/2023,16/04/2023,23/04/2023,269,269,MOBILHOME 4 personnes - 4 places Dim,4 Adultes,,Camping Paradis Les Galets de la Mollière,FRANCE,,15,camping-paradis-les-galets-de-la-molliere-85866,FOUESNANT - BEG-MEIL
,10/04/2023,16/04/2023,23/04/2023,299,299,MOBILHOME 6 personnes - 6 places Dim,6 Adultes,,Camping Paradis Les Galets de la Mollière,FRANCE,,15,camping-paradis-les-galets-de-la-molliere-85866,FOUESNANT - BEG-MEIL
,10/04/2023,16/04/2023,23/04/2023,627,627,MOBILHOME 4 personnes - Confort 27m² dont terrasse 2 chambres + TV,4 Adultes,,Flower Camping Le Rompval,MERS LES BAINS,,15,flower-camping-le-rompval-77797,LE TREPORT - MERS LES BAINS
,10/04/2023,16/04/2023,23/04/2023,677,677,MOBILHOME 6 personnes - Confort 33 m² dont terrasse 3 chambres + TV,6 Adultes,,Flower Camping Le Rompval,MERS LES BAINS,,15,flower-camping-le-rompval-77797,LE TREPORT - MERS LES BAINS
,10/04/2023,16/04/2023,23/04/2023,712,712,MOBILHOME 6 personnes - Confort 33m² avec terrasse couverte 3 chambres +TV,6 Adultes,,Flower Camping Le Rompval,MERS LES BAINS,,15,flower-camping-le-rompval-77797,LE TREPORT - MERS LES BAINS
,10/04/2023,16/04/2023,23/04/2023,811,811,MOBILHOME 6 personnes - Homeflower Premium 3 chambres avec terrasse couverte + Lave Vaisselle,6 Adultes,,Flower Camping Le Rompval,MERS LES BAINS,,15,flower-camping-le-rompval-77797,LE TREPORT - MERS LES BAINS
